"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Cd36",0,1.54762553222799,0.906,0.232,0,0,1.69914618334704,0.915,0.172,0,0,0
"Mmp19",0,1.43034385456453,0.936,0.258,0,0,1.63483705828275,0.952,0.26,0,0,0
"Anpep",0,0.872430459096505,0.917,0.238,0,0,0.812444391698927,0.905,0.187,0,0,0
"Fam198b",0,0.473066862181125,0.692,0.079,0,0,0.670082074952943,0.811,0.131,0,0,0
"Myrf",0,0.262256428597396,0.588,0.053,0,0,0.291985859204198,0.493,0.053,0,0,0
"Zranb3",4.0299824132318e-298,0.50430296781073,0.624,0.08,6.92915176131075e-294,0,0.71269042958413,0.79,0.124,0,4.0299824132318e-298,0
"Plau",7.44435577322938e-296,0.485203531201175,0.638,0.085,1.27998253164906e-291,0,0.618815614867562,0.7,0.115,0,7.44435577322938e-296,0
"Sphk1",2.46074920127646e-295,0.32052292683682,0.539,0.052,4.23101217667475e-291,0,0.45358101035957,0.754,0.165,0,2.46074920127646e-295,0
"Mmp12",6.81113743376421e-291,2.55409337403735,1,0.694,1.17110697036142e-286,0,2.28947439378365,1,0.834,0,6.81113743376421e-291,0
"Itgax",9.07489012976931e-281,1.21925062911389,0.981,0.435,1.56033660891254e-276,0,1.17168304793986,0.959,0.266,0,9.07489012976931e-281,0
"Lpl",1.24474945728393e-278,2.1184528943967,1,0.516,2.14022221685399e-274,0,1.89820256308983,0.998,0.512,0,1.24474945728393e-278,0
"Rnf128",1.15812209493622e-275,0.855073726475195,0.757,0.146,1.99127513003334e-271,0,0.78855832743964,0.828,0.18,0,1.15812209493622e-275,0
"Ahnak2",5.18552725565588e-274,0.608559075470117,0.798,0.159,8.91599556337472e-270,0,0.582330646354066,0.8,0.182,0,5.18552725565588e-274,0
"Nrp1",9.48609787456282e-272,0.643640027996874,0.817,0.189,1.63103966855233e-267,0,0.616242894176851,0.776,0.121,0,9.48609787456282e-272,0
"Wfdc18",6.37663203175322e-270,0.394007465996032,0.551,0.064,1.09639811153965e-265,0,0.345678693719388,0.524,0.078,0,6.37663203175322e-270,0
"Myof",8.99045615939386e-266,1.03865258580055,0.973,0.39,1.54581903204618e-261,0,0.984146452722639,0.974,0.346,0,8.99045615939386e-266,0
"Pdpn",1.62252125520153e-258,0.758861558663929,0.888,0.241,2.7897630461935e-254,0,1.00676659125004,0.914,0.237,0,1.62252125520153e-258,0
"Clec1b",4.54924546994745e-258,0.482563524071059,0.709,0.123,7.82197266102764e-254,0,0.46321940922655,0.646,0.095,0,4.54924546994745e-258,0
"Igf2r",2.9076074055743e-254,0.506854723551515,0.802,0.172,4.99934017314445e-250,0,0.497473722442807,0.904,0.309,0,2.9076074055743e-254,0
"Il11ra1",1.43628118407328e-252,0.744993349673161,0.925,0.32,2.46954186789559e-248,0,0.770863329825203,0.932,0.223,0,1.43628118407328e-252,0
"Il7r",7.61767447634971e-251,1.13232281043568,0.956,0.365,1.30978294946357e-246,0,1.26236836388051,0.984,0.313,0,7.61767447634971e-251,0
"Adamtsl5",2.20146439414232e-248,0.350973857067318,0.688,0.118,3.7851978792883e-244,0,0.399223020931894,0.715,0.134,0,2.20146439414232e-248,0
"Fkbp11",2.25980826032858e-248,0.52300010420823,0.746,0.148,3.88551432280896e-244,0,0.451461752165508,0.614,0.1,0,2.25980826032858e-248,0
"Mamdc2",2.65542530455932e-235,0.353303426366398,0.449,0.047,4.56573826865929e-231,0,0.257309915716607,0.341,0.028,0,2.65542530455932e-235,0
"Ctsb",1.42870161428031e-234,1.46947589073816,1,0.833,2.45650955559357e-230,0,1.23684730016429,1,0.84,0,1.42870161428031e-234,0
"Slc6a8",4.73746238446131e-230,0.354864424872259,0.613,0.1,8.14559282384278e-226,0,0.45531022461787,0.682,0.125,0,4.73746238446131e-230,0
"Gpnmb",2.24442649716584e-228,1.67473580337213,0.988,0.601,3.85906691922694e-224,0,1.55637000316698,1,0.715,0,2.24442649716584e-228,0
"Spp1",3.0613670747659e-228,2.25062409510486,0.996,0.646,5.26371454835249e-224,0,1.76744936850489,0.998,0.735,0,3.0613670747659e-228,0
"Nrp2",2.1784475627898e-220,0.926257068713867,0.977,0.466,3.74562273946079e-216,0,0.861513577026317,0.96,0.322,0,2.1784475627898e-220,0
"Wfdc17",5.08503786854686e-213,1.67158102070968,1,0.745,8.74321411117948e-209,0,1.48455706414906,1,0.81,0,5.08503786854686e-213,0
"Pld3",2.90579685969864e-211,0.882576597945246,0.967,0.44,4.99622712056584e-207,0,0.958403764373447,0.979,0.375,0,2.90579685969864e-211,0
"Ctsl",1.67478650634254e-210,1.4868472325349,0.994,0.68,2.87962791900536e-206,0,1.9215785215823,0.997,0.703,0,1.67478650634254e-210,0
"Met",7.59582605059038e-210,0.332279219771739,0.586,0.102,1.30602633113851e-205,0,0.631094412943469,0.723,0.096,0,7.59582605059038e-210,0
"Gstm2",3.21254434568111e-208,0.306958790096314,0.536,0.08,5.52364874796409e-204,0,0.381127715791119,0.563,0.091,0,3.21254434568111e-208,0
"Msr1",5.25497711230945e-206,0.840319679743525,0.961,0.376,9.03540764690487e-202,0,0.661544460819799,0.981,0.444,0,5.25497711230945e-206,0
"Kcnn4",7.65692569377161e-203,0.677999151081925,0.859,0.3,1.31653180378709e-198,0,0.70615407513072,0.814,0.18,0,7.65692569377161e-203,0
"Fblim1",7.95559053186619e-201,0.426443742893088,0.819,0.217,1.36788423604907e-196,0,0.413176113976314,0.754,0.171,0,7.95559053186619e-201,0
"Ptgir",2.0301313766303e-197,0.555100383512215,0.846,0.273,3.49060788897813e-193,0,0.392272150894143,0.708,0.2,0,2.0301313766303e-197,0
"Lipa",3.88544648420027e-194,1.03990510359239,0.973,0.567,6.68063668493394e-190,0,0.935572322584866,0.978,0.428,0,3.88544648420027e-194,0
"Lrpap1",4.70599373678721e-194,1.23129454497251,0.963,0.599,8.09148563103192e-190,0,1.10295104564318,0.972,0.461,0,4.70599373678721e-194,0
"Rassf8",7.0412958934222e-194,0.400523290855965,0.669,0.155,1.21068041591501e-189,0,0.478878577712231,0.644,0.071,0,7.0412958934222e-194,0
"Ctss",9.00121087254055e-192,1.00000734141162,1,0.831,1.54766819742462e-187,0,1.07061646247949,0.999,0.705,0,9.00121087254055e-192,0
"Bhlhe41",3.13186375404538e-191,0.620295019692953,0.832,0.235,5.38492653870563e-187,0,0.648430917150318,0.933,0.308,0,3.13186375404538e-191,0
"Cav2",5.41237965859416e-191,0.303133433357455,0.703,0.163,9.3060455849868e-187,0,0.320415292304062,0.634,0.122,0,5.41237965859416e-191,0
"Sept8",2.42658325156412e-189,0.319777615708717,0.724,0.177,4.17226724273935e-185,0,0.347968417578072,0.673,0.144,0,2.42658325156412e-189,0
"Plk2",2.30265762663581e-188,0.463735434321518,0.632,0.138,3.95918952323761e-184,0,0.513496748612071,0.64,0.098,0,2.30265762663581e-188,0
"Sdc3",2.34772373317964e-184,0.692639890879662,0.911,0.362,4.03667618682906e-180,0,0.727856165882215,0.888,0.208,0,2.34772373317964e-184,0
"Prdx1",3.09710841562117e-184,1.21637870528988,1,0.904,5.32516820981903e-180,0,1.06006414976954,0.999,0.885,0,3.09710841562117e-184,0
"Slc7a2",8.41819155532049e-184,0.691391888922925,0.892,0.283,1.4474238560218e-179,0,0.574891662034562,0.834,0.235,0,8.41819155532049e-184,0
"Anxa4",1.24676066094049e-180,0.827926979073434,0.988,0.735,2.14368028042108e-176,0,0.663253402321558,0.988,0.641,0,1.24676066094049e-180,0
"Hvcn1",4.35669593820281e-177,0.787867377179522,0.952,0.551,7.49090299614592e-173,0,0.543569205663598,0.963,0.462,0,4.35669593820281e-177,0
"Tmem106a",5.78023840095967e-177,0.340221369353145,0.784,0.219,9.93854190661005e-173,0,0.295717746056475,0.702,0.196,0,5.78023840095967e-177,0
"Itgb2",6.75560224865674e-175,0.843898706490672,0.987,0.781,1.16155825063404e-170,0,0.649915855224134,0.993,0.749,0,6.75560224865674e-175,0
"Rab7b",1.92053762485257e-174,0.515136795225967,0.83,0.266,3.30217239217151e-170,0,0.597010731394599,0.912,0.289,0,1.92053762485257e-174,0
"Rhoc",8.07412162725351e-172,0.434552396872846,0.852,0.281,1.38826447258997e-167,0,0.597189586920132,0.875,0.195,0,8.07412162725351e-172,0
