"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Snrnp70",0.00631497405180379,0.304112619426244,0.176,0.091,1
"Rpsa",0.00759715290560216,0.253598080250995,0.709,0.538,1
"Atp6v1e1",0.0076086731217669,-0.443790087978783,0.149,0.238,1
"Bri3",0.00802701213492536,-0.409503036637231,0.128,0.222,1
"Ggnbp2",0.00833463086030949,0.270001459100703,0.122,0.055,1
"Pold4",0.00846566159392895,0.260363603000952,0.101,0.042,1
"Lat2",0.00885057117229102,-0.311663662665818,0.041,0.112,1
"Myl6",0.0092645317850701,-0.367258389446192,0.453,0.499,1
"Ctsl",0.0101818587594731,-0.40463088613192,0.27,0.371,1
"Kcnq1ot1",0.0110945359882638,0.442598659608092,0.115,0.052,1
"Ckb",0.0112180150206689,-0.415468516300509,0.101,0.183,1
"Pgam1",0.0116561916593001,-0.283859459227593,0.25,0.329,1
"Bnip3l",0.0117034953002093,-0.286468058313338,0.135,0.214,1
"Ap2s1",0.0130296392941483,-0.307656444767441,0.061,0.133,1
"Rassf4",0.0146369188826906,0.291539184814173,0.108,0.05,1
"Tyrobp",0.0153145815838043,-0.251151955987717,0.439,0.491,1
"Calm1",0.0154140922844688,-0.330546967773414,0.426,0.475,1
"Gnas",0.0157500336974465,-0.329549556317111,0.277,0.35,1
"Ap2m1",0.0157501821911925,-0.304671150349737,0.068,0.141,1
"Atrx",0.0159915371062026,0.305972292780596,0.149,0.078,1
"Dock10",0.0170388805052889,0.32691552568241,0.149,0.078,1
"Ywhaz",0.0180850430792797,-0.443135799468077,0.162,0.235,1
"Tomm7",0.0182029947529302,-0.301879572182451,0.054,0.12,1
"Clic4",0.0183010540420956,-0.287302743548486,0.068,0.138,1
"Macf1",0.02121380721902,0.283681484590987,0.115,0.057,1
"AC149090.1",0.0217265897046741,0.38838725351413,0.135,0.07,1
"Bhlhe41",0.0219611586975131,-0.322362461179153,0.047,0.107,1
"Tspo",0.0244358733352902,-0.329143727010768,0.128,0.201,1
"Ndufb8",0.0249061264483989,-0.344409606732598,0.074,0.138,1
"Msr1",0.0249846473170057,-0.291841740073547,0.101,0.17,1
"Ndufc1",0.0251880119085315,-0.397752322622842,0.068,0.131,1
"Lasp1",0.0253841776178864,-0.34808073568423,0.081,0.146,1
"Lilr4b",0.0273302795413196,-0.379539554198157,0.209,0.279,1
"Esd",0.0315926220593937,-0.369953575949506,0.236,0.292,1
"Zfp36l1",0.0317582742231477,0.449765580152933,0.101,0.05,1
"Gabarap",0.0324244713100634,-0.292912169924726,0.209,0.277,1
"Scand1",0.0324514096543704,-0.27548966147603,0.081,0.146,1
"Mtpn",0.03245143351344,-0.386846203194484,0.128,0.191,1
"Rpl8",0.0331267405685663,0.252218875251311,0.473,0.334,1
"Sem1",0.0338226469441406,-0.460385686985836,0.23,0.277,1
"Luc7l3",0.034678286163642,0.286948707571155,0.128,0.07,1
"Malat1",0.0352212996032997,0.607763620905649,0.676,0.616,1
"Tcf25",0.0368020737333325,0.357807018052393,0.149,0.089,1
"Ptprc",0.0388785425435525,0.348553159419927,0.149,0.089,1
"Gapdh",0.0394421132892366,-0.406658850974234,0.378,0.415,1
"Tagln2",0.0418937776344132,-0.270039967975397,0.25,0.305,1
"Nktr",0.0420392914052975,0.25086862648408,0.149,0.084,1
"Junb",0.0426785747265609,0.352226258258341,0.155,0.094,1
"Hdgf",0.0469111178122825,-0.37149521886731,0.061,0.112,1
"Snx2",0.0492394930292725,-0.276817722289918,0.074,0.128,1
"Spi1",0.0500000508202388,-0.356637700933742,0.122,0.18,1
"Ywhah",0.051182229121182,-0.271797636531536,0.128,0.196,1
"Ubb",0.0516120644615287,-0.371826783173663,0.243,0.295,1
"Basp1",0.0538726315987884,-0.325072921637425,0.162,0.225,1
"Cd300c2",0.0601406324839059,-0.295641235923333,0.088,0.141,1
"Prdx2",0.0617479247015314,-0.255360244053176,0.054,0.102,1
"Anxa4",0.063081918777319,-0.330114370496796,0.176,0.235,1
"Calm3",0.0639579626545059,-0.256670401167536,0.115,0.172,1
"Dbi",0.0685900117119356,-0.408230667552767,0.223,0.266,1
"Lamtor4",0.0703854298753319,-0.346088371325775,0.108,0.159,1
"Rbpj",0.0711113183292175,0.295208857695114,0.196,0.133,1
"Rock2",0.0744797936344491,0.255356037950532,0.101,0.057,1
"Uqcr11",0.0759973502305833,-0.280627159672646,0.108,0.159,1
"Dap",0.0851946421489832,-0.255436932397287,0.061,0.104,1
"Rpl6",0.0876985842901044,-0.336098213635842,0.264,0.308,1
"Clec4n",0.0884412847780113,-0.380150567187045,0.365,0.397,1
"Tm6sf1",0.0901670194465799,0.321893890969715,0.162,0.11,1
"Lars2",0.0948023150644861,0.533295939626799,0.568,0.46,1
"Arhgdia",0.10462704808201,-0.260038711379804,0.142,0.191,1
"Anxa5",0.1069862499805,-0.328862763755196,0.203,0.245,1
"Arl8b",0.12183038574532,-0.259893856747945,0.074,0.115,1
"Cdkn1a",0.124140314799052,-0.255984437970511,0.142,0.185,1
