"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Ptgs2",1.99593212101949e-142,2.05529188103316,0.52,0.008,3.43180568888091e-138,0,2.71427945239536,0.748,0.025,0,1.99593212101949e-142,0
"Ciart",2.97964574035177e-18,0.40708954962602,0.2,0.011,5.12320288596084e-14,0,1.17585355331586,0.441,0.009,0,2.97964574035177e-18,0
"Ccrl2",6.96708143976629e-37,2.42432590661498,0.92,0.143,1.19791998275342e-32,1.38345903761253e-287,2.70910406909928,0.85,0.065,2.37871946927098e-283,6.96708143976629e-37,2.76691807522495e-287
"Hspa1a",4.74051279620345e-26,1.59139000183727,0.2,0.008,8.15083770179222e-22,2.16492465195388e-262,1.86033631858544,0.26,0.005,3.7223714465695e-258,4.74051279620345e-26,4.32984930390753e-262
"Acod1",2.41567842560549e-39,2.20326592081465,0.8,0.091,4.15351748498607e-35,5.12248282733764e-148,2.08206605367005,0.827,0.118,8.80759697332434e-144,2.41567842560549e-39,1.02449656546751e-147
"Hspa1b",3.08359485251003e-22,0.595080659543738,0.16,0.006,5.30193298940575e-18,1.03155890314627e-129,1.48367004113654,0.142,0.003,1.77366237806969e-125,3.08359485251003e-22,2.06311780629259e-129
"Cxcl2",7.57838507098877e-50,4.90293100568545,0.96,0.108,1.30302752910581e-45,5.35777412082898e-126,4.74247788583301,0.953,0.239,9.21215682335335e-122,7.57838507098877e-50,1.0715548241658e-125
"Il1b",2.90940599518847e-14,2.80643608342709,0.6,0.133,5.00243266812705e-10,5.783020916513e-121,2.65296864345192,0.685,0.096,9.94332616385246e-117,2.90940599518847e-14,1.15660418330258e-120
"Nfkbiz",2.51438855210517e-11,1.28873908875334,0.56,0.15,4.32323967648964e-07,2.41213459464309e-119,1.96957879023526,0.622,0.08,4.14742422202934e-115,2.51438855210517e-11,4.82426918928621e-119
"Tnfaip3",2.9552620924284e-18,1.56144800781002,0.76,0.193,5.08127764172138e-14,8.71858122935504e-117,2.20953136226111,0.795,0.151,1.49907285657531e-112,2.9552620924284e-18,1.74371624587104e-116
"Ppp1r15a",6.31649724274353e-12,1.29240851615637,0.68,0.227,1.08605853591732e-07,4.16059239571786e-113,1.76707897612046,0.74,0.131,7.1537225651973e-109,6.31649724274353e-12,8.32118479143563e-113
"Hilpda",1.8157141243305e-28,2.8616790644263,0.92,0.198,3.12193886537387e-24,1.101127773564e-102,2.46017497771622,0.811,0.178,1.89327909386595e-98,1.8157141243305e-28,2.20225554712801e-102
"Maff",5.43002096463435e-14,1.23913547246194,0.64,0.168,9.33637804659229e-10,7.68126390127937e-98,1.38617822317051,0.661,0.115,1.32071651518598e-93,5.43002096463435e-14,1.53625278025587e-97
"Per1",4.74357871951053e-07,0.661626768152864,0.48,0.168,0.0081561092503264,1.19329082573501e-97,1.27344461422106,0.622,0.1,2.05174424576878e-93,4.74357871951053e-07,2.38658165147003e-97
"Gadd45b",2.32051197928624e-19,2.85780142241686,0.92,0.322,3.98988829718476e-15,1.29015689414313e-95,3.12526879019657,0.984,0.414,2.2182957637897e-91,2.32051197928624e-19,2.58031378828627e-95
"Pim3",1.35088378196773e-05,1.17701943113977,0.44,0.179,0.232270957471532,5.55360247674262e-94,1.34397700285365,0.52,0.07,9.54886409851126e-90,1.35088378196773e-05,1.11072049534853e-93
"Plcxd2",0.000411659144257925,0.507916821288885,0.2,0.051,1,4.81414238964805e-89,1.35235081699347,0.433,0.049,8.27743642476085e-85,0.000411659144257925,9.62828477929616e-89
"Clec4e",3.15986747388548e-19,2.66528447248588,0.92,0.33,5.4330761345987e-15,1.54006994948235e-86,3.22044783300283,0.937,0.374,2.64799627113996e-82,3.15986747388548e-19,3.08013989896469e-86
"Dusp1",1.35164696996937e-16,1.98376146304369,0.76,0.215,2.32402180016534e-12,4.92507549718266e-85,2.12470798461729,0.811,0.215,8.46817480985586e-81,1.35164696996937e-16,9.85015099436527e-85
"Ccl3",4.57326219590461e-20,3.48246812119299,0.92,0.304,7.86326701963838e-16,1.01757483362432e-84,3.2791405820912,0.992,0.514,1.74961816893366e-80,4.57326219590461e-20,2.03514966724867e-84
"Cxcl3",3.1967100422223e-25,3.18817119300837,0.52,0.057,5.49642324659703e-21,2.0667378287069e-83,2.9733062982107,0.646,0.122,3.55354902267864e-79,3.1967100422223e-25,4.13347565741377e-83
"Traf1",2.09894737832968e-09,1.06883708000569,0.6,0.189,3.60893012230005e-05,4.29816107852723e-82,1.69704351311434,0.677,0.144,7.39025815841973e-78,2.09894737832968e-09,8.59632215705455e-82
"Il1a",1.965036366847e-13,1.43936132876878,0.44,0.076,3.37868352915673e-09,3.11333931935432e-78,1.56692634430842,0.402,0.049,5.35307562569783e-74,1.965036366847e-13,6.22667863870873e-78
"Hcar2",1.03724366173456e-09,2.07895968726312,0.68,0.269,1.7834367519864e-05,2.07003468295137e-75,2.38927521345454,0.843,0.281,3.55921763386659e-71,1.03724366173456e-09,4.14006936590278e-75
