"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100a6",7.4615132587143e-95,-0.811896963393018,0.985,0.989,1.28293258970334e-90
"Rpsa",1.05355626580936e-94,0.505409853695996,0.999,0.997,1.81148464343261e-90
"Rpl3",6.80897062430802e-93,0.628378404284444,0.999,0.983,1.17073440914352e-88
"Rpl37a",1.38946065144917e-92,0.45986096115996,1,0.998,2.38903864410171e-88
"Pltp",3.4784311258805e-92,0.678031547414196,0.521,0.143,5.98081447783893e-88
"Gpnmb",1.12321248875527e-91,-0.96942778259032,0.982,0.995,1.93125155316581e-87
"Eif3e",1.17018160650482e-91,0.618189474320597,0.943,0.732,2.01201025422439e-87
"Rpl14",1.19965588626432e-91,0.538397763592412,0.997,0.985,2.06268833084287e-87
"Rpl27a",1.32227493621076e-91,0.567766629800947,0.999,0.996,2.27351952532077e-87
"Rpl32",4.87957929073234e-91,0.568475659788364,1,0.995,8.38994863248518e-87
"Lat2",8.40897114183859e-91,-0.755963774992815,0.51,0.765,1.44583849812773e-86
"Rpl23a",9.81007575342539e-91,0.423085364008994,0.998,0.993,1.68674442504396e-86
"Emilin2",3.15699008956122e-90,-0.736912823490425,0.879,0.95,5.42812875999157e-86
"Tmsb4x",1.38291937259396e-89,0.391485264761444,1,0.999,2.37779156923805e-85
"Tpt1",3.83828693109425e-89,0.445014644860207,1,0.999,6.59955054932346e-85
"Rpl36a",7.91569952414345e-89,0.572189245447561,0.991,0.969,1.36102537618123e-84
"Idh1",3.53004012920875e-87,0.635915311665516,0.962,0.769,6.06955099816152e-83
"Ypel3",1.01652809389771e-86,0.64944695223667,0.836,0.482,1.74781840464773e-82
"Eef2",9.9697918381872e-86,0.581574567336978,0.994,0.971,1.71420600865791e-81
"Rps8",2.31154842422159e-85,0.439040176828454,1,0.999,3.9744763606066e-81
"Fabp5",8.89831807008402e-85,-0.976901106571702,0.983,0.992,1.52997680897025e-80
"Cish",3.95569324430226e-84,-0.69311509694677,0.546,0.824,6.8014189642533e-80
"Eif3f",4.10652297424082e-84,0.558341689910842,0.977,0.906,7.06075560190966e-80
"Rps27",5.42754022797052e-84,0.663648955192785,0.999,0.993,9.3321126679725e-80
"Clec4d",1.34793610333018e-83,-0.783362714060038,0.811,0.94,2.31764133606591e-79
"Txnip",9.23312761177584e-83,0.91795506947926,0.972,0.87,1.58754396156874e-78
"Snx2",4.06700536320156e-82,-0.66186144366882,0.869,0.936,6.99280902148876e-78
"Rpl13a",1.48069214510839e-79,0.536906503385751,0.931,0.714,2.54590207429937e-75
"Plec",3.65508618605096e-79,-0.623432541878403,0.881,0.943,6.28455518829602e-75
"Eif3k",8.76545459954122e-79,0.509427801809159,0.98,0.875,1.50713226384512e-74
"Cyp4f18",1.17099623944125e-78,0.40673878651845,0.506,0.145,2.01341093409528e-74
"Rpl19",3.46665382065199e-78,0.444675350422146,1,0.998,5.96056457922902e-74
"Vegfa",3.55220150572093e-78,0.515373794427466,0.413,0.095,6.10765526893657e-74
"Rpl8",7.2341730404921e-78,0.436242777964918,0.998,0.996,1.24384371258221e-73
"Rpl36",1.09476149041647e-76,0.508504560638508,0.998,0.985,1.88233290662208e-72
"Atp5g2",3.07543719367787e-76,0.477266112955858,0.986,0.93,5.28790671080972e-72
"Rpl35",7.9488966992432e-76,0.45248543376365,0.998,0.979,1.36673329846788e-71
"Mmp12",9.81408417897665e-76,-1.29156652110957,0.878,0.987,1.68743363373324e-71
"Rps13",1.03641415495251e-75,0.419153513768661,0.998,0.993,1.78201049802534e-71
"Klk1b27",1.81511072752253e-75,0.298564037516089,0.344,0.056,3.12090138490224e-71
"Itgam",1.9199933318376e-75,-0.571363447521531,0.962,0.988,3.30123653476157e-71
"Pmp22",5.91235293922962e-75,-0.805728292508577,0.628,0.816,1.01656996437114e-70
"Calm1",7.1793223744263e-74,-0.435502382823397,0.997,0.997,1.23441268905886e-69
"Pold4",8.20915992040889e-74,0.663842090682218,0.886,0.653,1.4114829567151e-69
"Bcl2l1",2.17191439636023e-73,-0.653366510750776,0.571,0.784,3.73438961310178e-69
"S100a4",2.46534927074071e-73,-0.824527938162721,0.884,0.937,4.23892153611158e-69
"Lilr4b",2.46725609375201e-73,-0.558826764214947,0.945,0.974,4.24220012759721e-69
"Igf2r",2.736355904153e-73,-0.610289174586826,0.341,0.638,4.70489034160068e-69
"2010111I01Rik",5.83084457752968e-73,-0.63935838653377,0.563,0.751,1.00255541666045e-68
"Rps20",1.04153153723036e-72,0.393372639266258,1,0.998,1.79080932511388e-68
"Rps15",1.4095294118414e-72,0.414324279147571,0.995,0.994,2.4235448707201e-68
"Pabpc1",7.28279579119674e-72,0.442870425382364,0.998,0.981,1.25220390833837e-67
"Ctsh",9.07998386174267e-72,0.675758034733515,0.972,0.907,1.56121242518804e-67
"Sdc1",1.03844014051371e-71,0.499595669882116,0.32,0.053,1.78549397759927e-67
"Rpl22",1.29354251139213e-71,0.43011788013699,0.995,0.984,2.22411699408762e-67
"Plaur",1.73355198708516e-71,-0.694809833544122,0.825,0.921,2.98066928659423e-67
"Angptl2",2.30946437280404e-71,-0.588369238164109,0.072,0.393,3.97089304259927e-67
"Rplp0",3.53154363254476e-71,0.460911195098404,1,0.999,6.07213612179747e-67
"Rps19",2.03690213412428e-70,0.374570992998331,1,0.999,3.5022495294133e-66
"Cd93",2.4578715487707e-70,-0.563951774951772,0.914,0.974,4.22606434095635e-66
"AA467197",3.05744218212894e-70,1.22127082209721,0.844,0.639,5.25696608795249e-66
"Rpl27",3.23876131186504e-70,0.476037207774615,0.98,0.892,5.56872619962075e-66
"Ccr2",5.25776288065968e-70,1.4540078718694,0.625,0.281,9.04019749700626e-66
"Prdx5",8.62221749351164e-70,0.562919875965169,0.997,0.984,1.48250407583439e-65
"Cndp2",4.28598247262164e-69,-0.541810216666665,0.931,0.955,7.36931826342565e-65
"Cox4i1",7.10707147600139e-69,0.3594402804882,0.999,0.994,1.22198986958368e-64
"Acp5",8.40945651617558e-69,0.335192495549454,0.455,0.125,1.44592195339123e-64
"Rpl21",2.94958347441889e-68,0.465242507772719,0.999,0.989,5.07151382591584e-64
"Efhd2",2.98318407767892e-68,-0.553406464966173,0.953,0.976,5.12928670316113e-64
"Npm1",6.12215603570499e-68,0.545646890448311,0.983,0.935,1.05264350877912e-63
"Ralgds",1.08000378849559e-67,-0.638138430395338,0.443,0.716,1.85695851393932e-63
"Abcd2",2.54554541460035e-66,0.40710291913784,0.589,0.231,4.37681078586384e-62
"Uqcrh",1.10349884820319e-65,0.436427225389352,0.993,0.978,1.89735591960056e-61
"Clec4n",1.49007533199745e-65,-0.556089279090867,0.997,0.999,2.56203552583641e-61
"Pdia4",5.49925976090351e-65,-0.675815049960945,0.625,0.787,9.4554272328975e-61
"Pld4",7.63293493798807e-65,0.494954273820204,0.813,0.461,1.31240683323767e-60
"Ahnak",7.7364751611816e-65,-0.524962794769752,0.991,0.992,1.33020953921356e-60
"Mfsd1",8.44410390473657e-65,-0.578186365399262,0.851,0.913,1.45187922538041e-60
"Adgre5",9.85064182335261e-65,0.341362682790276,0.38,0.095,1.69371935510725e-60
"Ms4a6d",4.13191132260308e-64,-0.616065938674194,0.613,0.775,7.10440832808374e-60
"Btg2",5.01215379076617e-64,0.508266952024671,0.689,0.336,8.61789722784335e-60
"Eps8",5.43744910391447e-64,-0.577364811933276,0.671,0.827,9.34914998927053e-60
"Adam8",9.52165953180253e-64,-0.819927839669856,0.518,0.757,1.63715413989813e-59
"Rin3",1.27449453945985e-63,0.408271768146378,0.747,0.387,2.19136591114727e-59
"Pdcd4",1.4144585006354e-63,0.277399953929875,0.448,0.132,2.4320199459925e-59
