"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Ccr2",9.54317699259312e-90,1.43265189558148,0.93,0.373,1.64085385210646e-85,0,1.45085346992373,0.869,0.168,0,9.54317699259312e-90,0
"Gal",1.87215730572567e-48,0.63920016892803,0.4,0.086,3.21898727146472e-44,5.62727565192274e-213,0.852590603158308,0.553,0.097,9.67553775591597e-209,1.87215730572567e-48,1.12545513038456e-212
"Pld4",1.86474453109937e-52,0.541199346477918,0.908,0.439,3.20624174677225e-48,2.61706758897214e-207,0.587620966905661,0.71,0.174,4.49978601247869e-203,1.86474453109937e-52,5.23413517794438e-207
"F13a1",1.80787538838138e-84,0.90019163679295,0.395,0.051,3.10846094278294e-80,3.43781728600723e-188,0.906239985415214,0.745,0.191,5.91098304156083e-184,1.80787538838138e-84,6.87563457201434e-188
"Vcan",2.18711763707869e-61,0.679259662918935,0.557,0.141,3.7605300651931e-57,1.52059687236502e-187,0.966939743064174,0.771,0.23,2.61451426234442e-183,2.18711763707869e-61,3.04119374473e-187
"Rpl10a",1.98308752092786e-24,0.396396684576018,0.995,0.875,3.40972068348337e-20,4.08322939258059e-174,0.988689733002607,0.996,0.682,7.02070461760307e-170,1.98308752092786e-24,8.16645878516143e-174
"Rpl13",1.61454601930211e-28,0.370621238867043,1,0.976,2.77605042558804e-24,8.2118423551845e-167,0.777928403806263,1,0.937,1.41194417455042e-162,1.61454601930211e-28,1.64236847103688e-166
"Rps8",1.61336820003206e-29,0.359016891572557,1,0.971,2.77402528313512e-25,4.33431050414017e-165,0.778618341232842,1,0.931,7.4524134808186e-161,1.61336820003206e-29,8.66862100828046e-165
"Ly6c2",1.96129907081285e-66,1.28424058231641,0.784,0.279,3.37225762235562e-62,3.12204505760254e-163,1.09858389776997,0.893,0.349,5.36804427204181e-159,1.96129907081285e-66,6.24409011520498e-163
"Rpl3",3.1794402581596e-18,0.336378142348172,0.995,0.875,5.46672957987961e-14,1.0741387316904e-162,0.925401116772869,0.987,0.712,1.84687413526848e-158,3.1794402581596e-18,2.14827746338083e-162
"Rps27a",1.28304941855736e-22,0.280352937906405,1,0.981,2.20607517026752e-18,4.30218862262324e-162,0.700699827415186,1,0.947,7.39718311773841e-158,1.28304941855736e-22,8.60437724524671e-162
"Rps18",1.47004863484834e-24,0.386258088539582,1,0.94,2.52760162275824e-20,8.75598633338292e-162,0.886091041050495,0.998,0.826,1.50550429016186e-157,1.47004863484834e-24,1.75119726667663e-161
"Rps5",2.84219534158054e-23,0.354486891150068,1,0.944,4.88687067031359e-19,9.34571581255983e-162,0.818394915648997,1,0.842,1.60690237681154e-157,2.84219534158054e-23,1.86914316251199e-161
"Rps16",6.53040160005467e-33,0.386006142381936,1,0.971,1.1228372511134e-28,4.35979872194767e-161,0.699937988607278,1,0.939,7.49623792251682e-157,6.53040160005467e-33,8.71959744389536e-161
"Rps6",1.51961472099496e-28,0.375866702530788,1,0.931,2.61282555127873e-24,4.72074625869937e-159,0.83134664274546,0.998,0.817,8.11685111720769e-155,1.51961472099496e-28,9.44149251739884e-159
"Rps4x",3.32141829292001e-23,0.350501810986063,1,0.937,5.71084661284666e-19,1.28157513979629e-158,0.806661540665257,1,0.835,2.20354029536574e-154,3.32141829292001e-23,2.56315027959265e-158
"Rpl32",3.2549109841204e-21,0.328088644921932,1,0.96,5.59649394609662e-17,1.43690784785437e-156,0.785046465086607,1,0.886,2.4706193536008e-152,3.2549109841204e-21,2.87381569570879e-156
"Rpl22l1",6.38494977439212e-13,0.287967407255279,0.941,0.694,1.09782826420898e-08,1.06191644230857e-155,0.853253344258941,0.932,0.44,1.82585913090536e-151,6.38494977439212e-13,2.1238328846172e-155
"Rpl23",1.74589408537027e-22,0.311721706599371,1,0.977,3.00189029038564e-18,1.31028654495565e-154,0.682423623813556,0.996,0.942,2.25290668539674e-150,1.74589408537027e-22,2.62057308991131e-154
"Rplp0",1.09548544559564e-23,0.324978287919733,1,0.974,1.88357767515714e-19,2.39065840837542e-153,0.670798270791038,1,0.93,4.1104980673607e-149,1.09548544559564e-23,4.78131681675071e-153
"Rpl10",2.9693176163377e-21,0.36588591521297,0.984,0.931,5.10544470953104e-17,7.99407038669831e-149,0.766876815654097,0.998,0.818,1.37450046228891e-144,2.9693176163377e-21,1.59881407733966e-148
"Rps10",1.9466981041939e-24,0.304035412135952,1,0.971,3.347152720351e-20,3.08983934062448e-148,0.642515286667524,1,0.939,5.31266976226974e-144,1.9466981041939e-24,6.17967868124881e-148
"Rps19",4.88989444930642e-22,0.258858259519863,1,0.975,8.40768451613746e-18,6.00826873143656e-145,0.640731109971048,1,0.929,1.0330617256832e-140,4.88989444930642e-22,1.20165374628729e-144
"Rps3a1",7.56392362223594e-23,0.284240916552575,1,0.97,1.30054102760725e-18,1.38882359269394e-143,0.624734829301607,1,0.923,2.38794328527795e-139,7.56392362223594e-23,2.77764718538784e-143
"Rps15a",1.08235237672913e-18,0.287922741371482,1,0.945,1.86099667654806e-14,7.49666045160563e-143,0.709985735726862,0.996,0.868,1.28897579804907e-138,1.08235237672913e-18,1.49933209032114e-142
"Rpl26",3.80273447322357e-19,0.274050522564746,1,0.96,6.53842165326061e-15,2.07289346177659e-141,0.679362345939625,0.996,0.878,3.56413301817868e-137,3.80273447322357e-19,4.14578692355325e-141
"Rps7",2.19639574134032e-18,0.298018854092244,1,0.945,3.77648283766054e-14,1.16490886059067e-139,0.724281877723666,1,0.839,2.00294429489959e-135,2.19639574134032e-18,2.32981772118137e-139
"Rps9",1.22275079105931e-24,0.359736829299008,0.995,0.965,2.10239771014737e-20,5.00870519204273e-139,0.664579537721693,1,0.932,8.61196770719828e-135,1.22275079105931e-24,1.00174103840857e-138
"Rps11",3.32958240953162e-20,0.302383065976131,1,0.953,5.72488399494867e-16,8.69128739509036e-138,0.683746226542779,1,0.88,1.49437995471184e-133,3.32958240953162e-20,1.73825747901812e-137
"Rpl28",3.56207774032265e-17,0.27665634936418,1,0.957,6.12463646671076e-13,9.9268592642133e-138,0.70911986180522,0.998,0.878,1.70682418188883e-133,3.56207774032265e-17,1.98537185284266e-137
"Rpl8",2.33011674426829e-18,0.273786710159413,1,0.951,4.00640273009489e-14,2.17823900805477e-136,0.677935487717817,1,0.881,3.74526415044937e-132,2.33011674426829e-18,4.35647801610963e-136
"Rpl18",2.29704406960623e-20,0.312875536044669,0.989,0.949,3.94953757328095e-16,2.6227495119822e-136,0.674870502336252,0.996,0.883,4.5095555109022e-132,2.29704406960623e-20,5.24549902396449e-136
"Rps3",1.61536881799557e-17,0.267054406001247,1,0.948,2.77746514566159e-13,4.65232224950023e-136,0.662190099971365,0.996,0.867,7.99920287579069e-132,1.61536881799557e-17,9.30464449900051e-136
