"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Hist1h1b",0,1.70018934973737,0.786,0.095,0,5.67176304452513e-202,1.3443544297512,0.741,0.072,9.75202937875651e-198,5.67176304452513e-202,0
"Pclaf",0,1.39765286623269,0.964,0.138,0,1.49328418154718e-239,1.41179988116044,0.959,0.109,2.56755282175222e-235,1.49328418154718e-239,0
"Trp53i11",0,0.990127039046759,0.973,0.13,0,0,0.913908440977508,0.83,0.032,0,0,0
"Prc1",0,0.961229382718242,0.786,0.093,0,1.21654342955524e-172,0.94447749395859,0.755,0.088,2.09172477277728e-168,1.21654342955524e-172,0
"Cenpe",0,0.890380091797029,0.822,0.097,0,4.84057784780902e-197,1.00210918499928,0.81,0.09,8.32288955152282e-193,4.84057784780902e-197,0
"Clspn",0,0.766032063925818,0.819,0.098,0,1.26767699556774e-189,0.640392519493484,0.714,0.071,2.17964382617917e-185,1.26767699556774e-189,0
"Hmmr",0,0.741300888421208,0.739,0.072,0,7.91807953323181e-163,0.639440233308402,0.667,0.07,1.36143459494388e-158,7.91807953323181e-163,0
"Ccna2",0,0.72365026935586,0.834,0.081,0,1.86471721077495e-188,0.683784990922204,0.762,0.08,3.20619477220646e-184,1.86471721077495e-188,0
"Spc24",0,0.70644989441807,0.858,0.093,0,2.00301198728217e-235,0.688285901097842,0.789,0.071,3.44397881093296e-231,2.00301198728217e-235,0
"Kif11",0,0.683994035649785,0.721,0.065,0,4.29086711075378e-204,0.593105512418644,0.687,0.06,7.37771691023005e-200,4.29086711075378e-204,0
"Knl1",0,0.599730549764365,0.789,0.075,0,2.55405113297707e-240,0.548324446892187,0.728,0.057,4.39143551804077e-236,2.55405113297707e-240,0
"Cdc20",0,0.599614735022779,0.718,0.067,0,3.11632627970873e-192,0.561123775067216,0.633,0.054,5.35821140533119e-188,3.11632627970873e-192,0
"Asf1b",0,0.597426551780498,0.864,0.106,0,7.14113185274019e-183,0.51985934540016,0.816,0.094,1.22784621076015e-178,7.14113185274019e-183,0
"Kif15",0,0.593744512507775,0.801,0.087,0,6.20816666503482e-268,0.625973136422123,0.816,0.066,1.06743217638609e-263,6.20816666503482e-268,0
"Kif20b",0,0.592768860101072,0.792,0.085,0,1.16636277162581e-192,0.568394372311557,0.707,0.068,2.00544414953342e-188,1.16636277162581e-192,0
"Cenpm",0,0.529116376684297,0.84,0.095,0,6.40791738181457e-287,0.508060161134688,0.748,0.052,1.1017773146292e-282,6.40791738181457e-287,0
"Cit",0,0.512396869261115,0.792,0.078,0,1.02729486381996e-195,0.471315355266957,0.707,0.067,1.76633078885205e-191,1.02729486381996e-195,0
"Tk1",0,0.501650464868909,0.795,0.075,0,1.05162852019319e-219,0.431790903757118,0.639,0.048,1.80817007762017e-215,1.05162852019319e-219,0
"Esco2",0,0.465350392718845,0.576,0.042,0,4.32739917732244e-166,0.391868636935989,0.49,0.037,7.44053014548821e-162,4.32739917732244e-166,0
"Ndc80",0,0.452557835116765,0.73,0.066,0,1.36115198506872e-218,0.398956407422369,0.639,0.048,2.34036472312715e-214,1.36115198506872e-218,0
"Mxd3",0,0.444530372816811,0.632,0.03,0,0,0.389253500719545,0.551,0.024,0,0,0
"Ncapg",0,0.432524193708455,0.7,0.061,0,3.69882750349874e-225,0.359485038128031,0.68,0.052,6.35976400951573e-221,3.69882750349874e-225,0
"Neil3",0,0.419406868153411,0.7,0.06,0,1.05321564630501e-154,0.308328504723428,0.551,0.049,1.81089898225684e-150,1.05321564630501e-154,0
"Cdca2",0,0.414478782514648,0.694,0.058,0,3.1564701773324e-203,0.369979321721123,0.585,0.043,5.42723482290534e-199,3.1564701773324e-203,0
"Rad51ap1",0,0.407273734668157,0.739,0.072,0,3.09186495895943e-216,0.414245544482658,0.721,0.061,5.31615261043484e-212,3.09186495895943e-216,0
"Cep55",0,0.379281866030053,0.721,0.063,0,1.55392648096531e-227,0.371614786224083,0.626,0.044,2.67182119137175e-223,1.55392648096531e-227,0
"Kif4",0,0.372505301446976,0.659,0.049,0,1.32254100474375e-179,0.365633111639403,0.558,0.045,2.2739770035564e-175,1.32254100474375e-179,0
