"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gpnmb",0,1.91103971531775,0.818,0.382,0
"Gstm1",0,1.46597641021177,0.689,0.139,0
"Psap",0,1.26736063481663,0.994,0.958,0
"Atp6v0d2",0,1.2318684946371,0.616,0.116,0
"Lgmn",0,1.16391542527465,0.601,0.12,0
"Ctsb",0,1.02052178162619,0.953,0.703,0
"Dock10",0,0.895380821807751,0.723,0.246,0
"Cd93",0,0.850256342266953,0.714,0.249,0
"Sh3bgrl",0,0.816237207916352,0.654,0.197,0
"Ctsd",0,0.780192097547077,0.981,0.916,0
"Cd63",0,0.746664259585087,0.923,0.689,0
"Ftl1",0,0.60830176680658,0.999,1,0
"Malat1",0,-0.535475849880379,0.997,0.999,0
"Alox5ap",0,-0.656145347458412,0.862,0.948,0
"S100a11",0,-0.776550519018966,0.872,0.974,0
"S100a6",0,-0.806499300398406,0.963,0.993,0
"Srgn",0,-0.892740343094158,0.793,0.919,0
"Selplg",0,-1.01067441205525,0.552,0.817,0
"Sell",0,-1.13061071304826,0.247,0.646,0
"Mmp9",0,-1.16935456866831,0.376,0.702,0
"Il1r2",0,-1.27937486670622,0.401,0.836,0
"Pglyrp1",0,-1.39278130311693,0.27,0.691,0
"Lcn2",0,-1.4039221654549,0.399,0.731,0
"Csf3r",0,-1.53161750145982,0.436,0.878,0
"Ifitm1",0,-1.53534250185291,0.688,0.937,0
"Cxcr2",0,-1.76230226944769,0.097,0.699,0
"S100a8",0,-2.13563265286317,0.863,0.942,0
"S100a9",0,-2.72993574121912,0.661,0.899,0
"Asprv1",1.5248136511615e-304,-1.34323736389893,0.069,0.408,2.62176459180709e-300
"Mt1",7.40929592910143e-304,1.07521101645726,0.91,0.568,1.2739543420497e-299
"Coro1a",1.89776593936887e-290,-0.634956212375873,0.788,0.908,3.26301875615083e-286
"Prdx1",5.65622631051221e-289,0.934911982563542,0.953,0.78,9.7253155182947e-285
"Slfn1",3.55648291857277e-278,-0.96655705583607,0.38,0.686,6.11501673019403e-274
"F630028O10Rik",7.79612068748867e-278,-1.29542844404718,0.312,0.625,1.3404649910068e-273
"Vat1",3.54643144824282e-277,0.748485070672779,0.498,0.093,6.0977342321087e-273
"Gns",4.97493485885854e-275,0.745905046811624,0.708,0.269,8.55390299632137e-271
"Anxa5",4.73652591381445e-270,0.695875627581098,0.876,0.523,8.14398265621257e-266
"Lgals3",2.92699091349604e-251,0.684327087011372,0.989,0.984,5.03266817666509e-247
"Mxd1",2.99360875442329e-251,-0.951181381344684,0.382,0.666,5.14721089235541e-247
"Cd68",2.11795638782128e-250,0.73140611898307,0.817,0.507,3.64161421321992e-246
"Rpl3",9.49122936790058e-248,0.729673065729591,0.741,0.375,1.63192197751683e-243
"Stfa2l1",8.59764747851899e-245,-1.77362925236574,0.102,0.405,1.47827950745656e-240
"Lamp1",1.89908018510725e-244,0.515133585283159,0.942,0.776,3.2652784702734e-240
"Txnip",1.12871985302773e-242,-0.689770763831485,0.762,0.893,1.94072091529588e-238
"Jaml",4.30266706830395e-239,-0.974282473943378,0.291,0.596,7.39800575724181e-235
"Id2",1.3413570722956e-238,0.762735900365812,0.804,0.459,2.30632935010505e-234
"Ctss",3.76609555055493e-238,0.791514973545214,0.799,0.493,6.47542468962415e-234
"Atp6v1c1",2.65938381020025e-234,0.688207355144253,0.577,0.177,4.57254452325831e-230
"Hexa",2.8540424578259e-233,0.629314205112458,0.805,0.427,4.90724060198585e-229
"Myof",6.30737417794432e-233,0.655002578031992,0.359,0.034,1.08448991615575e-228
