"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mmp12",9.54841072846096e-43,-1.30560739885824,0.335,0.727,1.64175374065158e-38
"Apoe",2.7111942849437e-31,1.66539875323902,0.199,0.019,4.66162745353219e-27
"Lyz2",5.81487074133184e-31,0.834041630608267,1,0.987,9.99808875264596e-27
"Prdx5",8.84703216263821e-29,0.553522665266946,0.993,0.964,1.52115871004401e-24
"Nov",4.75811971476527e-27,-1.13309410093116,0.382,0.719,8.18111103756741e-23
"Arhgap24",4.96166648595475e-22,0.431761860186624,0.257,0.058,8.5310893559506e-18
"Klhl24",1.28754236465392e-21,0.4888593158151,0.522,0.206,2.21380034178595e-17
"Ypel3",2.55221704684003e-20,0.614192717449336,0.868,0.605,4.38828199033675e-16
"Txn1",4.98450759412454e-20,0.607612241214384,0.963,0.87,8.57036235733773e-16
"Rpl18a",6.08711136599704e-20,0.587342873473124,0.982,0.858,1.04661792826953e-15
"Mgst1",1.08684440034187e-19,0.618769064795088,0.967,0.821,1.8687202619478e-15
"Cox7a2l",2.09445498306272e-19,0.523704441297233,0.853,0.586,3.60120589787805e-15
"Spp1",6.13695966951121e-19,-1.15723666603044,0.364,0.575,1.05518884557576e-14
"Adgre5",1.59726548987925e-18,0.466173540999303,0.412,0.164,2.74633828329838e-14
"Slc2a3",6.93724146858693e-17,0.617074628781454,0.743,0.449,1.19278929810884e-12
"Actb",1.2210946260895e-16,-0.294166292438867,1,1,2.09955010009829e-12
"Cyp4f18",5.28928727400549e-16,0.60604552487575,0.75,0.461,9.09440053892503e-12
"Rps11",5.78702979389846e-16,0.449282759313296,0.938,0.886,9.95021902762901e-12
"Il1b",8.60916769639728e-16,0.688454429816942,0.239,0.07,1.48026029371855e-11
"Retnlg",9.53553567632745e-16,2.152625626001,0.496,0.274,1.63954000418774e-11
"Thbs1",9.86395643570087e-16,-0.699496879713196,0.897,0.958,1.69600866955441e-11
"Sephs2",1.14890564182356e-15,0.483173888448902,0.551,0.274,1.97542836055143e-11
"Eif3m",2.10321214851621e-15,0.339396989240873,0.438,0.189,3.61626296815878e-11
"Rgs2",4.47594705924072e-15,0.50351065183794,0.662,0.37,7.69594337365849e-11
"Mrgpra2b",7.40102809750782e-15,0.340320775560448,0.202,0.053,1.27253277108549e-10
"Rflnb",8.96370212981414e-15,0.565608019108499,0.735,0.474,1.54121894420024e-10
"Fau",1.42220833101758e-14,0.361002340586598,0.993,0.993,2.44534500435162e-10
"Prtn3",1.80960392563839e-14,0.35970195049615,0.206,0.057,3.11143298974266e-10
"Gm1673",3.45947886261611e-14,0.311965039002894,0.206,0.058,5.94822795638213e-10
"Irf2",3.51811988263899e-14,0.33692143894419,0.614,0.311,6.04905532620947e-10
"Cebpd",4.85796361946799e-14,0.571397588019198,0.79,0.52,8.35278264731327e-10
"Hp",1.15296272015097e-13,0.6265390994124,0.857,0.712,1.98240410102757e-09
"Cd177",1.40232528082347e-13,-0.627454668257551,0.746,0.866,2.41115808784788e-09
"Gpx4",2.25665700717563e-13,0.379822615385955,0.963,0.867,3.88009605813778e-09
"Ifitm1",2.3365655577552e-13,-0.559537556118443,0.915,0.975,4.01749082000429e-09
"Cirbp",2.49094618966395e-13,0.321043179406686,0.265,0.094,4.28293287850819e-09
"Rpl9",5.00365573929484e-13,0.501676401612942,0.941,0.82,8.60328567814355e-09
"Rps7",8.51787918385064e-13,0.513767981404958,0.897,0.741,1.46456414687128e-08
