"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Pclaf",0,1.24294093806823,0.92,0.132,0,0,1.24332336664682,0.834,0.071,0,0,0
"Birc5",0,1.08731594474624,0.853,0.124,0,0,1.06996080746339,0.778,0.077,0,0,0
"Cenpf",0,1.06313016051836,0.723,0.072,0,0,1.01344295913857,0.633,0.043,0,0,0
"Cdca3",0,0.921593596925496,0.838,0.126,0,0,0.842544061506233,0.727,0.073,0,0,0
"Tpx2",0,0.862693806962219,0.86,0.12,0,0,0.844852896835876,0.777,0.098,0,0,0
"Cenpe",0,0.843190703445202,0.782,0.092,0,0,0.802045475882034,0.702,0.059,0,0,0
"Ccna2",0,0.792890785921603,0.818,0.075,0,0,0.728031249504093,0.704,0.047,0,0,0
"Racgap1",0,0.713540564140414,0.825,0.129,0,0,0.673922576066045,0.706,0.059,0,0,0
"Hmmr",0,0.68632563896687,0.715,0.067,0,0,0.623193654913345,0.613,0.042,0,0,0
"Tacc3",0,0.647197544070765,0.843,0.123,0,0,0.614329660003201,0.721,0.078,0,0,0
"Ccnb1",0,0.628389394072658,0.748,0.069,0,0,0.638257206005666,0.619,0.04,0,0,0
"Anln",0,0.61607701202846,0.755,0.068,0,0,0.524470344864143,0.59,0.036,0,0,0
"Asf1b",0,0.611492984941339,0.843,0.099,0,0,0.52398765189618,0.706,0.062,0,0,0
"Bub1b",0,0.556272380172569,0.782,0.102,0,0,0.506592408764813,0.602,0.061,0,0,0
"Kif20b",0,0.549997434326147,0.73,0.082,0,0,0.515817098882883,0.591,0.041,0,0,0
"Kif11",0,0.54274867683515,0.665,0.062,0,0,0.473258872358145,0.531,0.036,0,0,0
"Plk1",0,0.53388247309906,0.647,0.057,0,0,0.509354971659421,0.532,0.035,0,0,0
"Ckap2l",0,0.49382520742623,0.708,0.058,0,0,0.435054391513137,0.55,0.029,0,0,0
"Knl1",0,0.44392811597157,0.693,0.074,0,0,0.355726911988936,0.509,0.035,0,0,0
"Aspm",0,0.442122948705754,0.603,0.047,0,0,0.396273186928448,0.476,0.024,0,0,0
"Kif20a",0,0.440369083937103,0.675,0.06,0,0,0.370532847893679,0.466,0.031,0,0,0
"Lockd",0,0.429320227657812,0.705,0.078,0,0,0.337132734235072,0.499,0.043,0,0,0
"Cit",0,0.416046146650337,0.748,0.073,0,0,0.406635222901369,0.575,0.041,0,0,0
"Cep55",0,0.404027600956554,0.685,0.059,0,0,0.343796704646322,0.461,0.023,0,0,0
"Pimreg",0,0.375036444792287,0.632,0.051,0,0,0.360064567747755,0.472,0.027,0,0,0
"C330027C09Rik",0,0.363926680164782,0.672,0.063,0,0,0.298924008830067,0.473,0.035,0,0,0
"Ckap2",0,0.357434200278076,0.6,0.042,0,0,0.29607651100267,0.417,0.023,0,0,0
"Bub1",0,0.355003603535234,0.68,0.06,0,0,0.344385319610756,0.495,0.03,0,0,0
"Nuf2",0,0.34620492187817,0.635,0.053,0,0,0.301722034271997,0.453,0.031,0,0,0
"Ncapg",0,0.341553806305466,0.65,0.058,0,0,0.296276527397681,0.466,0.032,0,0,0
"Kif2c",0,0.325199561552697,0.568,0.046,0,0,0.297440426882006,0.427,0.021,0,0,0
"Sgo1",0,0.317031442718879,0.603,0.052,0,0,0.303125422748407,0.452,0.03,0,0,0
"Kif4",0,0.309986190125787,0.588,0.048,0,0,0.250395014971211,0.409,0.027,0,0,0
"Foxm1",0,0.287615089827018,0.555,0.039,0,0,0.27624107792127,0.411,0.023,0,0,0
"Nusap1",2.2624957017806e-307,0.79034558311753,0.688,0.076,3.89013510964155e-303,0,0.809872020546902,0.627,0.042,0,2.2624957017806e-307,0
"Prr11",1.02945097473318e-304,0.298754123575949,0.537,0.042,1.77003800595624e-300,0,0.264621911357148,0.376,0.018,0,1.02945097473318e-304,0
