"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bhlhe40",2.85578435363137e-16,2.76052045337538,0.88,0.165,4.91023561763377e-12
"Elp5",1.05478971935889e-08,0.813694982913066,0.4,0.031,0.000181360544346568
"Rab10",2.13015144567084e-07,0.946067270500746,0.8,0.268,0.00366258239568645
"Mocos",4.31356164828011e-07,0.421660551245638,0.28,0.016,0.00741673789805282
"Mmp12",1.92551798725693e-06,-1.59005554916444,0.44,0.819,0.0331073562728956
"Ilkap",2.63876555172444e-06,0.439510367033646,0.52,0.102,0.0453709348963499
"Azi2",2.73907954533718e-06,0.513800307604013,0.44,0.079,0.0470957337025274
"Tnks2",3.05771476351449e-06,0.678086478935607,0.56,0.134,0.0525743476438682
"Glg1",3.14995937049485e-06,0.714668111477871,0.52,0.118,0.0541604014162884
"Snx30",4.82703311264402e-06,0.753819494455863,0.36,0.055,0.0829960073388013
"Ptges2",5.52593720149621e-06,0.272159894610925,0.16,0,0.0950129642425258
"Dock7",5.52593720149621e-06,0.347052931929935,0.16,0,0.0950129642425258
"Fbxl14",5.52593720149621e-06,0.334857402694538,0.16,0,0.0950129642425258
"Slc39a9",7.50916080296712e-06,0.380122438170424,0.2,0.008,0.129112510846217
"Hmg20b",8.42777704452628e-06,0.59884697664094,0.68,0.205,0.144907198503585
"Ing5",1.30387781803005e-05,0.390390813512074,0.28,0.031,0.224188752032087
"Lgals3bp",1.31522744757472e-05,0.256732255030938,0.36,0.055,0.226140207335997
"Slc25a37",1.37101342078455e-05,0.557954809699548,0.56,0.15,0.235732047569696
"Mylip",1.56578887837225e-05,0.816781871317746,0.4,0.079,0.269221739747324
"Gys1",1.62692131835497e-05,0.657859158870789,0.4,0.079,0.279732851477953
"Gapdh",1.70777470004893e-05,1.10006101562372,1,0.913,0.293634781926412
"Plxnd1",1.94141877200544e-05,0.94030692852936,0.52,0.142,0.333807543658615
"Hypk",2.50185197810839e-05,0.713830030710463,0.36,0.063,0.430168429115957
"Marc2",2.91839314098235e-05,0.537370456685177,0.24,0.024,0.501788516660505
"Smpdl3b",2.91839314098235e-05,0.389366681246678,0.24,0.024,0.501788516660505
"Fam45a",2.91839314098235e-05,0.257934627168584,0.24,0.024,0.501788516660505
"Aimp1",3.08729275458881e-05,0.463603798316223,0.4,0.079,0.530829116224
"Ccdc71l",3.58084720017598e-05,0.613152514374658,0.48,0.118,0.615690867598259
"Nmi",3.60967264097971e-05,0.322015509401668,0.24,0.024,0.620647113890051
"Inpp1",3.80535886782308e-05,0.508930432550324,0.24,0.024,0.6542934037335
"Pgm2",3.82524362424914e-05,0.682952776192313,0.4,0.087,0.657712388753398
"Fam162a",4.41723353167294e-05,1.28473938962686,0.68,0.299,0.759499133435845
"Ccng2",4.5491879184478e-05,0.69139626384685,0.56,0.173,0.782187370697914
"Sntb2",4.71426457454059e-05,0.692674337432376,0.52,0.157,0.810570650946509
"Nr3c1",5.06216949635106e-05,0.665328213840307,0.6,0.181,0.870389423202601
"Cmc1",5.08888318818719e-05,0.419222155965865,0.4,0.087,0.874982575376906
"Lats1",5.26839990670563e-05,0.59322426552017,0.32,0.055,0.905848679958965
"Bcl7b",5.4617115571263e-05,0.58136773613325,0.4,0.087,0.939086685132296
"Abhd17b",5.61295534852342e-05,0.803167730984154,0.28,0.039,0.965091542625117
"Agpat4",5.90225055783929e-05,0.742574837138134,0.4,0.094,1
"Dnajc1",6.20247059691116e-05,0.403186748238355,0.32,0.055,1
"Nos2",6.82120077458811e-05,0.426630055143675,0.2,0.016,1
"G6pdx",7.90219984682464e-05,0.592499115428668,0.32,0.055,1
