"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bhlhe40",3.37824556261608e-183,1.13175276398143,0.934,0.493,5.80855542036209e-179
"AA467197",3.91361414791312e-169,2.18505898231893,0.992,0.77,6.72906816592182e-165
"Ccl2",2.64894333980857e-140,-2.30935107668557,0.551,0.955,4.55459317846686e-136
"Vim",1.96126757452863e-132,-0.873480767273959,0.996,1,3.37220346764452e-128
"S100a9",2.04310712027501e-115,-1.34543600358967,0.705,0.917,3.51291838260085e-111
"Klk1b1",3.97623968577423e-112,0.740188689388872,0.514,0.099,6.83674651572021e-108
"Klk1b11",1.41379537197364e-111,1.18778142290809,0.58,0.138,2.43087976257148e-107
"S100a6",1.46530323219269e-110,-0.96051347127338,0.983,0.997,2.51944237743212e-106
"Ccl7",1.14914409795053e-108,-2.11597185411637,0.135,0.683,1.97583836201614e-104
"Rgl1",2.75590056957461e-98,-0.962817526909893,0.59,0.881,4.73849543932658e-94
"Tgm2",8.24893711655717e-98,0.773181690046412,0.516,0.117,1.41832224782084e-93
"Lmna",1.06219961759369e-95,-0.836165393094256,0.911,0.966,1.82634602249059e-91
"S100a8",2.95164121319319e-94,-1.42545858096438,0.778,0.94,5.07505190196437e-90
"Angptl2",4.05953391228491e-94,-0.904578928440864,0.349,0.738,6.97996260878268e-90
"Clec4d",1.13767562517557e-92,-0.917065633699689,0.9,0.965,1.95611946992687e-88
"Mras",3.28749430908674e-89,0.311707734151002,0.574,0.15,5.65251771504374e-85
"Axl",1.79533992393835e-88,0.979471470094516,0.792,0.366,3.08690746521961e-84
"Pilra",1.63056812180687e-86,0.536152019478152,0.688,0.253,2.80359882863473e-82
"Emp1",6.95786324137651e-84,-0.851840674176617,0.584,0.848,1.19633500572228e-79
"Rpl5",1.10379360426502e-83,0.694081349865817,0.979,0.969,1.89786272317328e-79
"Cox7a2l",5.74117369813944e-82,0.797726275373453,0.954,0.871,9.87137405658095e-78
"Ndufa4",4.35420526952458e-81,-0.715719632393418,0.869,0.948,7.48662054042056e-77
"Klk1b9",1.45530639944109e-79,0.342614931419229,0.237,0.017,2.502253823199e-75
"Rps3a1",6.60058664467037e-79,0.575181397363336,0.996,0.996,1.13490486768462e-74
"Ly86",1.49748213648002e-76,0.410482556913306,0.593,0.188,2.57477078546374e-72
"Rpl3",2.51096898207001e-74,0.747049337278987,0.979,0.964,4.31736006777117e-70
"Gm2a",3.86092204763321e-74,0.664738384447704,0.981,0.977,6.63846936870054e-70
"Crip1",9.07416806227928e-74,0.953457867586296,0.96,0.796,1.5602124566283e-69
"Pld4",1.51393553486191e-73,0.517492870647362,0.632,0.232,2.60306075864157e-69
"Rnase2a",4.08519838644218e-71,0.253250704538953,0.264,0.031,7.02409010564869e-67
"Kctd12",4.61171483040965e-69,0.712705395667823,0.929,0.739,7.92938247940635e-65
"Hpgds",7.10839600068715e-69,-0.567672722513706,0.268,0.64,1.22221760835815e-64
"Tpt1",4.1017191916305e-68,0.549607747648041,0.998,0.999,7.05249597808948e-64
"Anxa2",2.75186181290134e-67,-0.546708496667897,0.983,0.995,4.73155120110256e-63
"Ifrd1",7.51710505621825e-66,-0.676554405229074,0.769,0.892,1.29249104336617e-61
"Rpl9",3.49454283845503e-65,0.650182235405449,0.979,0.979,6.00851695643958e-61
"Rps9",1.49151904859373e-64,0.603980927551172,0.979,0.997,2.56451785215206e-60
"Rps3",2.00947345447326e-64,0.680615565187717,0.983,0.976,3.45508865762133e-60
"Rpl17",3.10539715250506e-64,0.693210233294407,0.994,0.988,5.3394198640172e-60
"Rpl10a",5.53522194827517e-63,0.776645841151692,0.967,0.952,9.51726061786432e-59
"Lgals1",1.14693874059607e-60,-0.658506106827563,0.981,0.993,1.97204647058088e-56
"Rps7",1.27415530431518e-60,0.842557195058995,0.975,0.96,2.19078263023951e-56
