"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Csf3r",0,1.85539829887219,0.824,0.166,0,0,1.83545656383652,0.89,0.343,0,0,0
"Cxcr2",0,1.63249951917307,0.747,0.082,0,0,1.61897560056606,0.688,0.132,0,0,0
"Mmp9",0,1.60573609854312,0.872,0.183,0,0,1.2719349763181,0.665,0.249,0,0,0
"Sell",0,1.47288576218084,0.788,0.143,0,0,1.30400144798232,0.615,0.186,0,0,0
"Malat1",6.90769288936834e-216,1.04737027993106,0.998,0.928,1.18770871539799e-211,0,1.08052299245792,0.999,0.96,0,6.90769288936834e-216,0
"S100a8",3.30100619892135e-210,1.63817546729245,0.976,0.667,5.67575005842537e-206,0,0.717508584377495,0.935,0.871,0,3.30100619892135e-210,0
"Pglyrp1",2.6112274876033e-208,1.11819902361353,0.786,0.247,4.48974454218512e-204,0,0.623425182331477,0.67,0.295,0,2.6112274876033e-208,0
"Tyrobp",1.6235286526447e-207,0.907814619911362,0.998,0.94,2.79149516535729e-203,0,0.776887270686604,0.996,0.956,0,1.6235286526447e-207,0
"Slfn1",2.55759459654367e-204,1.29673496549852,0.729,0.234,4.39752814929718e-200,0,1.28157614717632,0.677,0.287,0,2.55759459654367e-204,0
"Tmsb10",2.34250225258017e-193,-1.86012867810651,0.559,0.936,4.02769837308635e-189,0,-1.81252156238943,0.443,0.867,0,2.34250225258017e-193,0
"Il1r2",2.73785711875185e-189,1.59677778927216,0.808,0.368,4.70747152998194e-185,0,1.58117472150857,0.843,0.363,0,2.73785711875185e-189,0
"Fxyd5",1.29965891677217e-186,0.978155692945954,0.996,0.907,2.23463354149807e-182,0,0.815099467430355,0.985,0.92,0,1.29965891677217e-186,0
"Mmp8",5.44678478414017e-179,1.37101088197809,0.952,0.599,9.36520175785061e-175,0,0.962659673567639,0.96,0.82,0,5.44678478414017e-179,0
"S100a9",4.45818087582285e-175,1.50412237464626,0.903,0.572,7.6653961978898e-171,0,0.573603443007784,0.898,0.814,0,4.45818087582285e-175,0
