"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Eif5a",3.92597990700697e-133,0.678056747808522,0.987,0.884,6.75032985210778e-129
"Pnrc1",5.71770932716547e-133,-0.575431256560599,0.784,0.921,9.83102941712831e-129
"Hk2",2.29333855935789e-132,0.384345797432149,0.676,0.144,3.94316631895996e-128
"Nfatc2",2.4161996248318e-132,0.335548705911653,0.657,0.156,4.1544136349358e-128
"Hsd17b12",4.42176607292865e-132,0.421982420772798,0.774,0.301,7.60278458579352e-128
"Atg3",7.62628845004106e-132,0.432382354452823,0.883,0.502,1.31126403610006e-127
"Atrx",9.77294382875206e-132,-0.793512373798373,0.933,0.938,1.68035996191563e-127
"Anxa6",1.38495733102265e-131,0.525884994636891,0.864,0.456,2.38129563496034e-127
"Cx3cl1",2.77126989109524e-131,-0.35649027586907,0.092,0.544,4.76492145074916e-127
"Rps19",4.41061006484664e-131,-0.384510715281148,0.999,0.999,7.58360294549732e-127
"Lcp1",1.33036939152049e-130,0.559397725964238,0.999,0.927,2.28743713178033e-126
"Adam11",1.47146491827629e-130,-0.289207528034186,0.003,0.374,2.53003678048425e-126
"Avpi1",1.60106497909144e-130,-0.701396296546158,0.587,0.859,2.75287112504983e-126
"Clec4a2",2.85657514386333e-130,0.634220651280692,0.662,0.16,4.91159530235862e-126
"Klf6",3.58396206838538e-130,-0.617877669204796,0.857,0.938,6.16226438038182e-126
"Set",3.98687948210156e-130,0.531446702599575,0.988,0.878,6.85504058152542e-126
"Ncl",8.05763043156791e-130,0.562049763833452,0.98,0.885,1.38542897640379e-125
"Hacd4",1.19618016589168e-129,0.574735248552258,0.588,0.08,2.05671217723415e-125
"Ucp2",1.63378219206022e-129,0.568343675784188,0.984,0.855,2.80912510102835e-125
"P2ry14",9.32623711382907e-129,0.582202309388264,0.864,0.427,1.60355320935177e-124
"Stard10",1.14437716652596e-128,-0.285384864535622,0.026,0.422,1.96764210012473e-124
"Fgd2",1.19694544225658e-128,0.350764468991818,0.636,0.125,2.05802799341596e-124
"Sfxn1",1.2108716775896e-128,0.441743382953658,0.735,0.25,2.08197276244756e-124
"Bcl2",1.93367221865749e-128,0.338246874249175,0.593,0.084,3.32475601275969e-124
"Atp6v0b",2.19954261601059e-128,0.469541625919262,0.983,0.862,3.78189357396861e-124
"Rab3il1",2.67555680521582e-128,0.37618396006112,0.572,0.074,4.60035237088807e-124
"Ifitm3",3.33601539257975e-128,1.27159196635137,0.933,0.753,5.73594486600163e-124
"Rgs14",3.63648025290094e-128,0.318340769801038,0.566,0.073,6.25256414683788e-124
"Rrbp1",7.02060541956872e-128,0.533226934829757,0.965,0.792,1.20712289584065e-123
"I830077J02Rik",9.51821933221979e-128,0.330050036839999,0.572,0.069,1.63656263198187e-123
"Hexb",1.31946263716118e-127,0.446152491527244,0.793,0.35,2.26868405833493e-123
"Laptm5",1.39812540400973e-127,0.489426125093628,0.998,0.951,2.40393681965432e-123
