"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Ngp",0,3.64641861415979,0.868,0.077,0,0,3.10702634680776,0.851,0.183,0,0,0
"Ltf",0,3.39186089858579,0.647,0.049,0,0,3.3787862913738,0.754,0.091,0,0,0
"Stfa2",0,3.26115273427327,0.787,0.088,0,0,2.5626992451979,0.688,0.153,0,0,0
"Camp",0,3.08426964761267,0.651,0.044,0,0,2.57699631973654,0.59,0.072,0,0,0
"Cd177",0,1.95963831656972,0.746,0.056,0,0,2.103316928041,0.866,0.114,0,0,0
"Asprv1",0,1.86212332805157,0.728,0.047,0,0,1.47974601038359,0.748,0.14,0,0,0
"Ceacam10",0,1.70571538858699,0.732,0.055,0,0,1.86585352723463,0.784,0.072,0,0,0
"Chil1",0,1.69789270043437,0.897,0.065,0,0,1.33582808537855,0.792,0.107,0,0,0
"Ly6g",0,1.41147354252532,0.64,0.023,0,0,1.2111757802909,0.532,0.032,0,0,0
"Slc2a3",0,1.29957935903249,0.743,0.06,0,0,0.936941477860185,0.449,0.032,0,0,0
"Cxcr2",1.7419599267969e-289,1.541566025286,0.864,0.107,2.99512589813459e-285,0,0.98600732037548,0.716,0.185,0,1.7419599267969e-289,0
"Rnf144a",9.00561893182343e-288,0.702811262934125,0.445,0.019,1.54842611913772e-283,0,0.600775265944128,0.308,0.027,0,9.00561893182343e-288,0
"Itgb2l",1.72719758439018e-282,0.882235497841488,0.522,0.033,2.96974352660048e-278,0,0.988888888955001,0.5,0.03,0,1.72719758439018e-282,0
"Stfa3",6.07252108171442e-282,3.16854701837068,0.743,0.086,1.04410927478998e-277,0,2.67057782435908,0.633,0.159,0,6.07252108171442e-282,0
"Lcn2",8.19391721832238e-266,3.18301142814255,0.989,0.233,1.40886212651835e-261,0,2.64871348119799,0.989,0.395,0,8.19391721832238e-266,0
"Pglyrp1",8.86081944839663e-239,2.57605925295935,0.982,0.263,1.52352929595732e-234,0,2.30530233240348,0.985,0.309,0,8.86081944839663e-239,0
"Lrg1",2.19845662585238e-231,1.39878165250542,0.754,0.109,3.78002632249058e-227,0,1.2626828021507,0.665,0.115,0,2.19845662585238e-231,0
"Padi4",4.78747514028978e-214,1.20336436111247,0.754,0.121,8.23158475621425e-210,0,1.13413790979064,0.645,0.091,0,4.78747514028978e-214,0
"Ankrd22",1.37484429112556e-213,0.436884933563168,0.294,0.01,2.36390727416128e-209,0,0.506958572848482,0.29,0.023,0,1.37484429112556e-213,0
