"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Ccl5",0,3.83544539088564,0.85,0.114,0,0,3.70706258895555,0.754,0.037,0,0,0
"Ccl22",0,3.07822702977265,0.984,0.11,0,0,3.18433849619049,0.967,0.046,0,0,0
"Ccr7",0,2.61454979086293,0.954,0.033,0,0,2.68866640103532,0.957,0.012,0,0,0
"Il4i1",0,2.2967760927106,0.947,0.092,0,0,2.21795701487725,0.948,0.02,0,0,0
"Pkib",0,2.09220224536632,0.97,0.367,0,0,1.93703994452085,0.97,0.201,0,0,0
"Tmem123",0,1.93097629668983,0.977,0.581,0,3.24932256260077e-210,1.98076788188503,0.967,0.428,5.58688521413576e-206,3.24932256260077e-210,0
"Gm13546",0,1.91717561516838,0.922,0.035,0,0,1.53393593653853,0.818,0.009,0,0,0
"Fscn1",0,1.7643087422331,0.82,0.011,0,0,1.94108809743068,0.821,0.006,0,0,0
"Cytip",0,1.69339341480002,0.975,0.489,0,6.98387182300637e-294,1.89095689494633,0.973,0.264,1.20080692124771e-289,6.98387182300637e-294,0
"Cacnb3",0,1.59988438705012,0.914,0.025,0,0,1.70366631405299,0.912,0.013,0,0,0
"Tmem176a",0,1.56135877270588,0.912,0.129,0,0,1.36208077810491,0.739,0.012,0,0,0
"Cxcl16",0,1.54511921201547,0.956,0.373,0,0,2.00486021677237,0.964,0.176,0,0,0
"Tmem176b",0,1.54500132746263,0.912,0.14,0,0,1.38515531968575,0.763,0.011,0,0,0
"Cd83",0,1.53749123655926,0.937,0.061,0,0,1.8201330399679,0.951,0.05,0,0,0
"Tnfrsf9",0,1.46268927807766,0.907,0.088,0,0,1.98021624285986,0.945,0.047,0,0,0
"Traf1",0,1.39427413725045,0.917,0.12,0,0,1.52270867770282,0.96,0.13,0,0,0
"Serpinb6b",0,1.35248632306225,0.684,0.016,0,0,1.78814697582762,0.757,0.014,0,0,0
"Nr4a3",0,1.269298163672,0.818,0.038,0,0,1.13058396198013,0.669,0.013,0,0,0
"Arap2",0,1.19276786233651,0.929,0.298,0,5.71958933692772e-103,0.615502881257881,0.763,0.269,9.83426190591353e-99,5.71958933692772e-103,0
