"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Crip1",1.13379189895746e-243,-1.86695491697877,0.168,0.725,1.94944179106746e-239,0,-1.0469533594589,0.057,0.432,0,1.13379189895746e-243,0
"Clec4d",1.72023179853704e-213,0.936884128037648,0.87,0.519,2.95776655440459e-209,0,0.696927837722356,0.892,0.733,0,1.72023179853704e-213,0
"Fcer1g",1.69038124366142e-187,0.59701933329965,0.978,0.922,2.90644151035145e-183,0,0.441062927941873,0.972,0.942,0,1.69038124366142e-187,0
"Bri3",6.5353310483837e-162,0.679717798034697,0.959,0.885,1.12368482045909e-157,0,0.731506185116074,0.95,0.848,0,6.5353310483837e-162,0
"Actg1",7.42099203012765e-155,-0.635693317526514,0.963,0.986,1.27596536966015e-150,0,-0.552261786591449,0.925,0.971,0,7.42099203012765e-155,0
"Tmsb4x",1.15878637911003e-154,-0.550898241835596,0.999,0.999,1.99241730024179e-150,0,-0.478963167555639,0.992,0.998,0,1.15878637911003e-154,0
"Slc25a4",5.82500986255359e-152,-0.696587191524233,0.266,0.692,1.00155219576746e-147,0,-0.496885492129685,0.142,0.522,0,5.82500986255359e-152,0
"Tmsb10",3.69159388482799e-147,-1.02327168868367,0.824,0.919,6.34732652557325e-143,0,-1.10110549509442,0.693,0.832,0,3.69159388482799e-147,0
"H3f3b",2.14968612251972e-145,0.507549314933278,0.99,0.94,3.69617031906041e-141,0,0.449374888998953,0.978,0.942,0,2.14968612251972e-145,0
"Lgals1",3.36509151285633e-138,-1.02797165356125,0.408,0.759,5.78593834720518e-134,0,-1.19539019667966,0.359,0.663,0,3.36509151285633e-138,0
"Malat1",1.05561274685701e-135,0.489571758057694,0.998,0.922,1.81502055694595e-131,0,0.372565603557538,0.997,0.956,0,1.05561274685701e-135,0
"Olfm1",6.09960566713964e-124,-0.493867158650351,0.052,0.463,1.04876619840799e-119,0,-0.559695523795313,0.054,0.417,0,6.09960566713964e-124,0
"Sdc3",4.16706315825394e-109,-0.458756147415072,0.08,0.467,7.16484839430182e-105,0,-0.48258205437689,0.044,0.387,0,4.16706315825394e-109,0
"Clec4n",8.31917000903549e-96,0.609216185809661,0.945,0.799,1.43039809135356e-91,0,0.660426027633132,0.959,0.817,0,8.31917000903549e-96,0
"Actb",7.4773710480302e-88,-0.352092551636326,0.998,0.994,1.28565917799831e-83,0,-0.377286967665108,0.996,0.997,0,7.4773710480302e-88,0
"Fabp5",1.20259617976111e-114,-1.3064559930912,0.466,0.794,2.06774387148125e-110,2.13995845044708e-307,-1.26349379235876,0.578,0.807,3.67944455969872e-303,1.20259617976111e-114,4.27991690089378e-307
"Ccnd1",1.85499552183709e-68,-0.421039588763386,0.069,0.351,3.1894793002467e-64,1.63144645203369e-305,-0.576391804467384,0.054,0.386,2.80510902962673e-301,1.85499552183709e-68,3.26289290406714e-305
"Anpep",8.082008013876e-67,-0.31595736118236,0.061,0.335,1.38962045790584e-62,6.70510338575859e-304,-0.457730696941344,0.042,0.367,1.15287547614733e-299,8.082008013876e-67,1.34102067715169e-303
"Mrc1",4.15629169742649e-50,-0.467048683341514,0.073,0.294,7.14632794455511e-46,1.38643613800503e-300,-0.868154318477473,0.093,0.422,2.38383829568584e-296,4.15629169742649e-50,2.77287227601003e-300
"Cstb",1.91528618495738e-105,0.645007960366124,0.957,0.896,3.29314306641573e-101,1.07558021589941e-299,0.6044420808508,0.959,0.896,1.84935262321745e-295,1.91528618495738e-105,2.15116043179865e-299
"Cebpb",9.95143921565748e-128,0.633737185187619,0.971,0.772,1.71105045874015e-123,2.14744920330408e-294,0.514878006533799,0.954,0.863,3.69232416016104e-290,9.95143921565748e-128,4.29489840660814e-294
"Cd53",8.09477675968179e-175,0.752609803954917,0.955,0.783,1.39181591605969e-170,4.38219201530257e-282,0.573897046801408,0.918,0.84,7.53474095111123e-278,8.09477675968179e-175,8.76438403060433e-282
"Lst1",1.99537785841484e-151,0.761964786800486,0.851,0.645,3.43085268975847e-147,1.11558123181402e-277,0.558625932929847,0.825,0.715,1.91813036998103e-273,1.99537785841484e-151,2.2311624636279e-277
"H3f3a",2.16448238161216e-68,0.281693018726414,0.978,0.96,3.72161100694395e-64,8.32657079700363e-274,0.349290136885828,0.972,0.951,1.4316705828368e-269,2.16448238161216e-68,1.66531415940072e-273
"Sept11",1.26706802146622e-66,-0.31099695888635,0.211,0.519,2.17859675610902e-62,3.07627795177766e-271,-0.340999798435012,0.099,0.44,5.2893523102865e-267,1.26706802146622e-66,6.15255590355471e-271
"Atp6v1g1",4.05832402429856e-91,0.432440310526544,0.962,0.906,6.97788232737894e-87,5.14468601551136e-268,0.450825493880662,0.932,0.877,8.84577313507024e-264,4.05832402429856e-91,1.02893720310222e-267
"Cd36",7.15239497240422e-82,-0.757381719497706,0.033,0.334,1.22978279155518e-77,1.03826030755503e-267,-1.0213643371928,0.053,0.348,1.78518477281011e-263,7.15239497240422e-82,2.07652061510992e-267
"Cd9",1.61713439566259e-118,0.626030458630765,0.946,0.846,2.78050087990226e-114,4.87066218564369e-264,0.532379963408818,0.931,0.832,8.37461656199575e-260,1.61713439566259e-118,9.74132437128677e-264
"Gabarap",1.42466701005771e-102,0.351955042248458,0.973,0.932,2.44957245709323e-98,1.90882613753142e-262,0.333190462015979,0.966,0.935,3.28203566087153e-258,1.42466701005771e-102,3.81765227506248e-262
"Wfdc17",7.32395940562063e-54,-1.32746333558528,0.629,0.791,1.25928158020241e-49,6.04240929459743e-260,-1.33287236602024,0.748,0.865,1.03893185411308e-255,7.32395940562063e-54,1.20848185891936e-259
"Dock10",1.92096129660602e-29,0.443583989580738,0.746,0.68,3.30290085338439e-25,5.84307883194333e-257,0.788800391268733,0.717,0.595,1.00465897436434e-252,1.92096129660602e-29,1.16861576638855e-256
"Kcnn4",3.06751139544639e-74,-0.273322883678766,0.086,0.393,5.27427909333052e-70,2.28362472465036e-251,-0.350696122865349,0.048,0.34,3.92646435156383e-247,3.06751139544639e-74,4.56724944930053e-251
"Cd68",1.14880035269203e-112,0.631186924513812,0.866,0.674,1.97524732641867e-108,3.76749687364759e-248,0.591692829605351,0.803,0.667,6.47783412454967e-244,1.14880035269203e-112,7.53499374729509e-248
"Mfge8",1.82253781814831e-98,-1.14027265309083,0.145,0.506,3.1336715245242e-94,5.92759735577915e-246,-1.20902124488924,0.152,0.458,1.01919108935267e-241,1.82253781814831e-98,1.18551947115576e-245
"Ccdc88a",3.52409713289675e-95,-0.520528628381714,0.268,0.623,6.05933261030268e-91,1.9264857937983e-245,-0.421809694079461,0.145,0.476,3.31239967385679e-241,3.52409713289675e-95,3.85297158759624e-245
"Tyrobp",3.12509402093096e-148,0.553644630663967,0.974,0.94,5.3732866595887e-144,1.36970567552415e-241,0.344584187931606,0.977,0.958,2.35507193849623e-237,3.12509402093096e-148,2.73941135104828e-241
"Serpinb6a",1.57817483077872e-62,-0.391702249570787,0.09,0.359,2.71351380404093e-58,6.35178252229777e-240,-0.450052510152803,0.058,0.344,1.09212548688388e-235,1.57817483077872e-62,1.27035650445954e-239
"Card19",1.06903364886277e-119,0.587515071517129,0.842,0.693,1.83809645585464e-115,2.4188586718473e-239,0.572774279808339,0.763,0.692,4.15898560037424e-235,1.06903364886277e-119,4.83771734369421e-239
"F10",8.68916324979712e-44,0.657299113933425,0.71,0.581,1.49401472917012e-39,8.78059782755725e-235,0.736974320106761,0.761,0.658,1.50973599047019e-230,8.68916324979712e-44,1.75611956551141e-234
"Grina",1.54898928742722e-158,0.598931075086592,0.933,0.765,2.66333218080236e-154,3.59197705353215e-233,0.414514465798721,0.867,0.803,6.17604534584318e-229,1.54898928742722e-158,7.18395410706391e-233
"Mif",3.59340547417487e-81,0.589768235250379,0.908,0.788,6.17850137229627e-77,3.61148006455363e-232,0.629333811458471,0.811,0.726,6.2095788229935e-228,3.59340547417487e-81,7.22296012910663e-232
"Anxa1",1.77973638659994e-36,-0.522948116076902,0.721,0.828,3.06007874311993e-32,7.11426055787039e-232,-0.712276395119612,0.616,0.806,1.22322596032023e-227,1.77973638659994e-36,1.42285211157398e-231
"Mgll",8.14547831048190e-12,-0.301779292750026,0.487,0.61,1.40053354070426e-07,1.10521185983742e-229,-0.582251855014597,0.236,0.548,1.90030127180446e-225,8.14547831048190e-12,2.21042371967473e-229
"Axl",8.02232813372826e-152,-0.778171412720184,0.097,0.568,1.37935909931324e-147,1.87036806114961e-229,-0.408874750680333,0.021,0.274,3.21591084434065e-225,8.02232813372826e-152,3.74073612229914e-229
"Hmgn1",2.51526325376152e-81,-0.370280025300329,0.196,0.544,4.32474363851756e-77,3.55082357638933e-228,-0.283627871448968,0.085,0.387,6.10528605724381e-224,2.51526325376152e-81,7.1016471527784e-228
"Vim",1.60995844446493e-106,-0.677080818048206,0.915,0.936,2.768162549413e-102,1.53361156692544e-223,-0.677824767520937,0.888,0.925,2.6368917281716e-219,1.60995844446493e-106,3.06722313385059e-223
"Tnfrsf1b",1.14957364426832e-124,0.734290320715272,0.806,0.554,1.97657692395496e-120,3.18374441489837e-219,0.711782091162915,0.689,0.557,5.47413014697626e-215,1.14957364426832e-124,6.36748882979664e-219
"Mt1",5.69464970049993e-41,0.431059032513542,0.928,0.863,9.79138069503957e-37,2.17416647338456e-218,0.77182750131303,0.905,0.788,3.73826183433741e-214,5.69464970049993e-41,4.34833294676914e-218
"Ninj1",2.79542434909927e-94,0.659480628288955,0.729,0.568,4.80645262584128e-90,3.71763871476642e-216,0.686018094235537,0.698,0.595,6.39210800616937e-212,2.79542434909927e-94,7.43527742953289e-216
"Thbs1",6.55225770100136e-174,1.22308990331947,0.866,0.558,1.12659518911017e-169,5.00806837517974e-215,0.84451227336767,0.781,0.647,8.61087276428405e-211,6.55225770100136e-174,1.00161367503594e-214
"S100a4",1.09460162125582e-115,-0.871351556386146,0.473,0.777,1.88205802758725e-111,6.04724607845078e-213,-0.632086306670031,0.459,0.693,1.03976349072883e-208,1.09460162125582e-115,1.20944921569014e-212
"Ckb",3.54431509361106e-85,-0.639040752547889,0.039,0.352,6.09409537195486e-81,1.06481074790483e-212,-0.691330244731155,0.05,0.306,1.83083559994756e-208,3.54431509361106e-85,2.12962149580966e-212
"Stmn1",3.43503915212527e-63,-0.748590572730885,0.107,0.375,5.90620631816418e-59,1.34151349926201e-211,-0.616553765515309,0.052,0.306,2.3065983106311e-207,3.43503915212527e-63,2.68302699852406e-211
