"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Mmp12",5.0467580338122e-20,-0.73832721074756,0.614,0.91,8.67739576333669e-16
"Gpnmb",6.24739567229044e-09,-0.44670248805924,0.357,0.68,0.000107417721189362
"Klhl24",4.12807447664212e-08,0.260582768472134,0.586,0.242,0.000709781125513847
"Adgre5",1.77213543467543e-07,0.275030176035389,0.629,0.288,0.00304700966638093
"Nov",2.28919598802946e-07,-0.457638856988184,0.386,0.649,0.00393604358181786
"Rpl41",7.16671445347107e-07,-0.333431862730387,0.986,1,0.0123224488312982
"Bhlhe40",1.25962451550267e-06,0.258126907123412,0.557,0.271,0.0216579839195528
"Atp5k",5.0775379430542e-06,-0.269953095680953,0.9,0.939,0.087303187392874
"Pim1",6.37584321709723e-06,-0.313831025831932,0.871,0.939,0.10962624827477
"Ifitm1",8.08275132437885e-06,-0.381548806857248,0.829,0.949,0.13897482627137
"Ccl2",1.44142552598197e-05,-0.30983817519093,0.114,0.366,0.24783870493734
"Fth1",1.46727023380565e-05,-0.334976701643727,0.986,1,0.252282444000543
"Tomm7",2.22723561601285e-05,-0.272184650453883,0.871,0.913,0.382950891817249
"Cish",2.37842502658705e-05,-0.329255522400113,0.714,0.804,0.408946399071377
"Fabp5",7.21135973688219e-05,-0.620938066898972,0.614,0.755,1
"Gm34084",7.78869788245981e-05,0.288833227478219,0.6,0.349,1
"Cd52",9.6312496854408e-05,0.299701033183929,0.957,0.983,1
"Spp1",9.80093519159985e-05,-0.384323804327479,0.786,0.886,1
"Cycs",0.000110564085710135,-0.312901027207367,0.729,0.838,1
"mt-Co1",0.000222691156562259,-0.25060279172521,1,1,1
"mt-Nd3",0.000254042585978818,-0.287295687771452,0.929,0.959,1
"Rps27l",0.000296878184271123,-0.299910812049822,0.9,0.952,1
"Ndufa5",0.000319032330732342,-0.262628143098752,0.8,0.818,1
"Uqcr11",0.000371940497316502,-0.309627548842203,0.871,0.874,1
"Lars2",0.000397627158345025,0.52161837959913,0.929,0.794,1
"Mpc2",0.00049095775998001,-0.254548030081687,0.886,0.949,1
"Pts",0.000534855483748879,0.294021681140884,0.743,0.508,1
"Lyz2",0.00062732994558219,0.647650192675458,0.986,0.995,1
"Selenoh",0.000676960327618424,-0.272683270734738,0.6,0.688,1
"Npepps",0.0015106802880569,-0.250294829487895,0.814,0.91,1
"Ncf4",0.00153993190719694,0.273541995816521,0.957,0.898,1
"Hsp90aa1",0.00158272717271517,-0.253749637785345,0.929,0.949,1
"S100a6",0.00165291182313848,-0.349392799206799,0.914,0.971,1
"Lpl",0.00171731334241,-0.323903586369343,0.371,0.554,1
"Ctsl",0.00175626349092939,-0.255698408840423,0.429,0.586,1
"Ccl4",0.00194475112554982,-0.46984736764232,0.057,0.215,1
"Ybx3",0.00201884450397623,-0.335368748809865,0.514,0.646,1
"Ncl",0.00208047620320313,-0.294957504915851,0.929,0.949,1
"Emilin2",0.00240642594062856,-0.275678417522716,0.771,0.852,1
"Gadd45a",0.00297669538145713,0.250918417324162,0.457,0.254,1
"S100a4",0.0031567392962506,-0.335502101064238,0.386,0.53,1
"Nhp2",0.00329104703599239,-0.331908032300007,0.686,0.748,1
"Pf4",0.0035865423406324,-0.39406356047311,0.143,0.291,1
"H2afv",0.00379792477267802,0.256477338747899,0.971,0.969,1
"Mrpl12",0.00384388823141915,-0.25637776385241,0.514,0.634,1
"Nop58",0.00407095331173,-0.278476197164574,0.486,0.605,1
"Derl1",0.0041110746010988,0.263534446975838,0.829,0.676,1
"Snx2",0.00452633137217305,-0.258099656657062,0.657,0.683,1
"Mmp8",0.0046091332884743,-0.451788900549222,0.357,0.545,1
"Gm42418",0.00541163721647897,0.713893732770029,1,1,1
"Bola2",0.00602346789883399,-0.254249759110156,0.729,0.758,1
"Ppp1r14b",0.00772438508123647,-0.303514328836608,0.757,0.755,1
"AC160336.1",0.00800802469348903,-0.271612111586378,0.686,0.751,1
"C1qbp",0.00814228322401377,-0.299659169736273,0.443,0.562,1
"Chil3",0.00887622213434576,0.320867445202188,0.9,0.925,1
"Tarm1",0.0182615096687007,-0.255243522638193,0.371,0.477,1
"Hsp90ab1",0.0224715986512074,-0.262531353048986,1,0.99,1
"Cdkn1a",0.0243798555138549,-0.286989224868309,0.6,0.676,1
"Acpp",0.0305965426263054,-0.265429828472115,0.543,0.579,1
"Camp",0.0375014520210087,0.682365113552942,0.671,0.598,1
"Hspe1",0.0510751887281186,-0.268074327816112,0.571,0.63,1
"Anxa1",0.0676661231754801,0.345683476325915,0.871,0.901,1
"Cenpj",0.0802948636001739,0.302855943240147,0.371,0.247,1
"Mpo",0.0987547632044752,0.334928166824406,0.229,0.339,1
"2010005H15Rik",0.13256944158054,-0.275959162672463,0.514,0.596,1
"Ifitm6",0.134560336245775,-0.271885653445358,0.557,0.625,1
"Fn1",0.262660665305806,0.324904301047734,0.186,0.136,1
"Cd177",0.27238680518471,-0.264864708624919,0.643,0.654,1
"Asprv1",0.422548567922481,-0.250869346213312,0.271,0.303,1
