"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hpgds",1.33712895256174e-49,-1.35394679932989,0.309,0.857,2.29905952103465e-45
"Bhlhe40",3.44903386596858e-47,1.08627613673623,0.964,0.578,5.93026882914638e-43
"Lmna",1.37264148648719e-38,-1.17719545808234,0.558,0.912,2.36011977186607e-34
"AA467197",2.7482021141451e-32,1.50566029610507,0.855,0.395,4.72525871506109e-28
"Psap",1.24978188839662e-30,-0.972948141792931,1,1,2.14887497890914e-26
"Cldnd1",2.98923053769208e-30,1.24721395817004,0.95,0.701,5.13968298650776e-26
"Sdc4",4.17967114566507e-30,-0.508095762704552,0.053,0.476,7.18652656785651e-26
"Angptl2",5.60995423703231e-29,-0.756177649481379,0.338,0.776,9.64575531515336e-25
"Crip1",2.31854781871551e-27,1.45296452681254,0.944,0.823,3.98651111949945e-23
"Scp2",5.53761038679638e-27,-0.598481699941723,0.985,1,9.5213672990577e-23
"Mrfap1",1.02085900325371e-26,0.665004763497711,0.997,0.966,1.75526497019444e-22
"Tpst2",2.84407465521592e-25,-0.567730530118569,0.424,0.769,4.89010196217826e-21
"Ndufa4",4.12312409673466e-25,-0.680340656045368,0.964,0.986,7.08929957192557e-21
"Rab7b",6.83802368364998e-25,-0.311502511374992,0.047,0.408,1.17572979216678e-20
"Qpct",1.11820851466605e-24,0.51307449314445,0.7,0.177,1.92264772011681e-20
"Fth1",1.51327636209798e-24,-0.829349369331606,1,1,2.60192737699126e-20
"Ccl17",1.65862098696316e-23,1.69232328929474,0.932,0.558,2.85183292498446e-19
"Rpl10",1.96858558884038e-23,0.389535609687286,1,1,3.38478606145215e-19
"S100a9",2.3851248238012e-23,-1.75598087432119,0.626,0.844,4.10098362204378e-19
"Hepacam2",3.98191287988672e-23,0.516973145912978,0.884,0.449,6.84650100567723e-19
"Rbpms",6.97921000955926e-23,0.371868069198392,0.647,0.143,1.20000536904362e-18
"Ckb",3.18222999893342e-22,1.01761331478817,0.905,0.537,5.47152626016612e-18
"Trf",3.46034223464534e-22,0.616225264355596,0.938,0.68,5.9497124382492e-18
"Fads3",6.96242308239333e-22,-0.565294871951707,0.386,0.694,1.19711902478671e-17
"mt-Atp6",1.10221829800055e-21,0.338936602334439,1,1,1.89515414158214e-17
"S100a8",2.47197343408406e-21,-1.86708464548365,0.51,0.782,4.25031112256413e-17
"Gpnmb",2.56383256598512e-21,-1.33716939694895,0.433,0.748,4.40825371395482e-17
"Fahd2a",4.58896378428559e-21,0.529641754308011,0.801,0.401,7.89026433070065e-17
"Ccl2",8.85343484387236e-21,-0.52479712183376,0.092,0.442,1.52225958705541e-16
"Tmsb10",1.21666140274089e-20,0.455504497652858,1,1,2.09192761587268e-16
"Rpl3",1.7767458384964e-20,0.309719121397737,1,1,3.0549367947107e-16
"Ly6a",6.12965017627521e-20,-1.16783835757711,0.178,0.544,1.05393205130876e-15
"Tbxas1",2.01494334210427e-19,0.437134744878299,0.843,0.395,3.46449358241408e-15
"Eef1a1",4.65471072569259e-19,0.303258514884712,1,1,8.00330962175584e-15
"Klk1b9",8.02785697373255e-19,0.882201925334936,0.92,0.612,1.38030972806357e-14
"Fndc5",1.77818714748423e-18,0.549533042844172,0.727,0.306,3.05741498138439e-14
"Emilin2",5.77562073034379e-18,-0.585784846541832,0.878,0.932,9.93060228375311e-14
"Pf4",7.57145021634909e-18,-0.949566316597544,0.107,0.429,1.30183515019906e-13
"Sptbn1",8.84737832699346e-18,0.497280095753032,0.881,0.551,1.52121822954326e-13
"Gfra2",1.15763558040079e-17,0.461906915515732,0.546,0.129,1.99043861694112e-13
"Klk1b11",2.73604176243531e-17,1.16474956377279,0.92,0.571,4.70435020633126e-13
"Rps7",2.96063754706171e-17,0.290788307265756,1,1,5.09052019841791e-13
"Wfdc17",3.4580684700377e-17,-1.03822947177801,0.724,0.912,5.94580292738282e-13
