"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Apoe",7.74933427061717e-86,2.41457573408458,0.266,0.028,1.33242053448992e-81
"Mmp12",1.2169458103827e-78,-1.61776616339809,0.311,0.661,2.09241662637201e-74
"Dhrs3",1.74561366472732e-59,0.4609814076504,0.216,0.028,3.00140813513216e-55
"Rpl9",3.77850704590451e-59,0.726200766425615,0.943,0.764,6.49676501472821e-55
"Scd2",4.68739940137085e-51,0.783795573251303,0.43,0.14,8.05951453071704e-47
"Adgre5",6.03711515189108e-50,0.48281718215205,0.198,0.029,1.03802157921615e-45
"Rps11",5.77817368313707e-48,0.696007012879903,0.974,0.816,9.93499183078588e-44
"Trf",2.67113146967377e-46,0.896253313722622,0.518,0.208,4.59274344895708e-42
"Rps27a",8.177960780566e-46,0.600151798933147,0.985,0.909,1.40611857661052e-41
"Fau",1.49231789008602e-45,0.543075776720815,1,0.987,2.56589138021389e-41
"Mgst1",1.88307763038577e-45,0.829558313209307,0.753,0.412,3.2377636776853e-41
"Rps3a1",1.95703516162282e-45,0.674099085614143,0.969,0.852,3.36492625689428e-41
"Rpl17",3.29105733334361e-45,0.663690283404535,0.974,0.845,5.65864397895101e-41
"Rps9",1.93437687549562e-43,0.609779532919307,0.985,0.924,3.32596759972717e-39
"Tarm1",5.56376628262522e-43,-1.03558157271977,0.665,0.775,9.5663397463458e-39
"Tmsb4x",4.20832246212973e-42,0.374125039855663,1,0.996,7.23578964138586e-38
"Prdx5",6.62647626299622e-42,0.562332549418159,0.991,0.939,1.13935632865957e-37
"Rps7",1.16325243127788e-41,0.731847812266647,0.908,0.717,2.00009623033918e-37
"Tgm2",3.41811353932748e-41,0.544029020512476,0.324,0.096,5.87710441951967e-37
"Ly6a",4.77070471848174e-41,-1.96993522188881,0.189,0.463,8.2027496929575e-37
"Cox7a2l",4.730568848032e-40,0.647696511674028,0.788,0.425,8.13374007730622e-36
"Rpl18a",1.1621062446632e-38,0.572430754915329,0.965,0.852,1.9981254770739e-34
"Rpl10",1.39123163333436e-38,0.706124447724837,0.892,0.65,2.39208367035509e-34
"Lyz2",3.37564464599368e-38,0.928133013728121,0.969,0.926,5.80408340432154e-34
"Rps3",6.18757239454822e-38,0.589644952487846,0.936,0.764,1.06389119751862e-33
"Aldoc",1.00320476752505e-37,0.395602988824093,0.223,0.052,1.72491027728256e-33
"Rpl5",3.47600778532921e-37,0.720675196759369,0.85,0.558,5.97664778609505e-33
"Slc2a3",3.60160854588265e-37,0.888475158485982,0.15,0.023,6.19260573379064e-33
"Rpl27a",4.37159298758351e-37,0.574826604952653,0.974,0.87,7.51651698285108e-33
"Rps5",5.30941411326628e-37,0.640089150369896,0.908,0.68,9.12900662635004e-33
"Padi4",5.59019953288369e-37,0.442924068638584,0.33,0.104,9.61178907684021e-33
"Tpt1",5.23658971804438e-36,0.415569640282736,0.998,0.992,9.0037923612055e-32
"Gpcpd1",6.66423772548576e-36,0.505173530832332,0.592,0.262,1.14584903452002e-31
"Rpl13a",8.63020997474154e-36,0.462777260750966,0.399,0.144,1.48387830305706e-31
"Rps16",1.2469422286573e-35,0.492058564475066,0.985,0.928,2.14399246795335e-31
"Klhl24",3.29910745716849e-35,0.391397252921195,0.342,0.112,5.67248536185551e-31
"Eef1a1",3.78725937122278e-35,0.588296171052323,0.976,0.902,6.51181376288045e-31
"Bhlhe40",6.54311540654994e-35,0.667448583598632,0.623,0.307,1.1250232630022e-30
"Rpl24",6.17411672540452e-34,0.557357345697265,0.938,0.749,1.06157762976605e-29
"Rpl30",7.80087923886738e-34,0.524986200744852,0.954,0.837,1.34128317633086e-29
"Rpl26",9.65945779080921e-34,0.589994176740221,0.947,0.776,1.66084717255173e-29
"Rpl6",2.23397036216668e-33,0.637545061076549,0.881,0.622,3.84108864070939e-29
"Rpl11",3.15536205905887e-33,0.539984376227769,0.951,0.79,5.42532952434582e-29
"Rps6",3.54169142960282e-33,0.604224693511513,0.89,0.615,6.08958424405909e-29
"Sephs2",4.45710261359376e-33,0.445081008989691,0.412,0.158,7.66354223381311e-29
"Rps23",5.54816884256833e-33,0.563906038377799,0.963,0.807,9.53952150791199e-29
"Plin2",6.33149955680658e-33,0.561514847030062,0.577,0.274,1.08863803379732e-28
"Unc119",1.16060897583345e-32,0.424305824680584,0.537,0.23,1.99555107304804e-28
"Rps18",3.32857286494929e-32,0.704698951896186,0.857,0.63,5.72314818399381e-28
"Rpl7",5.70971933098177e-32,0.594236015909942,0.907,0.692,9.81729141769006e-28
"Prtn3",6.07435801065142e-32,0.32112178013975,0.106,0.012,1.0444251163514e-27
"Aes",6.58918847484749e-32,0.451635009657499,0.734,0.378,1.13294506636528e-27
"Rplp0",1.5617795548697e-31,0.597708107155197,0.971,0.874,2.68532376664296e-27
"Ier3",1.19909556346333e-30,-0.593192845283424,0.888,0.923,2.06172491181885e-26
"Hp",1.63466403950387e-30,0.798883274914917,0.712,0.431,2.81064134952296e-26
"Gng12",2.64342304378004e-30,0.367724086991416,0.516,0.225,4.54510158147541e-26
"mt-Atp6",4.1734413790279e-30,0.478128637085956,0.987,0.985,7.17581510710058e-26
"Idh1",6.80539942067634e-30,0.332884975977864,0.218,0.06,1.17012037639109e-25
"Rpl27",1.17293355934532e-29,0.483767446574101,0.714,0.397,2.01674196193834e-25
"Cd300a",2.12339246030912e-29,0.3140123493909,0.289,0.096,3.65096099625549e-25
