"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"H3f3b",0,1.02594178363223,0.99,0.96,0
"Malat1",0,0.915361640299288,0.999,0.999,0
"Itgb2l",0,-0.980484404644538,0.016,0.504,0
"S100a8",0,-1.29822964832183,0.942,0.999,0
"Pglyrp1",0,-1.29898829157566,0.691,0.984,0
"Ly6c2",0,-1.32768487652532,0.307,0.906,0
"Serpinb1a",0,-1.39736397333659,0.034,0.534,0
"S100a9",0,-1.47113978951501,0.899,0.998,0
"Ceacam10",0,-1.52863147210757,0.138,0.773,0
"Cd177",0,-1.54963782136399,0.225,0.841,0
"Lcn2",0,-1.7053986504587,0.731,0.989,0
"Ifitm6",0,-1.93515635687828,0.172,0.814,0
"Camp",0,-3.36069368574394,0.044,0.603,0
"Ltf",0,-3.57431852664302,0.066,0.732,0
"Ngp",0,-3.64934805871132,0.174,0.854,0
"Clec4n",1.8835040029705e-289,1.78312554513455,0.807,0.337,3.23849678270748e-285
"Slc2a3",5.34779427716885e-273,-0.846872854849431,0.046,0.509,9.19499748016412e-269
"Syne1",4.90945740075156e-265,-1.08618794832152,0.152,0.661,8.44132105485223e-261
"Padi4",5.17785524574315e-261,-0.927880165644989,0.145,0.667,8.90280430953077e-257
"Tkt",5.19076539143239e-255,-0.992747246106991,0.491,0.902,8.92500201402884e-251
"Anxa1",1.22250628131035e-254,-1.15215221679732,0.528,0.903,2.10197730008501e-250
"Btg1",1.4546482202421e-251,1.03488070646815,0.941,0.755,2.50112214988427e-247
"Cybb",9.27968478978963e-245,-1.59287083308499,0.334,0.775,1.59554900275643e-240
"Ly6g",7.5613408557261e-244,-1.01132739300582,0.089,0.554,1.30009694673355e-239
"Aldh2",4.07128478393457e-241,-1.00190735262211,0.349,0.806,7.0001670574971e-237
"Arhgdib",2.71282656903756e-240,-0.65471305292644,0.883,0.984,4.66443400280317e-236
"Cd74",1.59402008555333e-236,1.7770532496922,0.735,0.298,2.74075813510039e-232
"Ier3",1.02575415669587e-229,1.07220498723887,0.917,0.723,1.76368169702289e-225
"Chil3",6.56977076364566e-227,-1.50896391078983,0.387,0.826,1.12960638510123e-222
"Atox1",1.5585889723998e-214,0.961239636626466,0.876,0.708,2.67983787914422e-210
"Adpgk",1.18303750018459e-213,-0.833521150290401,0.035,0.397,2.03411467781738e-209
"Fxyd5",2.54758698988447e-207,0.683892156613406,0.987,0.967,4.38032107040735e-203
"Ckap4",1.30915735364509e-206,-0.830926689410668,0.495,0.925,2.25096515385736e-202
"Stfa3",2.97397593967747e-204,-1.91430221423859,0.238,0.655,5.11345423068145e-200
"R3hdm4",2.41904552759729e-201,-0.806714740419223,0.376,0.851,4.15930688015078e-197
"Cst3",5.68748658982145e-200,0.891203169291941,0.915,0.826,9.77906444253901e-196
"Stfa2",2.26629320458183e-197,-1.57199624920761,0.286,0.708,3.896664535958e-193
"Chil1",2.0205256481845e-195,-0.760186887114739,0.307,0.814,3.47409179948843e-191
"Txnip",5.85184693678234e-193,0.940076085838375,0.893,0.662,1.00616656231036e-188
"F10",9.30569479049416e-193,1.27062757527948,0.745,0.365,1.60002116227757e-188
"Lipg",6.71408010663878e-192,-0.906763453363528,0.068,0.446,1.15441893353547e-187
"Mif",8.64208246216217e-187,1.19103614036832,0.685,0.255,1.48591965854416e-182
"Dstn",3.69442338132205e-186,-0.909043427395046,0.424,0.816,6.35219156184514e-182
"Fdps",2.46737780433001e-184,-0.941986269483299,0.126,0.524,4.24240939676502e-180
"Cdkn1a",4.6905930901989e-184,1.32349235265823,0.681,0.259,8.06500575928799e-180
"Tyrobp",1.12660546457115e-182,0.47783407881902,0.996,0.991,1.93708543578364e-178
"Csf2rb",2.13522428577645e-178,0.945145689777322,0.883,0.81,3.67130463696403e-174
"Ptma",4.55608030693677e-168,1.15473087194546,0.722,0.388,7.83372447974708e-164
"Ly6e",2.69351748664528e-164,1.03947605271098,0.774,0.515,4.6312339665379e-160
"Dgat1",6.27638228396915e-164,-0.694299021499492,0.129,0.522,1.07916116990566e-159
"Cox8a",2.02882911818831e-159,0.691230103015491,0.904,0.852,3.48836878581298e-155
"Limd2",9.14238399708323e-159,-0.665333516745907,0.244,0.689,1.57194150445849e-154
"Tmsb4x",3.44686214927493e-157,-0.309159227679794,0.996,1,5.92653477946331e-153
"Prdx1",7.80099872540225e-156,0.992328950782404,0.78,0.55,1.34130372084566e-151
"Clec4d",1.15872727610499e-152,0.845158077252766,0.823,0.52,1.99231567853492e-148
"Mrpl52",2.00119478328232e-152,1.11580075875535,0.49,0.088,3.44085431037561e-148
"Rps27",5.52359609906327e-152,0.632653414720708,0.96,0.945,9.49727113272939e-148
"Eif5a",1.49723417129072e-150,0.862524478164697,0.82,0.659,2.57434443411726e-146
"Tgfbi",1.39108730465143e-149,1.00061719249497,0.773,0.504,2.39183551161767e-145
"Sp140",2.06678620149138e-147,-0.671364457130009,0.178,0.57,3.55363219484428e-143
"Rflnb",4.32675403915644e-147,-0.70524691047788,0.147,0.527,7.43942089492558e-143
"Creb5",1.3263962882867e-145,1.05107772327746,0.617,0.244,2.28060577808016e-141
"Clec12a",2.92135692784822e-145,-0.580432492704543,0.259,0.7,5.02298110174223e-141
"Ceacam1",7.75635222434419e-144,-0.532906060095387,0.071,0.394,1.33362720145374e-139
"Cyfip2",2.17830737467039e-143,-0.599399030223296,0.137,0.515,3.74538170000826e-139
"Prkcb",3.4219981037024e-143,-0.525464476011306,0.061,0.37,5.8837835395059e-139
"Sh3bgrl3",4.50562106589003e-142,0.486624796409525,0.975,0.969,7.74696486069131e-138
"Jaml",1.79614501598428e-141,1.10360735539602,0.596,0.214,3.08829174048337e-137
"Plac8",6.74221834590575e-137,-0.553169784796566,0.07,0.379,1.15925702239504e-132
"BC100530",1.48313444687915e-134,-1.75969507742663,0.21,0.546,2.55010136796401e-130
"Ccdc88c",1.53510625281868e-134,-0.486540316480477,0.061,0.361,2.63946169109644e-130
"Ly6a",1.3337324226375e-133,1.78604737176791,0.413,0.049,2.29321952748292e-129
"Cebpb",1.94305710958766e-133,0.683347268443481,0.912,0.841,3.34089239422502e-129
"S1pr4",2.12939180818983e-131,-0.446072095700616,0.04,0.305,3.6612762750016e-127
"Gm42418",1.47564300300307e-130,0.324281542457924,1,1,2.53722057936349e-126
"Mgst1",1.43661853509954e-129,-0.618969757702963,0.474,0.851,2.47012190925015e-125
"Csf3r",8.32518542204242e-129,0.804699206573051,0.878,0.754,1.43143238146597e-124
"Actg1",1.90557464966567e-128,-0.450085007700647,0.963,0.998,3.27644505263516e-124
"Rab3d",4.05931467404544e-128,-0.566597209823545,0.181,0.557,6.97958565055374e-124
"Crispld2",6.0505553828948e-127,-0.634567568084316,0.201,0.582,1.04033249253493e-122
"Tcp11l2",1.04213064171967e-126,-0.538216630875856,0.106,0.435,1.7918394253728e-122
"Arhgap15",4.17448634700738e-126,-0.497300441969078,0.115,0.455,7.17761182504448e-122
"Lrg1",4.60918832414517e-126,-0.683370727975608,0.292,0.683,7.9250384045352e-122
"Pygl",2.37466945473593e-123,-0.486069839515829,0.727,0.958,4.08300666047296e-119
"Sun2",5.66075891270743e-123,-0.536472885033467,0.174,0.546,9.73310887450915e-119
"Slc27a4",1.13491543011052e-122,-0.515047659925572,0.139,0.488,1.95137359053202e-118
"Add3",1.32617301919595e-121,-0.527365412161908,0.113,0.437,2.28022188920552e-117
"Sirpb1c",1.42607552190584e-121,0.912991811099306,0.488,0.131,2.4519942523649e-117
"Klhdc4",2.40776369989967e-121,-0.69200207504492,0.395,0.757,4.13990890560749e-117
"Rps27l",4.85579851395155e-119,0.97516642542727,0.672,0.439,8.34905996488829e-115
"Il1r2",1.24435603685888e-117,0.76494186966488,0.836,0.687,2.13954576977516e-113
"Wfdc21",1.81100852452615e-115,-0.445273497786823,0.879,0.994,3.11384805707026e-111
"Cnn2",1.93996426707465e-115,-0.544510084103946,0.508,0.878,3.33557456080815e-111
"Rnf144a",2.27061855721649e-115,-0.460053844835656,0.062,0.336,3.90410154727802e-111
"6430548M08Rik",8.0442909330915e-115,-0.53105400492064,0.205,0.576,1.38313538303575e-110
"Cebpe",1.11663912778594e-114,-0.686739263593358,0.143,0.458,1.91994931631514e-110
"Nhsl2",4.42624356182368e-114,-0.469427258473486,0.074,0.353,7.61048318019963e-110
