"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"mt-Co2",6.14987733776209e-85,2.6353905031629,0.993,0.963,1.05740990945481e-80,1.63047728604574e-229,2.74470278905707,0.997,0.988,2.80344264562705e-225,6.14987733776209e-85,3.26095457209141e-229
"mt-Cytb",3.94334963133852e-86,2.58637101602838,0.98,0.93,6.78019535612346e-82,1.17231708172451e-228,2.66759705138979,0.99,0.944,2.01568199031712e-224,3.94334963133852e-86,2.34463416344879e-228
"mt-Atp6",2.53186635055425e-87,2.56479042418832,1,0.969,4.35329100314298e-83,2.0411795798089e-228,2.65576221637107,0.992,0.989,3.50960416952343e-224,2.53186635055425e-87,4.08235915961772e-228
"mt-Co3",1.95310311123637e-87,2.50459341182002,0.993,0.963,3.35816548945981e-83,3.68671517321968e-228,2.65741727173241,0.995,0.988,6.33893806883391e-224,1.95310311123637e-87,7.37343034643873e-228
"mt-Co1",7.14309688210765e-84,2.61885243507376,1,0.972,1.22818407790959e-79,1.69315772926926e-227,2.73722704921634,0.997,0.993,2.91121539970556e-223,7.14309688210765e-84,3.38631545853839e-227
"mt-Nd2",4.1612063470314e-83,2.53237874946487,0.98,0.892,7.15477819308579e-79,6.1204543750054e-227,2.58977637540998,0.982,0.87,1.05235092523843e-222,4.1612063470314e-83,1.22409087500106e-226
"mt-Nd3",2.5493648211046e-79,2.52142856535722,0.953,0.855,4.38337787340725e-75,5.0231014054162e-225,2.55714979364052,0.977,0.791,8.63672055647261e-221,2.5493648211046e-79,1.00462028108319e-224
"mt-Nd4",5.78358962973316e-86,2.53022796547906,0.993,0.925,9.94430400936319e-82,6.05011907680124e-224,2.60189071684983,0.987,0.94,1.04025747406521e-219,5.78358962973316e-86,1.2100238153602e-223
"mt-Nd1",6.90579948753528e-88,2.45666777119428,0.993,0.895,1.18738316388682e-83,5.73967363674849e-220,2.54095396004144,0.977,0.869,9.86879485102536e-216,6.90579948753528e-88,1.1479347273497e-219
"mt-Nd5",3.69756774982019e-79,2.16347500911284,0.953,0.853,6.35759798904084e-75,6.21007673192821e-220,2.26568271055335,0.971,0.779,1.06776059328774e-215,3.69756774982019e-79,1.24201534638565e-219
"mt-Nd4l",4.006225418549e-73,2.03583670568251,0.932,0.767,6.88830398465316e-69,1.19617671733157e-215,2.11027152196134,0.961,0.652,2.0567062477799e-211,4.006225418549e-73,2.39235343466314e-215
"Tpt1",5.66739228920619e-92,-2.1869293266085,0.784,0.997,9.74451430206113e-88,9.75660833339776e-208,-1.63777788812724,0.768,0.991,1.67755123684441e-203,5.66739228920619e-92,1.95132166667953e-207
"Fau",2.2297130084186e-84,-2.07333720118856,0.595,0.992,3.83376854667494e-80,1.11295219643002e-202,-1.82881514342776,0.467,0.979,1.91361000654177e-198,2.2297130084186e-84,2.22590439286006e-202
"Actb",5.52422711256813e-92,-2.18488522504863,0.845,0.999,9.49835609734964e-88,2.39686346220713e-201,-1.55481690389725,0.935,0.999,4.12116703691894e-197,5.52422711256813e-92,4.79372692441421e-201
"Tyrobp",9.76929871565792e-74,-1.94314107746778,0.439,0.957,1.67973322117022e-69,3.10504464996121e-199,-1.95608479276556,0.491,0.975,5.33881377114331e-195,9.76929871565792e-74,6.21008929992261e-199
"H3f3a",2.38617911308757e-83,-1.95940482796916,0.358,0.977,4.10279636704278e-79,3.52628582273117e-199,-1.74997268468117,0.342,0.972,6.06309584360398e-195,2.38617911308757e-83,7.05257164546225e-199
"Cyba",4.06747789541204e-71,-1.75067069541181,0.453,0.946,6.99362149337146e-67,2.48933556706798e-197,-1.77456962627183,0.462,0.971,4.28016357401669e-193,4.06747789541204e-71,4.97867113413588e-197
"Tmsb4x",1.80327270518266e-87,-2.15381922189648,0.98,1,3.10054708929106e-83,3.47135861053062e-196,-1.59991162199672,0.99,0.997,5.96865399494635e-192,1.80327270518266e-87,6.9427172210613e-196
"Serf2",3.18759238136667e-82,-1.80839362161659,0.365,0.971,5.48074634052184e-78,1.38653233110841e-191,-1.57347841639069,0.355,0.962,2.3840036901078e-187,3.18759238136667e-82,2.77306466221687e-191
"H3f3b",4.24751342362211e-69,-1.63274046611241,0.318,0.963,7.30317458057586e-65,1.44001598935769e-188,-1.92894629661372,0.308,0.968,2.47596349210162e-184,4.24751342362211e-69,2.88003197871531e-188
"Gabarap",2.02605907392446e-78,-1.73071208242451,0.209,0.956,3.48360597170572e-74,9.39927589515111e-188,-1.59505369697285,0.277,0.96,1.61611149741228e-183,2.02605907392446e-78,1.87985517903022e-187
"Calm1",8.28887496810114e-75,-1.64543495292911,0.426,0.967,1.42518916201531e-70,2.99384755715876e-187,-1.50993155472126,0.475,0.967,5.14762148977876e-183,8.28887496810114e-75,5.98769511431743e-187
"Fcer1g",1.28843709506408e-73,-1.9135454400168,0.365,0.944,2.21533874125318e-69,3.80738746269308e-186,-1.68646990583609,0.426,0.963,6.54642200335448e-182,1.28843709506408e-73,7.61477492538626e-186
"Itm2b",9.31971051300038e-65,-1.6376338915175,0.25,0.922,1.60243102560529e-60,8.74943873241361e-185,-1.77094440815661,0.225,0.942,1.5043784956512e-180,9.31971051300038e-65,1.74988774648277e-184
"Fxyd5",1.17828454226404e-62,-1.5300906397311,0.324,0.929,2.02594244196879e-58,1.41837324390895e-183,-1.87433874471404,0.248,0.948,2.43875095557705e-179,1.17828454226404e-62,2.83674648781791e-183
"Gnai2",1.9959492091697e-75,-1.64755437436321,0.291,0.949,3.43183507024638e-71,8.52613768479086e-183,-1.59520485094299,0.282,0.952,1.46598411352294e-178,1.9959492091697e-75,1.70522753695821e-182
"Gapdh",3.47827475904348e-83,-2.12932383390362,0.378,0.968,5.98054562069937e-79,1.14894244350583e-182,-1.51884519610794,0.415,0.962,1.97549163736393e-178,3.47827475904348e-83,2.29788488701167e-182
"Arpc2",1.66479776218024e-76,-1.60347314071633,0.297,0.957,2.8624532722927e-72,1.15627587846417e-181,-1.54475651817341,0.251,0.954,1.98810074543129e-177,1.66479776218024e-76,2.31255175692837e-181
"Ftl1",1.63489309310782e-78,-1.89764187832992,0.973,1,2.81103518428959e-74,2.35029577824171e-180,-1.49240778992575,0.99,1,4.0410985611088e-176,1.63489309310782e-78,4.70059155648355e-180
"Rps16",7.30317885628964e-81,-1.99570342301979,0.507,0.983,1.25570857255044e-76,1.4749487229759e-178,-1.68144711621373,0.402,0.955,2.53602683428476e-174,7.30317885628964e-81,2.94989744595174e-178
"Eif1",8.50863618362787e-80,-1.90843848750036,0.264,0.968,1.46297490541298e-75,1.56221715659882e-177,-1.50536768383316,0.413,0.969,2.68607617905602e-173,8.50863618362787e-80,3.12443431319768e-177
"S100a6",6.98342393894949e-71,-1.92056998351492,0.52,0.963,1.20072991206298e-66,3.02866851584077e-177,-1.86152591284617,0.721,0.982,5.20749264613662e-173,6.98342393894949e-71,6.05733703168146e-177
"Pfn1",1.11763544316177e-78,-1.67791787622432,0.385,0.964,1.92166238097234e-74,2.46358848008116e-176,-1.43520412489727,0.392,0.958,4.23589403265155e-172,1.11763544316177e-78,4.92717696016228e-176
"Rps10",1.17780959461519e-87,-2.32418130338642,0.419,0.985,2.02512581698136e-83,4.0772812591546e-175,-1.64783496871916,0.426,0.954,7.01047739699042e-171,1.17780959461519e-87,8.15456251830906e-175
"mt-Atp8",4.02251120125868e-66,1.69047478145974,0.905,0.693,6.91630575944417e-62,1.96062748172604e-174,1.76111733703971,0.885,0.542,3.37110289207976e-170,4.02251120125868e-66,3.92125496345208e-174
"Prdx5",3.52501858766226e-72,-1.91168445254952,0.196,0.941,6.0609169596265e-68,1.33401173673184e-172,-1.68622847131218,0.185,0.928,2.29369978013673e-168,3.52501858766226e-72,2.66802347346368e-172
"Sh3bgrl3",1.04744905893741e-82,-1.79682234498246,0.486,0.981,1.80098391193698e-78,4.84586423456233e-172,-1.2525205391053,0.619,0.973,8.33197896490647e-168,1.04744905893741e-82,9.69172846912476e-172
"Arpc1b",2.36700825239891e-74,-1.48261824823075,0.372,0.961,4.06983398917469e-70,1.42846227402778e-171,-1.40770817912956,0.381,0.958,2.45609803396336e-167,2.36700825239891e-74,2.8569245480555e-171
"Rps27",7.00697793906472e-78,-1.9686179565641,0.27,0.966,1.20477978684279e-73,1.6482686045113e-171,-1.62091165230806,0.292,0.948,2.83403303859673e-167,7.00697793906472e-78,3.29653720902259e-171
"Ubb",9.18098830852984e-79,-2.07796013132116,0.243,0.956,1.57857912976862e-74,2.01407456867646e-168,-1.70001982101632,0.295,0.939,3.4629998133823e-164,9.18098830852984e-79,4.02814913735296e-168
