"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Thbs1",0,0.950161069942142,0.799,0.619,0,"0","Thbs1"
"Creg1",0,0.808490607031716,0.882,0.788,0,"0","Creg1"
"Clec4d",0,0.793533310711631,0.887,0.664,0,"0","Clec4d"
"Bri3",0,0.741241073488905,0.952,0.86,0,"0","Bri3"
"Tnfrsf1b",0,0.733767489408798,0.714,0.556,0,"0","Tnfrsf1b"
"Ninj1",0,0.714404744444651,0.704,0.586,0,"0","Ninj1"
"Clec4n",0,0.69429395046001,0.956,0.811,0,"0","Clec4n"
"Cstb",0,0.649056242093756,0.958,0.896,0,"0","Cstb"
"Lst1",0,0.640456475654847,0.831,0.692,0,"0","Lst1"
"Cd53",0,0.63462524593971,0.925,0.822,0,"0","Cd53"
"Cd68",0,0.621872489991693,0.817,0.669,0,"0","Cd68"
"Card19",0,0.604470522508598,0.78,0.692,0,"0","Card19"
"Gsr",0,0.583902858185955,0.775,0.65,0,"0","Gsr"
"Cebpb",0,0.562678324361598,0.958,0.834,0,"0","Cebpb"
"Cd9",0,0.562377000066074,0.934,0.837,0,"0","Cd9"
"Mmp8",0,0.558364504641578,0.906,0.744,0,"0","Mmp8"
"Psap",0,0.509188654481504,0.994,0.959,0,"0","Psap"
"Fcer1g",0,0.492261059421375,0.973,0.935,0,"0","Fcer1g"
"Emilin2",0,0.483807121214298,0.872,0.773,0,"0","Emilin2"
"Grina",0,0.481713371408026,0.881,0.791,0,"0","Grina"
"H3f3b",0,0.481356456344056,0.981,0.942,0,"0","H3f3b"
"Atp6v1g1",0,0.459300227140902,0.938,0.887,0,"0","Atp6v1g1"
"Ier3",0,0.434608073772742,0.862,0.727,0,"0","Ier3"
"Malat1",0,0.418881802903489,0.997,0.945,0,"0","Malat1"
"Tyrobp",0,0.411428198154895,0.976,0.952,0,"0","Tyrobp"
"Itm2b",0,0.390071505065392,0.958,0.907,0,"0","Itm2b"
"Fxyd5",0,0.350397464551103,0.955,0.918,0,"0","Fxyd5"
"Gabarap",0,0.350312163829875,0.968,0.934,0,"0","Gabarap"
"H3f3a",0,0.329059128796503,0.973,0.954,0,"0","H3f3a"
"Mif",7.0869651467678e-306,0.610457351059532,0.832,0.746,1.21853278733526e-301,"0","Mif"
"Cyba",1.64424544428773e-300,0.355233058046915,0.977,0.944,2.82711561690833e-296,"0","Cyba"
"F10",5.81109420405383e-296,0.764790924093637,0.75,0.634,9.99159537445016e-292,"0","F10"
"Cd63",1.02897692598496e-288,0.481267600191762,0.923,0.786,1.76922292653854e-284,"0","Cd63"
"Zeb2",5.46284771618623e-283,0.539517224414815,0.827,0.686,9.3928203632106e-279,"0","Zeb2"
"Atp6v1e1",2.01413911473335e-282,0.464121829952259,0.86,0.783,3.46311079387252e-278,"0","Atp6v1e1"
"Dock10",7.15948193254326e-281,0.724720609505061,0.723,0.622,1.23100132348149e-276,"0","Dock10"
"Sdcbp",7.64517665384123e-267,0.481253872578533,0.894,0.809,1.31451167386146e-262,"0","Sdcbp"
"Mt1",3.21471154126562e-266,0.735250441945717,0.91,0.812,5.52737502405211e-262,"0","Mt1"
"Tnfaip2",9.02720394713029e-264,0.52647799095888,0.835,0.741,1.55213744666958e-259,"0","Tnfaip2"
"Ear6",2.58140766348754e-261,1.12458616053213,0.273,0.095,4.43847233660047e-257,"0","Ear6"
"C3",4.85915781164284e-259,0.455664913907041,0.745,0.545,8.35483594133869e-255,"0","C3"
"Slc7a11",1.04154572638973e-256,0.820847107666165,0.636,0.486,1.7908337219545e-252,"0","Slc7a11"
"Bnip3l",8.62471372698224e-250,0.521164806219615,0.871,0.823,1.48293327821733e-245,"0","Bnip3l"
"Ftl1",3.66980709289653e-249,0.319509439346841,0.999,0.999,6.30986631552629e-245,"0","Ftl1"
"Sod2",1.80857996224969e-244,0.725364125896738,0.713,0.656,3.10967238709212e-240,"0","Sod2"
"Aldoa",1.80118430373976e-242,0.377024877475688,0.937,0.906,3.09695629185015e-238,"0","Aldoa"
"Bst1",2.19275160689783e-236,0.557393090446875,0.736,0.595,3.77021711290014e-232,"0","Bst1"
"Fnip2",1.05861456488024e-231,0.717782758762961,0.602,0.465,1.82018188285508e-227,"0","Fnip2"
"Atp6v0b",1.42726401364209e-229,0.34641434915708,0.898,0.847,2.45403774505621e-225,"0","Atp6v0b"
"Cd93",6.15236535223983e-227,0.515561923435622,0.714,0.528,1.05783769866412e-222,"0","Cd93"
"Hexa",1.44084025213442e-225,0.450141672935814,0.805,0.705,2.47738072951993e-221,"0","Hexa"
"Slc43a2",2.61610606138737e-224,0.560016008873421,0.707,0.63,4.49813276194945e-220,"0","Slc43a2"
"Rabac1",1.48563176187431e-221,0.412851884245007,0.796,0.776,2.5543952513667e-217,"0","Rabac1"
"Mpeg1",1.72752713198437e-218,0.480777548019245,0.852,0.681,2.97031015073393e-214,"0","Mpeg1"
"Gstm1",3.32344430236217e-215,0.697564670148644,0.689,0.52,5.71433013348151e-211,"0","Gstm1"
"Rbx1",5.45531130017152e-210,0.356720062570118,0.832,0.809,9.37986224951492e-206,"0","Rbx1"
"Lamp1",4.04311665081933e-209,0.313382707099991,0.942,0.846,6.95173476941875e-205,"0","Lamp1"
"Rhoa",1.07630057923734e-208,0.293744266543253,0.905,0.875,1.85059121594068e-204,"0","Rhoa"
"Vmp1",3.47297820497658e-202,0.540403710733907,0.757,0.674,5.97143872563672e-198,"0","Vmp1"
"Cpd",1.63265509922409e-200,0.343613829227242,0.788,0.74,2.8071871776059e-196,"0","Cpd"
"Rab7",2.30417547685628e-196,0.361802997741929,0.877,0.846,3.96179931490669e-192,"0","Rab7"
"Wfdc21",3.48558426493069e-194,0.479090631026301,0.875,0.741,5.99311358512183e-190,"0","Wfdc21"
"Gng5",1.50115482389696e-191,0.261055501955471,0.941,0.921,2.58108560420843e-187,"0","Gng5"
"Ccl3",9.28141334374298e-187,0.544487113674194,0.588,0.418,1.59584621032317e-182,"0","Ccl3"
"Ube2d3",1.57908143131204e-186,0.299066649967342,0.879,0.865,2.71507261299793e-182,"0","Ube2d3"
"Pla2g7",4.21906215204444e-185,0.560108842723416,0.649,0.506,7.25425546422521e-181,"0","Pla2g7"
"Adipor1",5.4905182457718e-178,0.402185691714366,0.738,0.715,9.44039707178003e-174,"0","Adipor1"
"Prdx5",1.81902469719146e-177,0.282006311913923,0.919,0.912,3.12763106435099e-173,"0","Prdx5"
"Atp6v0e",3.31979939528615e-176,0.344185325669257,0.897,0.847,5.70806308025501e-172,"0","Atp6v0e"
"Gns",1.68933614710846e-174,0.465293491099244,0.708,0.597,2.90464457133829e-170,"0","Gns"
"Tmed10",6.29370652754144e-174,0.350186302993329,0.801,0.761,1.08213990034548e-169,"0","Tmed10"
"Cd44",3.19014286483521e-169,0.400521951231713,0.865,0.815,5.48513164179765e-165,"0","Cd44"
"Rnf130",1.85378882467053e-167,0.407131489027316,0.725,0.708,3.1874045051385e-163,"0","Rnf130"
"Laptm5",1.20872990709722e-165,0.283365295380724,0.963,0.906,2.07829020226296e-161,"0","Laptm5"
"Ccl6",3.86704175423487e-164,0.374691587087601,0.99,0.967,6.64899159223144e-160,"0","Ccl6"
"Csf2rb",1.00925215327743e-161,0.381966157867397,0.923,0.881,1.73530815234521e-157,"0","Csf2rb"
"Ostf1",1.3723154803863e-158,0.258066896133273,0.881,0.877,2.3595592369762e-154,"0","Ostf1"
"Cd274",2.91659090862735e-157,0.571049583308925,0.579,0.471,5.01478640829387e-153,"0","Cd274"
"Rbpj",1.07178687151675e-156,0.388617757682895,0.779,0.76,1.84283034688591e-152,"0","Rbpj"
"Sema4d",1.47653178939681e-156,0.515216660567702,0.554,0.464,2.53874875868887e-152,"0","Sema4d"
"Txn1",1.70420505503515e-156,0.406185367467219,0.922,0.901,2.93021017162743e-152,"0","Txn1"
"Osbpl8",9.59599510893152e-156,0.421132638265305,0.725,0.651,1.64993539902969e-151,"0","Osbpl8"
"Emp3",1.78110388684729e-155,0.311826752346434,0.857,0.831,3.06243002304523e-151,"0","Emp3"
"Lrp12",1.02853135357459e-152,0.484715334088475,0.632,0.55,1.76845680933615e-148,"0","Lrp12"
"Dazap2",1.77615157623511e-152,0.338490756022571,0.838,0.833,3.05391502017865e-148,"0","Dazap2"
"Csf1",1.99690624461105e-152,0.582017054544676,0.419,0.27,3.43348059698424e-148,"0","Csf1"
"Gpx4",2.16953957564619e-151,0.250789560157182,0.926,0.902,3.73030634636606e-147,"0","Gpx4"
"Jak1",9.93966353700481e-150,0.383824458131238,0.723,0.72,1.70902574855261e-145,"0","Jak1"
"Gadd45b",2.2885678817815e-149,0.538545546890952,0.499,0.36,3.93496361593511e-145,"0","Gadd45b"
"Msrb1",5.98307363448058e-147,0.285721848993534,0.903,0.879,1.02872968071259e-142,"0","Msrb1"
"Fndc3a",1.21603452572734e-144,0.462561441387231,0.653,0.611,2.09084976353558e-140,"0","Fndc3a"
"Pkm",8.22948108204565e-143,0.305352528827388,0.921,0.899,1.41497697724693e-138,"0","Pkm"
"Anxa5",1.70410813735757e-141,0.356986774756611,0.876,0.799,2.93004353137261e-137,"0","Anxa5"
"1700017B05Rik",3.51860545226409e-141,0.553220016644733,0.454,0.34,6.04989021462287e-137,"0","1700017B05Rik"
"Lamtor2",3.08583576600927e-140,0.32320082002638,0.741,0.73,5.30578601607634e-136,"0","Lamtor2"
"Tmem50a",6.32818906020427e-138,0.292115648753915,0.827,0.799,1.08806882701152e-133,"0","Tmem50a"
"Scand1",2.69020676134115e-136,0.269581603182503,0.859,0.848,4.62554150544997e-132,"0","Scand1"
"Btg1",4.10415066499165e-136,0.260844895740739,0.906,0.861,7.05667665338664e-132,"0","Btg1"
"Sirpa",6.39112541794944e-134,0.289044573123913,0.901,0.817,1.09889010436223e-129,"0","Sirpa"
"BC005537",5.6772778602507e-132,0.378150215914739,0.792,0.759,9.76151155291505e-128,"0","BC005537"
"Syne1",2.61505066303652e-131,0.408931836682076,0.445,0.311,4.496318110025e-127,"0","Syne1"
"Lars2",1.3559056728033e-129,0.261746327090458,0.807,0.824,2.33134421381799e-125,"0","Lars2"
"Tpi1",6.73222252621354e-128,0.411736542838218,0.742,0.712,1.15753834115716e-123,"0","Tpi1"
"Ddhd1",6.66273455160225e-127,0.508053434250192,0.62,0.561,1.14559057880249e-122,"0","Ddhd1"
"Morf4l1",1.28303034252398e-126,0.250540904965648,0.842,0.828,2.20604237093574e-122,"0","Morf4l1"
"Tax1bp1",2.57880666588265e-126,0.346934114208653,0.788,0.78,4.43400018131864e-122,"0","Tax1bp1"
"Mtdh",1.94492521573073e-125,0.330767998723168,0.79,0.743,3.34410441592741e-121,"0","Mtdh"
"M6pr",2.3604250756613e-125,0.446104805031474,0.64,0.609,4.05851487509204e-121,"0","M6pr"
"Npc1",2.64840634501778e-125,0.473510024691682,0.586,0.536,4.55366986962357e-121,"0","Npc1"
"Tmem189",3.14278774013982e-125,0.419265931556302,0.666,0.606,5.40370924039641e-121,"0","Tmem189"
"Slc3a2",5.11634910798713e-125,0.432975446512604,0.665,0.654,8.79705065627307e-121,"0","Slc3a2"
"Ubc",1.15929669424927e-123,0.460230645435957,0.876,0.855,1.9932947360922e-119,"0","Ubc"
"Arg2",1.76550562300239e-123,0.302618006193106,0.378,0.222,3.03561036819031e-119,"0","Arg2"
"Taldo1",1.14069362594906e-118,0.271228830725933,0.909,0.893,1.96130862045682e-114,"0","Taldo1"
"Plek",4.63257025110269e-118,0.381257587421196,0.801,0.797,7.96524128974597e-114,"0","Plek"
"Msn",1.18899579944796e-116,0.264104060212277,0.893,0.864,2.04435937757082e-112,"0","Msn"
"Tapbp",3.33559297620529e-116,0.401883914091536,0.722,0.713,5.73521856328738e-112,"0","Tapbp"
"Bax",3.53707241694806e-116,0.321124747167972,0.758,0.752,6.08164231370049e-112,"0","Bax"
"Il1rn",3.35667201537831e-115,0.513443087792649,0.682,0.571,5.77146186324147e-111,"0","Il1rn"
"Lilr4b",9.46776734720212e-113,0.284739313190535,0.844,0.79,1.62788791767793e-108,"0","Lilr4b"
"Irf2bp2",4.29302714199752e-111,0.387586904410788,0.71,0.704,7.38143086795053e-107,"0","Irf2bp2"
"Ncf4",1.11993346849653e-110,0.338464000370025,0.68,0.659,1.92561360573293e-106,"0","Ncf4"
"Upp1",1.2567166054187e-110,0.298558999131104,0.564,0.449,2.16079853135692e-106,"0","Upp1"
"Rbms1",2.35238391765289e-110,0.288761128730997,0.851,0.831,4.04468890801238e-106,"0","Rbms1"
"Vapa",1.93690451084507e-109,0.3267008511302,0.69,0.711,3.33031361594702e-105,"0","Vapa"
"Adssl1",4.75240045619431e-109,0.408275448536933,0.537,0.479,8.1712773443805e-105,"0","Adssl1"
"Efhd2",1.3378934331643e-108,0.288093133498464,0.8,0.771,2.3003739689827e-104,"0","Efhd2"
"Lyst",3.66867750124454e-107,0.370554009404799,0.62,0.581,6.30792409563986e-103,"0","Lyst"
"Nisch",6.87549245952141e-106,0.40368654398039,0.657,0.662,1.18217217349011e-101,"0","Nisch"
"Atp6v1a",5.570880082526e-105,0.378031851216177,0.721,0.679,9.57857121389521e-101,"0","Atp6v1a"
"Cd38",1.7572805042832e-103,0.44666188646467,0.323,0.212,3.02146809906453e-99,"0","Cd38"
"Ptbp3",5.38663543082285e-102,0.292699195679073,0.788,0.797,9.26178095975681e-98,"0","Ptbp3"
"2010107E04Rik",2.24794624898174e-99,0.28194830498625,0.759,0.749,3.86511878049921e-95,"0","2010107E04Rik"
"Ubb",4.9376743323201e-99,0.332282167400805,0.932,0.927,8.48983724699119e-95,"0","Ubb"
"Gnb1",2.31846085804295e-98,0.267023982838326,0.806,0.786,3.98636159931904e-94,"0","Gnb1"
"Ier3ip1",2.45789731514565e-98,0.307205674653383,0.7,0.717,4.22610864366144e-94,"0","Ier3ip1"
"Chmp2a",9.97505679476719e-97,0.268065849191582,0.755,0.777,1.71511126529227e-92,"0","Chmp2a"
"Npepps",5.89003238404737e-96,0.401848853109343,0.625,0.627,1.0127321681131e-91,"0","Npepps"
"Tctex1d2",1.99337289037733e-95,0.395783032624248,0.507,0.456,3.42740534771479e-91,"0","Tctex1d2"
"Mcemp1",1.09793173718429e-94,0.284896334885546,0.608,0.526,1.88778382891466e-90,"0","Mcemp1"
"Sgpl1",1.17659788968693e-94,0.400075105809644,0.638,0.602,2.0230424115277e-90,"0","Sgpl1"
"Cd14",4.34352597282298e-90,0.630937774220099,0.425,0.333,7.46825855767183e-86,"0","Cd14"
"Creb5",2.95266483828904e-87,0.320247831919415,0.672,0.652,5.07681192295418e-83,"0","Creb5"
"Rbm25",3.98511879927269e-87,0.308672961542233,0.706,0.719,6.85201326346946e-83,"0","Rbm25"
"Sgms2",4.45310985446684e-86,0.361581783184181,0.364,0.266,7.65667708377028e-82,"0","Sgms2"
"Lasp1",1.22512225926126e-85,0.315514678620662,0.723,0.73,2.10647521257382e-81,"0","Lasp1"
"Amdhd2",1.3163144565634e-85,0.429309708680586,0.517,0.483,2.2632710766151e-81,"0","Amdhd2"
"Lamtor1",8.9315313244422e-85,0.264337947984794,0.711,0.739,1.53568749592459e-80,"0","Lamtor1"
"Slc31a2",1.4440531550073e-84,0.451355492252112,0.531,0.509,2.48290499471956e-80,"0","Slc31a2"
"Nek6",1.83430110566753e-84,0.371801844707771,0.592,0.585,3.15389732108475e-80,"0","Nek6"
"Esd",5.25957678316458e-84,0.369359585465616,0.832,0.836,9.04331632097318e-80,"0","Esd"
"C5ar1",2.23461339612421e-83,0.315507162210332,0.408,0.296,3.84219427329598e-79,"0","C5ar1"
"Rnf149",7.3606396158091e-83,0.305734164583243,0.773,0.745,1.26558837554222e-78,"0","Rnf149"
"Frrs1",6.01929861861757e-81,0.393344855828883,0.553,0.548,1.0349582044851e-76,"0","Frrs1"
"Cdkn1a",6.61591377628803e-81,0.285899622591983,0.786,0.74,1.13754021469496e-76,"0","Cdkn1a"
"1810058I24Rik",7.16328450370569e-81,0.267858946847281,0.745,0.762,1.23165513756716e-76,"0","1810058I24Rik"
"Cnbp",1.10020129700546e-80,0.341512587285296,0.638,0.645,1.89168611007119e-76,"0","Cnbp"
"Fus",1.26369045200197e-79,0.294363677746823,0.707,0.713,2.17278936317218e-75,"0","Fus"
"Pcbp2",4.27805155933317e-79,0.257121140322481,0.836,0.807,7.35568185111745e-75,"0","Pcbp2"
"Hilpda",9.385715541828e-78,0.386767326301337,0.262,0.168,1.61377993026191e-73,"0","Hilpda"
"Lgmn",1.42659651763562e-74,0.412871733299617,0.601,0.529,2.45289005242269e-70,"0","Lgmn"
"Eif5",2.36365718277292e-74,0.27181404426415,0.754,0.781,4.06407216005977e-70,"0","Eif5"
"Snrpb",2.58336423335468e-73,0.277637822293849,0.682,0.675,4.44183646283004e-69,"0","Snrpb"
"Adgrg3",1.14538717491394e-71,0.289297874603039,0.309,0.209,1.96937870854703e-67,"0","Adgrg3"
"Nceh1",5.7174288905221e-69,0.395558675941814,0.596,0.575,9.83054723436369e-65,"0","Nceh1"
"Slpi",1.15729172696863e-67,0.427866749250693,0.502,0.425,1.98984739534986e-63,"0","Slpi"
"Mapkapk2",2.15814503024591e-67,0.381520297073456,0.589,0.614,3.71071456500482e-63,"0","Mapkapk2"
"Ptafr",1.09935277001918e-66,0.470760456458799,0.494,0.469,1.89022715277098e-62,"0","Ptafr"
"Plgrkt",2.29423039579311e-66,0.309250774519633,0.663,0.674,3.94469974252667e-62,"0","Plgrkt"
"C3ar1",3.98636404764306e-66,0.397450220827374,0.507,0.447,6.85415434351748e-62,"0","C3ar1"
"E230032D23Rik",2.16372565976415e-65,0.353718636651977,0.392,0.316,3.72030989939849e-61,"0","E230032D23Rik"
"Csf2rb2",6.50724920420422e-64,0.31789005524064,0.634,0.629,1.11885642817087e-59,"0","Csf2rb2"
"Mob1a",1.01449923382787e-63,0.294267581480115,0.675,0.707,1.74432998264364e-59,"0","Mob1a"
"A930007I19Rik",2.83199962667654e-63,0.349671040985781,0.284,0.201,4.86934015810765e-59,"0","A930007I19Rik"
"Dab2",2.552110441773e-62,0.272837773704217,0.635,0.573,4.38809869358449e-58,"0","Dab2"
"Usf2",3.67717254473414e-62,0.321804083891179,0.641,0.672,6.32253047341589e-58,"0","Usf2"
"Furin",5.58456872902122e-61,0.30868036224348,0.629,0.632,9.60210747267908e-57,"0","Furin"
"Por",5.0099330464821e-60,0.46479267592145,0.493,0.483,8.61407888012132e-56,"0","Por"
"Reep3",2.77209468767955e-59,0.27579270642744,0.665,0.695,4.76633960599622e-55,"0","Reep3"
"Fos",4.22015523064018e-59,0.444172580886404,0.373,0.303,7.25613490356273e-55,"0","Fos"
"Jun",1.17727123993176e-58,0.389069048006301,0.585,0.584,2.02420016993867e-54,"0","Jun"
"Eno1",1.65975187733374e-58,0.25776594660822,0.786,0.811,2.85377737788763e-54,"0","Eno1"
"Atp6v1c1",6.61208131325226e-57,0.368328523903392,0.577,0.561,1.13688126100059e-52,"0","Atp6v1c1"
"Ftl1-ps1",6.69532724624763e-56,0.308722051073002,0.614,0.601,1.15119456671982e-51,"0","Ftl1-ps1"
"Clec4e",3.37075825680848e-55,0.318373833547706,0.422,0.349,5.7956817467565e-51,"0","Clec4e"
"Cox17",1.2515829591176e-54,0.291576307521207,0.597,0.628,2.15197173990679e-50,"0","Cox17"
"Ralgds",1.26416211959156e-53,0.418956712019587,0.412,0.364,2.17360034842573e-49,"0","Ralgds"
"Mpp1",1.2761054026174e-53,0.312118163422138,0.574,0.554,2.19413562926035e-49,"0","Mpp1"
"Ier5",1.78683495496259e-52,0.278674524460061,0.609,0.62,3.07228402156268e-48,"0","Ier5"
"Ptpre",3.90018971508758e-52,0.263399922309784,0.715,0.723,6.70598619612159e-48,"0","Ptpre"
"Blvrb",1.15634820957239e-51,0.320867486155253,0.719,0.723,1.98822511153877e-47,"0","Blvrb"
"Gclm",1.41838028074953e-51,0.477198318974069,0.637,0.672,2.43876305472074e-47,"0","Gclm"
"Ccl4",3.01726665946448e-51,0.437707270433816,0.437,0.361,5.18788829428323e-47,"0","Ccl4"
"Basp1",2.03346591524945e-50,0.411458435242191,0.777,0.739,3.49634129467991e-46,"0","Basp1"
"Sqstm1",6.45788133303282e-50,0.553251198073425,0.507,0.528,1.11036811640166e-45,"0","Sqstm1"
"Rgl1",8.95091614672952e-50,0.352849329776131,0.449,0.386,1.53902052226867e-45,"0","Rgl1"
"Bcl2l11",1.02655416060077e-49,0.357247788286784,0.437,0.4,1.76505722373696e-45,"0","Bcl2l11"
"Id2",8.80624377269381e-49,0.283292294112088,0.804,0.772,1.51414555427697e-44,"0","Id2"
"Fcgr2b",1.19565778384486e-47,0.288940656622072,0.577,0.54,2.05581399354286e-43,"0","Fcgr2b"
"Mt2",2.65830647422652e-47,0.443681619000643,0.493,0.428,4.57069215178508e-43,"0","Mt2"
"Litaf",4.80452192769131e-47,0.269369641087355,0.74,0.764,8.26089500247244e-43,"0","Litaf"
"Atp2b1",6.60343036803524e-47,0.272277857911145,0.736,0.733,1.13539381747998e-42,"0","Atp2b1"
"Atp8b4",1.44651624568153e-46,0.317014371657564,0.504,0.503,2.48714003282482e-42,"0","Atp8b4"
"Acpp",1.90980291638544e-46,0.317023602125957,0.503,0.484,3.28371513443313e-42,"0","Acpp"
"Ptgs1",2.91872832839956e-46,0.260261542912866,0.592,0.598,5.01846148785021e-42,"0","Ptgs1"
"Ogt",4.19556385809961e-45,0.282559865029501,0.599,0.641,7.21385249761648e-41,"0","Ogt"
"Notch1",5.4104418475285e-45,0.267897135536845,0.577,0.587,9.30271371264049e-41,"0","Notch1"
"AI413582",6.71823045315251e-45,0.267135697093917,0.573,0.613,1.15513254411504e-40,"0","AI413582"
"Mdm2",4.48030206283976e-43,0.404280850655389,0.483,0.485,7.70343136684668e-39,"0","Mdm2"
"Plekhg1",5.6258827277074e-43,0.304577895030161,0.323,0.268,9.6731427620201e-39,"0","Plekhg1"
"Zmiz1",7.74857005028283e-43,0.33182434156698,0.57,0.6,1.33228913444563e-38,"0","Zmiz1"
"AU022793",1.08975258527924e-42,0.393105106308004,0.417,0.402,1.87372059512913e-38,"0","AU022793"
"Lilrb4a",1.72184720136865e-42,0.285698512188124,0.48,0.461,2.96054407803327e-38,"0","Lilrb4a"
"Dtnbp1",8.04840359801137e-42,0.346113867856271,0.53,0.548,1.38384251464207e-37,"0","Dtnbp1"
"Aldh3b1",1.49798902838377e-41,0.269858196604052,0.542,0.56,2.57564233540305e-37,"0","Aldh3b1"
"Igf1r",1.64097577088305e-41,0.28284555357944,0.373,0.32,2.82149374045632e-37,"0","Igf1r"
"Psmd2",1.81268547636905e-41,0.259557867551366,0.629,0.665,3.11673140806894e-37,"0","Psmd2"
"BC031181",2.49192001529199e-41,0.293211478468449,0.537,0.584,4.28460727429305e-37,"0","BC031181"
"Eea1",2.56349182632437e-41,0.292467162647565,0.606,0.65,4.40766784618211e-37,"0","Eea1"
"Serinc3",1.11729294091521e-39,0.277265350648816,0.614,0.647,1.9210734826096e-35,"0","Serinc3"
"Ppig",9.51760422024714e-39,0.255479677880173,0.609,0.658,1.63645686962929e-34,"0","Ppig"
"Emp1",1.46335981158435e-38,0.352756952840447,0.402,0.359,2.51610086003813e-34,"0","Emp1"
"Gnaq",1.58946763763605e-38,0.332450587275451,0.523,0.555,2.73293065615142e-34,"0","Gnaq"
"Inhba",2.69797522839771e-37,0.485127301034448,0.282,0.22,4.63889860770703e-33,"0","Inhba"
"Cnih4",7.15001709105257e-36,0.265325739513067,0.574,0.624,1.22937393863558e-31,"0","Cnih4"
"Vav1",1.14711274600921e-35,0.328873584239828,0.462,0.476,1.97234565548823e-31,"0","Vav1"
"Ifrd1",3.57871172131268e-35,0.323106850879109,0.504,0.514,6.15323693362502e-31,"0","Ifrd1"
"Pfkl",4.65771626545928e-35,0.307399745377313,0.374,0.349,8.00847734683068e-31,"0","Pfkl"
"N4bp1",1.6487370841995e-34,0.252596270262188,0.552,0.583,2.83483854257262e-30,"0","N4bp1"
"Cited2",6.50960766033988e-33,0.306845358897709,0.486,0.485,1.11926194111884e-28,"0","Cited2"
"Slc11a1",1.17413325451508e-32,0.294642453732952,0.276,0.227,2.01880471781324e-28,"0","Slc11a1"
"Cers2",1.41804262659247e-32,0.298126003097357,0.507,0.54,2.4381824921631e-28,"0","Cers2"
"Rbm8a",4.40615499363313e-32,0.26649787179531,0.539,0.587,7.5759428960528e-28,"0","Rbm8a"
"Atf5",7.61256023459911e-32,0.500160598523885,0.394,0.383,1.30890360673697e-27,"0","Atf5"
"Uqcc2",8.59861086285717e-32,0.256762742509273,0.542,0.584,1.47844515175966e-27,"0","Uqcc2"
"Gla",1.89973201769439e-31,0.354309363572873,0.378,0.364,3.26639923122374e-27,"0","Gla"
"Tlr2",2.8892508016649e-31,0.28751409355654,0.535,0.529,4.96777782838263e-27,"0","Tlr2"
"Rragc",2.97524794183972e-31,0.255626172746092,0.552,0.588,5.11564131119921e-27,"0","Rragc"
"Cmklr1",3.58598877038132e-31,0.290949198934364,0.323,0.284,6.16574909179364e-27,"0","Cmklr1"
"Hcst",1.14951480526782e-30,0.28288946093074,0.466,0.472,1.97647575617748e-26,"0","Hcst"
"Mien1",5.06260757130689e-30,0.272512023527498,0.524,0.576,8.70464745810507e-26,"0","Mien1"
"Ankrd12",6.1215982890146e-30,0.310648790621805,0.525,0.572,1.05254760981317e-25,"0","Ankrd12"
"Il1f9",5.70748292861812e-29,0.27820019129111,0.252,0.193,9.81344614746599e-25,"0","Il1f9"
"Smim14",7.19372050227008e-29,0.258819205449006,0.534,0.586,1.23688830316032e-24,"0","Smim14"
"Mfsd1",2.60870913011813e-27,0.25724912964229,0.563,0.594,4.48541447832512e-23,"0","Mfsd1"
"Dnase1l1",3.49003397371968e-26,0.318876970551718,0.38,0.384,6.00076441441361e-22,"0","Dnase1l1"
"Neu1",1.50341810483469e-25,0.292444118247781,0.455,0.486,2.58497708945277e-21,"0","Neu1"
"Tecpr1",1.92884567807708e-25,0.350763570610576,0.471,0.499,3.31645725888573e-21,"0","Tecpr1"
"B4galt1",2.24348683409774e-25,0.317935744268637,0.458,0.492,3.85745126254766e-21,"0","B4galt1"
"Ifngr1",2.41055067305322e-25,0.262514409587883,0.533,0.588,4.1447008272477e-21,"0","Ifngr1"
"Tpp1",9.17240515692834e-25,0.264896145762542,0.522,0.543,1.57710334268226e-20,"0","Tpp1"
"Mafg",9.83778298145323e-25,0.281397841051348,0.519,0.576,1.69150840583107e-20,"0","Mafg"
"Polr2k",1.21217998665346e-24,0.270469742488642,0.487,0.539,2.08422226905196e-20,"0","Polr2k"
"Rasa3",8.16891912669573e-24,0.296119831296272,0.348,0.335,1.40456395464406e-19,"0","Rasa3"
"Ero1l",2.72626586605377e-23,0.45324893849825,0.47,0.501,4.68754153009285e-19,"0","Ero1l"
"Adam17",1.13407834866748e-22,0.294284040671591,0.471,0.502,1.94993431269887e-18,"0","Adam17"
"Banf1",2.5427035073034e-22,0.259149303101252,0.495,0.54,4.37192441045747e-18,"0","Banf1"
"Txnrd1",3.50299659996945e-22,0.393479271157253,0.5,0.545,6.02305235398747e-18,"0","Txnrd1"
"Il10rb",1.74521236573531e-20,0.272091781091577,0.471,0.511,3.00071814164529e-16,"0","Il10rb"
"Gng12",2.57165576522692e-20,0.278302118277958,0.517,0.568,4.42170492273117e-16,"0","Gng12"
"Zranb2",3.22359454983672e-20,0.267255584749318,0.487,0.543,5.54264846898925e-16,"0","Zranb2"
"Adgrl2",7.13813528891385e-20,0.318717696431333,0.266,0.241,1.22733098157585e-15,"0","Adgrl2"
"Cd82",2.0161704997263e-18,0.252073569231697,0.388,0.396,3.4666035572294e-14,"0","Cd82"
