"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Trim28",5.61715531359705e-161,0.281658704936352,0.866,0.289,9.65813684619878e-157,"11","Trim28"
"Ybx34",5.83776800862109e-161,0.563523791138854,0.961,0.438,1.00374583140231e-156,"11","Ybx3"
"Eef1a13",6.58995289796168e-161,0.653338367012809,1,0.953,1.13307650127553e-156,"11","Eef1a1"
"Dpysl22",1.24492172624828e-160,0.468777030023721,0.938,0.381,2.14051841611128e-156,"11","Dpysl2"
"Fam3c",3.43714597290661e-160,0.389939398899246,0.919,0.35,5.90982878581563e-156,"11","Fam3c"
"Eef23",3.9721637354583e-160,0.657796269872809,0.998,0.777,6.829738326747e-156,"11","Eef2"
"Smc31",5.85801284286553e-160,0.491211813869066,0.955,0.413,1.0072267282023e-155,"11","Smc3"
"Cytip2",9.07270923155042e-160,0.316767154108225,0.957,0.341,1.55996162527278e-155,"11","Cytip"
"Rbm32",1.32844118449281e-159,0.579192667242585,0.998,0.847,2.28412177261694e-155,"11","Rbm3"
"Snrpa1",1.55642288133237e-159,0.386923816416695,0.921,0.347,2.67611350216288e-155,"11","Snrpa1"
"Rps143",1.8264411504237e-159,0.6388280965977,1,0.941,3.14038291403851e-155,"11","Rps14"
"U2af1",2.80657975810654e-159,0.455875728492088,0.948,0.417,4.82563323608838e-155,"11","U2af1"
"Mbnl11",6.77436429180824e-159,0.697360471769499,0.996,0.753,1.16478419633351e-154,"11","Mbnl1"
"Irf42",9.24739919090427e-159,0.299139936103953,0.808,0.238,1.58999781688408e-154,"11","Irf4"
"Srsf31",1.11623804191916e-158,0.645672582467265,0.996,0.674,1.9192596892758e-154,"11","Srsf3"
"Csrp12",1.24308026521072e-158,0.346389655161913,0.833,0.278,2.13735220800332e-154,"11","Csrp1"
"Smc1a1",1.56284139189203e-158,0.556957078259387,0.967,0.45,2.68714948921915e-154,"11","Smc1a"
"Mpp62",2.00551219235697e-158,0.559783929338598,0.983,0.498,3.44827766353858e-154,"11","Mpp6"
"Hint14",3.7594265963812e-158,0.621142591260455,0.996,0.732,6.46395808981783e-154,"11","Hint1"
"Sf3a3",5.37153112531717e-158,0.277773992568127,0.855,0.284,9.23581061687035e-154,"11","Sf3a3"
"Rpl294",8.3199831502603e-158,0.648469873165238,0.998,0.817,1.43053790285576e-153,"11","Rpl29"
"Ckb3",9.04787031051797e-158,0.529656912790535,0.793,0.249,1.55569082119046e-153,"11","Ckb"
"Rpl73",1.39102336581873e-157,0.643610089628043,1,0.874,2.39172557518873e-153,"11","Rpl7"
"Rpl316",1.39473754445005e-157,0.586356686004744,1,0.787,2.39811173392742e-153,"11","Rpl31"
"Lars",2.35171164855588e-157,0.328743990370172,0.882,0.305,4.04353300852698e-153,"11","Lars"
"Ckap51",2.4680278466321e-157,0.382887389887908,0.862,0.299,4.24352707949923e-153,"11","Ckap5"
"Rpl36a3",3.47411047562119e-157,0.676171600010766,1,0.773,5.97338555178307e-153,"11","Rpl36a"
"Rps244",4.88085374768656e-157,0.570161235665301,1,0.949,8.39213993377227e-153,"11","Rps24"
"Eef1d2",9.33945940365191e-157,0.561517355175413,0.979,0.52,1.60582664986391e-152,"11","Eef1d"
"Nsd21",3.13463446212755e-156,0.399340211634711,0.905,0.343,5.38969049418211e-152,"11","Nsd2"
"Rpl194",7.89714480574718e-156,0.581754638924206,1,0.942,1.35783507790017e-151,"11","Rpl19"
"Srpk1",9.05710066201248e-156,0.344988808326132,0.913,0.335,1.55727788782643e-151,"11","Srpk1"
"Cdk2ap1",9.28483335200422e-156,0.324530629144931,0.903,0.335,1.59643424654361e-151,"11","Cdk2ap1"
"Rps103",1.65602623643396e-155,0.594184258525603,1,0.949,2.84737151092456e-151,"11","Rps10"
"Snrpf2",2.08422366373354e-155,0.577865225295954,0.981,0.567,3.58361416742345e-151,"11","Snrpf"
"Tubb4b1",2.49546897105136e-155,0.80410475066556,0.95,0.483,4.29070934882571e-151,"11","Tubb4b"
"Tcerg1",3.8059177840125e-155,0.342754261007831,0.907,0.333,6.5438950378311e-151,"11","Tcerg1"
"Eci21",4.3253110737674e-155,0.36481885673286,0.93,0.364,7.43693986023566e-151,"11","Eci2"
"Smarcc1",6.66230605673762e-155,0.35866279929239,0.884,0.33,1.14551690339547e-150,"11","Smarcc1"
"2010005H15Rik4",1.62755285046439e-154,0.563478903984211,0.928,0.368,2.79841437108847e-150,"11","2010005H15Rik"
"Osgep",2.07058573104871e-154,0.359471475891114,0.917,0.364,3.56016510596515e-150,"11","Osgep"
"Hspa14",1.41227232864847e-153,0.301261344751942,0.901,0.328,2.42826104187818e-149,"11","Hspa14"
"Taf1d",2.38397477208198e-153,0.286477997340735,0.907,0.314,4.09900622311775e-149,"11","Taf1d"
"Rpl264",3.35343056677628e-153,0.63845326171941,1,0.903,5.76588851651513e-149,"11","Rpl26"
"Uck22",3.70860242654364e-153,0.393475860740375,0.948,0.381,6.37657101219913e-149,"11","Uck2"
"C1qa2",4.29848060379689e-153,0.897179005909615,0.535,0.123,7.39080755016837e-149,"11","C1qa"
"Arpc5l1",1.18966217786666e-152,0.486526072603699,0.967,0.469,2.04550514862393e-148,"11","Arpc5l"
"Bloc1s22",1.38527593957518e-152,0.358489562427378,0.917,0.347,2.38184345050557e-148,"11","Bloc1s2"
"Hat12",2.38704232433184e-152,0.374384013965298,0.833,0.294,4.10428057245616e-148,"11","Hat1"
"Ybx14",3.38584904982305e-152,0.541003455516994,1,0.874,5.82162885626575e-148,"11","Ybx1"
"Rpl234",4.33903259240614e-152,0.615610054252953,1,0.952,7.46053263938312e-148,"11","Rpl23"
"Slc25a45",5.96768630460416e-152,0.572408622547472,0.979,0.476,1.02608398321364e-147,"11","Slc25a4"
"Cct52",2.0866156488329e-151,0.541283818040065,0.981,0.543,3.5877269466033e-147,"11","Cct5"
"Ube2e3",2.33132623819125e-151,0.260148029370404,0.872,0.3,4.00848233394604e-147,"11","Ube2e3"
"Exosc5",2.19195017907765e-150,0.31878179213678,0.888,0.325,3.76883913790611e-146,"11","Exosc5"
"Rps153",2.74345538048309e-150,0.572161059069515,1,0.891,4.71709718120263e-146,"11","Rps15"
"Rps93",3.95983087948311e-150,0.605851192724243,1,0.942,6.80853321418326e-146,"11","Rps9"
"Pfkp1",5.4071070896246e-150,0.53032653979061,0.965,0.463,9.29697992990054e-146,"11","Pfkp"
"Dnajc2",5.45351976206418e-150,0.468928558361816,0.955,0.439,9.37678187889315e-146,"11","Dnajc2"
"Gart",1.24070378305024e-149,0.268928086781443,0.769,0.237,2.13326608457658e-145,"11","Gart"
"G3bp11",1.53616742141941e-149,0.511338754585793,0.983,0.526,2.64128626438853e-145,"11","G3bp1"
"Anp32b1",1.94270182691635e-149,0.617134969715734,0.998,0.752,3.34028152119997e-145,"11","Anp32b"
"Dpep22",6.66628538461209e-149,0.48575135856748,0.948,0.369,1.1462011090302e-144,"11","Dpep2"
"Pop5",8.34478643074652e-149,0.263313527110277,0.855,0.288,1.43480257890256e-144,"11","Pop5"
"Cbx31",1.06461848419425e-148,0.508192531302209,0.975,0.478,1.8305050217236e-144,"11","Cbx3"
"Rad50",2.5445711685107e-148,0.290167357722473,0.833,0.281,4.3751356671373e-144,"11","Rad50"
"Paics1",6.35003860692674e-148,0.350312320575128,0.839,0.303,1.09182563807498e-143,"11","Paics"
"Uchl5",3.34064390359057e-147,0.283848217283845,0.882,0.316,5.74390312783363e-143,"11","Uchl5"
"Hsd17b41",4.08648277586439e-147,0.336340530547128,0.903,0.34,7.02629848482123e-143,"11","Hsd17b4"
"Rin32",5.41900879654679e-147,0.406137298215737,0.965,0.411,9.31744372478255e-143,"11","Rin3"
"Dhcr241",9.02336372911252e-147,0.38966602099119,0.938,0.353,1.55147715958361e-142,"11","Dhcr24"
"Mrps26",1.32246711595338e-146,0.356393950003692,0.93,0.379,2.27384995917024e-142,"11","Mrps26"
"Nudt5",1.81273558389121e-146,0.261551466761164,0.874,0.305,3.11681756294255e-142,"11","Nudt5"
"Ssrp11",9.74954278156743e-146,0.463442647273125,0.955,0.451,1.6763363858627e-141,"11","Ssrp1"
"Rpl363",1.55679072509382e-145,0.605746557077847,0.998,0.871,2.67674597272631e-141,"11","Rpl36"
"Ahr1",3.18092890662192e-145,0.304208228523661,0.798,0.247,5.46928916204573e-141,"11","Ahr"
"Usp11",3.54117934589377e-145,0.375490573396555,0.868,0.324,6.08870376732975e-141,"11","Usp1"
"Cdk41",6.87729811257562e-145,0.427038967141101,0.924,0.393,1.18248263747625e-140,"11","Cdk4"
"Mfge83",7.91101997628088e-145,0.759599454578561,0.955,0.39,1.36022077472174e-140,"11","Mfge8"
"Igsf8",1.0205195100823e-144,0.2942996188615,0.831,0.28,1.75468124563551e-140,"11","Igsf8"
"Gars",1.02151053609617e-144,0.371340674079965,0.938,0.379,1.75638521576375e-140,"11","Gars"
"Abhd17a1",1.29294972396818e-144,0.457724969619358,0.973,0.475,2.22309775539089e-140,"11","Abhd17a"
"C1qbp1",2.12839927284063e-144,0.415409190194142,0.942,0.391,3.65956970972217e-140,"11","C1qbp"
"Me2",1.03066367936449e-143,0.275858155640887,0.895,0.314,1.7721231302993e-139,"11","Me2"
"Mrpl15",1.72852288145981e-143,0.298484731601705,0.911,0.35,2.972022242382e-139,"11","Mrpl15"
"Dpy30",1.80447065799634e-143,0.344758981875038,0.917,0.372,3.1026068493589e-139,"11","Dpy30"
"Ddx21",6.51604676890568e-143,0.362315419276115,0.903,0.35,1.12036908144564e-138,"11","Ddx21"
"Fkbp4",9.8318913687693e-143,0.264001376380341,0.8,0.259,1.69049540194619e-138,"11","Fkbp4"
"Nrip11",1.67663334661487e-142,0.281635419326041,0.833,0.277,2.88280337616961e-138,"11","Nrip1"
"Tmem50b1",2.32345665018726e-142,0.29418439265462,0.89,0.324,3.99495136433197e-138,"11","Tmem50b"
"Pdk31",2.86558335628436e-142,0.284845230808232,0.839,0.279,4.92708402279533e-138,"11","Pdk3"
"Commd4",3.28917974808639e-142,0.298469031735715,0.919,0.341,5.65541565885975e-138,"11","Commd4"
"Rcc2",4.73997902459294e-142,0.296838834155625,0.868,0.311,8.1499199348851e-138,"11","Rcc2"
"Rps253",5.22721084875715e-142,0.540644274872695,1,0.905,8.98766633335304e-138,"11","Rps25"
"Stip1",6.68209792297428e-142,0.320011118456976,0.897,0.344,1.1489199168762e-137,"11","Stip1"
"Erg28",9.8539050108765e-142,0.336445058875456,0.928,0.36,1.69428042757011e-137,"11","Erg28"
"Rpl343",1.2390184386529e-141,0.554647355229615,1,0.916,2.13036830341979e-137,"11","Rpl34"
"Yif1b",3.78271623290148e-141,0.331833201568239,0.911,0.352,6.5040022908508e-137,"11","Yif1b"
"Rpl394",3.13172362022015e-140,0.561677670789831,1,0.891,5.38468559260652e-136,"11","Rpl39"
"Srrt",4.8547872520375e-140,0.305062188705484,0.886,0.331,8.34732120115327e-136,"11","Srrt"
"Nsmce11",5.27016406088769e-140,0.270274983826771,0.876,0.316,9.0615200862903e-136,"11","Nsmce1"
"Lage3",9.16477113914232e-140,0.351408023589584,0.946,0.399,1.57579074966413e-135,"11","Lage3"
"Snrpe1",1.14796830335637e-139,0.542396786766255,0.988,0.665,1.97381670079094e-135,"11","Snrpe"
"Gfer",1.21436019513475e-139,0.250757897082519,0.845,0.291,2.08797091951468e-135,"11","Gfer"
"Naga1",2.9408501119034e-139,0.406150458975568,0.913,0.377,5.05649768240671e-135,"11","Naga"
"Tmem1471",3.63697357281742e-139,0.355559846056951,0.952,0.392,6.25341236110227e-135,"11","Tmem147"
"Crip14",6.48132757904366e-139,0.97550712254901,0.907,0.418,1.11439946394077e-134,"11","Crip1"
"Pip4k2a2",8.71469406901234e-139,0.357943838464917,0.936,0.384,1.49840449822598e-134,"11","Pip4k2a"
"Rpl303",1.60433754825792e-138,0.551758018619788,1,0.919,2.75849798047467e-134,"11","Rpl30"
"Rsl1d1",2.11532389092631e-138,0.368774843770404,0.934,0.386,3.6370878980587e-134,"11","Rsl1d1"
"Smchd12",6.1808124159549e-138,0.385606462009129,0.919,0.396,1.06272888679929e-133,"11","Smchd1"
"Rpl13a3",1.38877682688097e-137,0.539919008527676,0.988,0.536,2.38786287613914e-133,"11","Rpl13a"
"Rpl7a3",2.89731962930956e-137,0.563407990014558,1,0.826,4.98165137063486e-133,"11","Rpl7a"
"Nsmce4a",4.52291939745589e-137,0.297075811010873,0.926,0.369,7.77670761198566e-133,"11","Nsmce4a"
"Jpt12",2.9611533063075e-136,0.616744094042623,0.992,0.657,5.09140699486512e-132,"11","Jpt1"
"Rps264",1.05517355989967e-135,0.52769066128929,1,0.899,1.81426541889149e-131,"11","Rps26"
"Atp5g13",1.73454052133251e-135,0.600989754190072,0.983,0.692,2.98236897237912e-131,"11","Atp5g1"
