"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Mmp12",0,1.7145226918608,1,0.948,0
"Spp1",0,1.39094594874227,0.998,0.919,0
"Lpl",0,1.3886738272458,0.998,0.836,0
"Ckb",0,1.33152678292382,0.796,0.276,0
"Mmp19",0,1.32877205132123,0.949,0.601,0
"Cd36",0,1.27738661330884,0.913,0.493,0
"Prdx1",0,1.05950121293022,0.999,0.998,0
"Ccl9",0,0.961371176921717,0.997,0.967,0
"Itgax",0,0.935659918407523,0.963,0.612,0
"Il7r",0,0.89402406612989,0.979,0.677,0
"Gpnmb",0,0.850917321445427,0.997,0.99,0
"Anxa1",0,0.83032576873685,0.994,0.95,0
"Myof",0,0.586253751283674,0.974,0.848,0
"Flrt2",0,0.513814438598237,0.584,0.066,0
"Gpc1",0,0.494478328701146,0.688,0.156,0
"Tmsb10",7.81495118373321e-304,0.701525431248389,0.999,0.989,1.34370270653109e-299
"Rpl35a",5.53406463679661e-303,-0.50779272404273,0.989,0.999,9.51527073650809e-299
"Gmfg",4.04593025680233e-295,-0.564424994648432,0.766,0.95,6.95657248354592e-291
"Met",2.53619729083813e-294,0.544402486054525,0.696,0.194,4.36073762186709e-290
"Lgals3",1.63792169980192e-287,0.528116439500267,1,1,2.81624257063942e-283
"Rps16",1.72423500944107e-285,-0.510520835457906,0.992,0.997,2.96464967523297e-281
"Rassf8",1.13017712578869e-282,0.462242891930009,0.649,0.166,1.94322655008108e-278
"Ctsb",4.07711949486644e-279,0.579193744194237,1,0.998,7.01019925947335e-275
"Rhoc",7.88308076075223e-277,0.499851670640872,0.87,0.445,1.35541690600374e-272
"Il11ra1",1.02162084681418e-276,0.50129681284721,0.931,0.614,1.7565748840123e-272
"Ctsc",6.07890773055456e-273,-0.660144395266093,0.835,0.942,1.04520739519155e-268
"Adam8",6.09670840116747e-270,0.705285169680754,0.953,0.67,1.04826804249674e-265
"Mfge8",6.56476958796124e-270,1.28142800961694,0.883,0.54,1.12874648295406e-265
"Dcstamp",6.62259988844529e-261,0.762822911950087,0.537,0.095,1.13868982481928e-256
"Fau",9.25403879983774e-252,-0.515677800330305,0.995,0.997,1.5911394312441e-247
"Itgb2",9.70989803390039e-251,0.448782554254626,0.992,0.977,1.66951986794883e-246
"Arhgap25",1.41789239693695e-250,0.498474050372173,0.864,0.506,2.4379241872934e-246
"Rps20",2.41877706822192e-249,-0.451690902452016,0.995,0.999,4.15884529110077e-245
"Sh3bgrl3",1.09703223622353e-248,0.385126329658188,0.998,0.995,1.88623722696274e-244
"Rpl18a",1.62676218489121e-248,-0.575167510365815,0.974,0.992,2.79705490070195e-244
"Ctsl",1.80569571133871e-248,1.32198922381529,0.997,0.988,3.10471320607578e-244
"Tubb2a",1.58934727807356e-247,0.520154460212154,0.803,0.394,2.73272370991968e-243
"Zfp36l1",1.15000918104754e-246,-0.800274238316987,0.427,0.771,1.97732578589314e-242
"Plk2",4.62163576507585e-245,0.534694451718222,0.639,0.191,7.94644053447142e-241
"Rps4x",8.80932404371985e-240,-0.536784050448071,0.986,0.989,1.51467517607719e-235
"Akr1a1",8.9639486644517e-240,0.394595125655372,0.997,0.999,1.54126133336583e-235
"Blnk",1.31248963512299e-238,0.327926794446922,0.527,0.093,2.25669467863047e-234
"Anxa4",7.46272930823035e-238,0.457332705962822,0.988,0.955,1.28314167725713e-233
"Il1rn",4.80629254482707e-237,0.83254737057308,0.957,0.807,8.26393940157566e-233
"Rps23",1.68338310813542e-236,-0.489533041589352,0.988,0.998,2.89440891612803e-232
"Rps19",1.77564870629202e-236,-0.393616437843693,0.995,1,3.05305038559851e-232
"Rpl7",1.98806715908194e-236,-0.491434655327994,0.975,0.993,3.41828267332549e-232
"Sphk1",6.57652935786353e-236,0.46167885292479,0.712,0.25,1.13076845779105e-231
"Alcam",6.62349509948336e-236,0.495233934918363,0.972,0.838,1.13884374740517e-231
"Zranb3",2.18833571658947e-235,0.53673031353345,0.757,0.303,3.76262443110394e-231
"Alox5ap",2.63878011831402e-235,-0.465886198168605,0.948,0.984,4.53711853542912e-231
"Rps11",3.57449070659406e-235,-0.597664411560062,0.973,0.989,6.14597932091783e-231
"Rack1",4.55871105900197e-235,-0.462598270127358,0.981,0.993,7.83824779484798e-231
