"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rbpms",1.03910929458304e-41,0.593864060673894,0.654,0.122,1.78664452110609e-37
"Nov",3.98093535656266e-39,-1.41188062757702,0.605,0.939,6.84482025207383e-35
"S100a6",8.74041458433694e-39,-1.11222513240591,0.962,1,1.50282688363089e-34
"Heatr1",1.21946320061943e-37,-0.897332124328773,0.411,0.819,2.09674502714504e-33
"Trf",6.9320172159267e-37,1.33554619390167,0.919,0.475,1.19189104010644e-32
"Emilin2",4.1061329548825e-30,-0.773628939778523,0.924,0.991,7.06008500262497e-26
"Bhlhe40",1.07035005603176e-29,0.818835285252365,0.778,0.383,1.84035988634102e-25
"Ccl2",9.49218789797153e-29,-1.91154593043035,0.108,0.564,1.63208678717723e-24
"AW112010",8.6419403387231e-28,0.858896487362821,0.676,0.229,1.48589522184005e-23
"Rps7",3.78346361062057e-27,0.54268889118264,1,1,6.50528733210101e-23
"Apoe",5.03873728995464e-27,3.47366006570438,0.357,0.046,8.663604896348e-23
"Klk1b11",1.55930695120885e-26,1.62097091195208,0.746,0.368,2.6810723719085e-22
"Axl",9.45680859408926e-26,0.812586103468021,0.746,0.342,1.62600366966771e-21
"Calm1",1.40028241782827e-25,-0.565538983088105,0.995,0.989,2.40764558921393e-21
"Adgre5",6.65184190635876e-25,0.297515570876668,0.297,0.024,1.14371769737933e-20
"Tmsb4x",9.75065246730322e-25,0.454636423621147,1,1,1.67652718522812e-20
"Cox7a2l",1.64148761294866e-24,0.657465115626541,0.989,0.959,2.82237380170393e-20
"Rps11",5.75521083861725e-24,0.496605477862981,1,1,9.89550951591851e-20
"Aprt",2.34931383329582e-23,-0.745743287898667,0.908,0.969,4.03941020496884e-19
"Tgm2",3.08762756518775e-23,0.548113566860346,0.362,0.057,5.30886683558382e-19
"Adam8",6.20381183116862e-23,-0.948551033616299,0.546,0.824,1.06668340625113e-18
"Tarm1",8.14855420229644e-23,-0.838268633945466,0.681,0.885,1.40106240954285e-18
"Mgst1",1.82171744087022e-22,0.73454000709491,0.951,0.782,3.13226096783226e-18
"Ndufa4",2.09559141049659e-22,-0.662648058885066,0.892,0.967,3.60315987120783e-18
