"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccl2",7.48332728000085e-62,-2.29609898344446,0.115,0.521,1.28668329252335e-57
"AA467197",1.98338484639247e-52,1.71198167085199,0.654,0.292,3.41023190488721e-48
"Mmp12",5.01708163907027e-47,-1.88656316270809,0.574,0.842,8.62637017021741e-43
"Rpl32",8.9211773379405e-47,0.908353336498261,0.93,0.808,1.53390723148549e-42
"Rps7",8.26587954508766e-45,1.17284438370195,0.833,0.578,1.42123532898237e-40
"Rps14",1.10708097354232e-44,0.97755635916667,0.9,0.731,1.90351502590866e-40
"Tmsb4x",1.13287039607043e-42,0.56867185367012,0.998,0.995,1.9478573590035e-38
"Rps3a1",1.78650786973281e-41,0.820675021692304,0.917,0.807,3.0717216312186e-37
"Rpl23",9.1843129235666e-41,0.751227989445455,0.954,0.858,1.57915076407804e-36
"Rpl17",1.1592627906464e-40,0.963917038908792,0.879,0.704,1.99323644223742e-36
"Rpl30",1.24596348884356e-40,0.868922964874185,0.874,0.706,2.14230962271762e-36
"Rpl19",1.60269029300359e-40,0.76563629656769,0.945,0.817,2.75566568979037e-36
"Rpl9",7.9615247726892e-40,0.910903804561126,0.859,0.676,1.36890456941618e-35
"Eef1a1",1.55650553120242e-39,0.917984178643217,0.9,0.768,2.67625561034945e-35
"Fau",5.21468685441558e-39,0.806312151077023,0.938,0.785,8.96613257748215e-35
"Rpl11",3.46114709101192e-38,0.898435901505939,0.862,0.685,5.9510963082859e-34
"Rpl26",4.07588650215569e-38,0.818819606888843,0.895,0.721,7.00807925180649e-34
"Crip1",1.33337168306982e-37,1.23143991059991,0.622,0.295,2.29259927187025e-33
"Rps23",1.79699442732665e-37,0.836175231439454,0.885,0.696,3.08975221834545e-33
"Rps18",2.32348521532329e-37,0.985135729870023,0.848,0.684,3.99500047922686e-33
"Rps27a",4.99066311269547e-37,0.700684092098468,0.954,0.851,8.5809461559686e-33
"Rpl13",8.50833343209126e-37,0.708231141648818,0.958,0.867,1.46292285031377e-32
"Rpl10",8.99638427201644e-37,1.03706774823499,0.81,0.59,1.54683831173051e-32
"Rpl5",1.58892578616358e-36,0.961397286487807,0.785,0.547,2.73199899672966e-32
"Rps3",5.8818489651855e-36,0.91630271443351,0.833,0.648,1.011325111074e-31
"Rpl14",9.34940990163413e-36,0.872457546662365,0.815,0.582,1.60753753848697e-31
"Rps11",2.99378258946755e-34,0.918108897295856,0.833,0.629,5.14750978433051e-30
"Rps4x",7.67361019260903e-34,0.874498773146146,0.838,0.655,1.3194005365172e-29
"Gpnmb",1.63934190981647e-33,-1.61343727606087,0.351,0.625,2.81868447973844e-29
"Rps10",1.71071107196035e-33,0.707501246525734,0.932,0.8,2.94139661712863e-29
"Rpl3",3.95514517256334e-33,0.985824024227777,0.785,0.584,6.80047660970541e-29
"Rpl10a",5.36523550972407e-33,0.980913789277697,0.756,0.517,9.22498593541957e-29
"Rps16",6.70893071199231e-33,0.760389362254727,0.891,0.749,1.15353354661996e-28
"Ctsb",2.06739800827166e-32,-1.81792344438196,0.296,0.554,3.55468413542229e-28
"Rpl28",3.87949314406636e-32,0.76090861646665,0.874,0.695,6.6704005119077e-28
"Sec61b",1.05800229672824e-31,1.07824914930953,0.686,0.414,1.81912914899454e-27
"Rpsa",1.2225771410208e-31,0.783609464445258,0.933,0.855,2.10209913627116e-27
"Tpt1",1.38352731400019e-31,0.552931141386601,0.985,0.933,2.37883686369193e-27
"Rpl21",3.1163904497457e-31,0.787998785205597,0.832,0.633,5.35832173929275e-27
"Rps15a",3.31907263634195e-31,0.884097582780941,0.825,0.654,5.70681349092636e-27
"Rpl35a",6.36363438956933e-31,0.748795921738625,0.892,0.731,1.09416329694255e-26
"Rps24",1.17291381261344e-30,0.630731605737043,0.936,0.875,2.01670800940754e-26
"Rps13",6.08046825113034e-30,0.693456505610553,0.879,0.731,1.04547571109935e-25
"Rps6",7.7039661363985e-30,0.866215699387911,0.771,0.569,1.32461993749236e-25
"Rps19",2.04703912611246e-29,0.658032094038452,0.942,0.816,3.51967907343776e-25
"Ccl9",5.40648391437289e-29,-1.30829676066222,0.458,0.679,9.29590844237275e-25
"Ccl7",2.00558826581961e-28,-1.66617768550954,0.008,0.187,3.44840846425024e-24
"Rpl15",2.09007123660975e-28,0.840404564779289,0.807,0.607,3.59366848422681e-24
"Rpl18a",4.81158304547813e-28,0.753558246236146,0.829,0.64,8.2730358883951e-24
"Rps20",1.03660023456084e-27,0.628117073538879,0.907,0.772,1.78233044330391e-23
"S100a9",3.08574741041304e-27,-1.32030897668418,0.27,0.55,5.30563409746418e-23
