"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bhlhe40",4.54384436359559e-114,1.13680810998048,0.95,0.488,7.81268599876626e-110
"S100a9",1.17519494907066e-83,-2.58488000182933,0.728,0.936,2.02063019543209e-79
"Ccl2",1.69027222129169e-80,-2.04744983536435,0.38,0.872,2.90625405728894e-76
"Clec4d",9.27724429245568e-75,-1.05855991413691,0.845,0.952,1.59512938364483e-70
"Hpgds",6.36949596284522e-71,-0.749795275020774,0.358,0.76,1.09517113585161e-66
"AA467197",1.42388379638867e-70,1.73303289151401,0.945,0.699,2.44822579951068e-66
"Axl",5.33968129572062e-66,0.891908605048491,0.915,0.557,9.18104801986203e-62
"Rbpms",1.41861453867261e-61,0.37427605888407,0.682,0.19,2.43916583779369e-57
"Ccl7",5.54444516280348e-55,-1.48010363292197,0.065,0.514,9.5331190129243e-51
"Tmsb4x",7.10014698959665e-52,0.428168469483257,1,1,1.22079927339125e-47
"Rnase2a",2.27507220436426e-51,0.356665530506459,0.358,0.044,3.9117591481839e-47
"Vim",1.02066806330099e-49,-0.57675258728357,1,1,1.75493666803972e-45
"Car4",6.349177245445e-48,1.07270414798865,0.632,0.234,1.09167753558181e-43
"Ltc4s",9.03666923203051e-47,0.40359475315265,0.568,0.174,1.55376490775533e-42
"F13a1",6.73270318202491e-44,-1.46072815259168,0.152,0.539,1.15762098511736e-39
"Abcd2",5.36707951561855e-42,0.387007098782521,0.698,0.283,9.22815651915454e-38
"Trf",1.7990575081583e-41,0.634197111690436,0.812,0.446,3.09329947952738e-37
"Rgl1",4.25279453124918e-40,-0.627054713685507,0.53,0.762,7.31225491702984e-36
"Ndufa4",7.47669579785678e-40,-0.570430763842294,0.963,0.975,1.2855430754835e-35
"Emp1",2.01461192905923e-39,-0.668380807955814,0.507,0.772,3.46392375082443e-35
"2010111I01Rik",3.61338297682943e-38,-0.552651734624412,0.718,0.84,6.21285069036052e-34
"Msr1",6.70411664178583e-38,-0.669467540725037,0.94,0.96,1.15270581538866e-33
"Fn1",6.20082230691884e-37,1.28620993264655,0.767,0.454,1.06616938745163e-32
"Sdc4",7.35528697900967e-37,-0.625443486020179,0.212,0.557,1.26466804317092e-32
"Klk1b11",3.36915285963232e-35,0.867850441748762,0.695,0.333,5.7929214268518e-31
"Ramp1",4.75925726984105e-35,0.502364925955003,0.95,0.76,8.18306694976471e-31
"Ctsb",1.26806851308968e-34,-0.820714995345974,0.995,0.999,2.18031700140639e-30
"Bcl2a1a",2.29342372794519e-34,0.461126231380465,0.94,0.78,3.94331275782896e-30
"Lrp1",1.47857630221287e-33,-0.528288025584541,0.935,0.957,2.54226409402481e-29
"Irf4",1.49037050234423e-33,0.277116673096187,0.53,0.193,2.56254304173068e-29
"Angptl2",2.94235949431944e-32,-0.627586722997074,0.255,0.536,5.05909291453285e-28
"Maf",6.37109287214354e-32,-0.665369222351888,0.165,0.473,1.09544570843636e-27
"Cotl1",9.26668061788559e-32,0.379707781944196,1,0.998,1.59331306543925e-27
"Nt5dc2",1.29557994919376e-31,-0.685591707206373,0.598,0.75,2.22762016464376e-27
"Crip1",4.496026852136e-31,0.839423981442182,0.905,0.769,7.73046856956264e-27
"Heatr1",1.26035606634482e-30,-0.504744317937697,0.488,0.653,2.16705622047327e-26
"Cytip",2.85919882907863e-30,0.370786850107637,0.762,0.404,4.9161064667178e-26
"S100a6",3.31760221057675e-30,-0.639977485573803,1,0.998,5.70428524086566e-26
"Lat2",5.30030486348529e-30,-0.508133822263964,0.738,0.853,9.11334418227661e-26
"Tgm2",3.64501914751679e-29,0.455228269244813,0.535,0.228,6.26724592224037e-25
"Fabp5",1.08739718826054e-28,-0.868505794314585,0.978,0.992,1.86967072549517e-24
"Ccnd2",3.16267308065903e-28,0.390410047506044,0.615,0.278,5.43790009488513e-24
"Gas7",3.404542422417e-28,-0.462851105124596,0.618,0.773,5.85377024110379e-24
"Sec61b",4.26516974589476e-28,0.553575396929034,0.985,0.968,7.33353286109145e-24
"Adam8",1.10191714305396e-27,-0.675859282521759,0.613,0.778,1.89463633576697e-23
"Lmna",1.72177508823725e-27,-0.53094148828757,0.938,0.963,2.96042008671512e-23
"Pts",1.75324349423725e-27,0.334657770821938,0.863,0.551,3.01452686399152e-23
"Rps3",1.16825559678729e-26,0.401245977324137,0.998,0.994,2.00869867311607e-22
"Igf2r",1.22058157223367e-26,-0.458626114189899,0.462,0.681,2.09866795529858e-22
"Ahnak",1.35329948397747e-26,-0.482071619225037,0.988,0.996,2.32686313275087e-22
"Gpnmb",2.62096575531051e-26,-0.885634117494146,0.953,0.983,4.50648851968088e-22
"Timp2",2.88087982389309e-26,-0.571023123805525,0.882,0.892,4.95338476920177e-22
"Bcl2a1b",5.84366192375894e-26,0.442534746570617,0.983,0.939,1.00475923117111e-21
"AI504432",7.31037302508749e-26,0.299912495595356,0.765,0.398,1.25694553793354e-21
"C3ar1",7.68454060486128e-26,-0.580461278119114,0.62,0.743,1.32127991159985e-21
"Lst1",8.29445879836159e-26,-0.579393954015735,0.752,0.801,1.42614924579029e-21
"Ctsc",1.25732187608324e-25,0.413190928956398,0.988,0.963,2.16183923373752e-21
"Gusb",2.41799833953667e-25,-0.389569025219993,0.935,0.957,4.15750634499934e-21
"Klk1b9",3.32726774107032e-25,0.394515690804449,0.305,0.083,5.72090415399632e-21
"Rps3a1",4.71093483231467e-25,0.312219720599402,1,0.999,8.09998135068185e-21
"Atp2b1",5.94854859430896e-25,-0.447950515544516,0.96,0.972,1.02279344530548e-20
"mt-Atp6",6.2456410182358e-25,0.272906910569327,1,1,1.07387551667546e-20
"mt-Cytb",6.26113499640158e-25,0.318834884069472,0.998,0.999,1.07653955128129e-20
