"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sphk1",1.48620322752128e-101,-1.54161658366701,0.113,0.775,2.55537782940009e-97
"AA467197",3.17718889776894e-72,1.82831612002144,0.961,0.717,5.46285859082392e-68
"Bhlhe40",6.09027628641621e-69,1.07798928935795,0.944,0.772,1.0471621046864e-64
"Mmp12",3.73633346664202e-68,-1.92173559570386,0.559,0.912,6.42425176254429e-64
"Satb1",1.5251961095981e-65,-1.36360469411469,0.092,0.596,2.62242219084297e-61
"Ninj1",1.1536000450292e-59,-1.05658245239208,0.619,0.863,1.9834999174232e-55
"Ndufa4",4.93166050272386e-58,-0.984240795706625,0.711,0.866,8.4794970683834e-54
"Psap",1.23299537704321e-50,-1.26448495079818,0.965,0.988,2.1200122512881e-46
"Mrfap1",1.53963141617634e-48,1.0474064627517,0.966,0.891,2.6472422569736e-44
"Malt1",1.15616257870538e-47,-1.25708977554532,0.713,0.897,1.98790593782604e-43
"Ccl2",2.65257284033225e-44,-1.14009624731754,0.032,0.383,4.56083374166727e-40
"Rpl10",4.2620937878759e-43,0.5047748801577,0.991,0.982,7.32824405887382e-39
"Eid1",5.43325901536936e-42,-0.698636156812029,0.596,0.818,9.34194555102608e-38
"Pold4",1.3748061144136e-41,0.767932821300251,0.919,0.748,2.36384163312274e-37
"Ier3",4.30389290843157e-41,-1.03256675933802,0.46,0.769,7.40011346675724e-37
"Parp8",2.7374623346575e-39,-0.579481378070966,0.235,0.605,4.70679273821011e-35
"Calm1",3.88772037888979e-38,-0.809984181574678,0.988,0.991,6.68454641946311e-34
"Mx1",1.93011184096066e-37,0.959491594385542,0.718,0.289,3.31863429934775e-33
"Npm1",2.15311526543687e-37,0.592161950324192,0.975,0.951,3.70206638739215e-33
"Plaur",3.05943037728391e-37,-0.742365564268313,0.15,0.508,5.26038459070196e-33
"Il18r1",4.16114897773899e-37,0.72913350531918,0.547,0.116,7.15467955232441e-33
"Rpl15",5.03454209973717e-37,0.544073164170421,0.993,0.979,8.65639168628809e-33
"S100a9",1.7532065498551e-36,-2.58136754555979,0.483,0.769,3.01446334182086e-32
"S100a8",2.04807374186528e-36,-2.34857413901423,0.395,0.723,3.52145799176317e-32
"Cd63",2.11041183810825e-36,-0.701956322706464,0.951,0.97,3.62864211444332e-32
"Rpl11",1.18209613587406e-35,0.453314816736015,0.986,0.982,2.03249609602187e-31
"Cst3",1.6291105866518e-35,-0.77062315478865,1,0.997,2.8010927426891e-31
"Rgs3",4.44181548951915e-35,0.522473681862844,0.737,0.261,7.63725755267922e-31
"Ftl1",1.44665927913146e-33,-0.722068309353785,0.996,1,2.48738596453863e-29
"Sept4",1.59506764824855e-33,0.890299918087528,0.623,0.201,2.74255931439855e-29
"Wnk1",3.68778830610681e-33,-0.856917223589983,0.921,0.982,6.34078321352004e-29
"Arap2",8.88767562050301e-33,0.714056442112121,0.929,0.763,1.52814694618929e-28
"Sec61b",1.90290222103266e-32,0.589298012142723,0.981,0.957,3.27185007884356e-28
"Tnip3",3.24667236745875e-32,0.781525571564485,0.873,0.599,5.58232846860857e-28
"Mfsd1",6.5099974731908e-32,-0.604729600519406,0.362,0.653,1.11932896554043e-27
"Rpl9",1.02758279420863e-31,0.424952902573245,0.989,0.976,1.76682585636232e-27
"Rps7",1.94589040562036e-31,0.452054842852137,0.989,0.973,3.34576396342364e-27
"Wfdc17",2.15890732205996e-31,-1.54533467598881,0.653,0.842,3.71202524954989e-27
"Rps23",4.54677671958073e-31,0.422693233907268,0.993,0.985,7.81772789164711e-27
"Cdkn1a",9.63785261168174e-31,-0.746634826819661,0.899,0.973,1.65713237805256e-26
"Rps18",1.00672643555288e-30,0.473474402178511,0.993,0.97,1.73096543328963e-26
"Rpl7a",3.72807447751574e-30,0.420762963954415,0.977,0.967,6.41005125664057e-26
"Adra2a",5.14980849108401e-30,0.385894121252637,0.418,0.061,8.85458071956984e-26
"Ppp4r2",2.12085980380256e-29,-0.638165069780861,0.697,0.818,3.64660634665812e-25
"Rpl21",2.72336124878625e-29,0.448176946466144,0.991,0.97,4.68254733116309e-25
"Rpl27a",4.48173928921729e-29,0.384139956843335,0.996,0.991,7.70590253388021e-25
"Mpeg1",4.53275408195252e-29,-0.765881011194358,0.309,0.62,7.79361736850916e-25
"Bst2",4.93592636316792e-29,0.876647152650909,0.944,0.888,8.48683178883092e-25
"Rpl17",8.32473566054472e-29,0.365282748545894,0.993,0.991,1.43135504947406e-24
"Mcf2l",9.05622007806076e-29,-0.542004892381229,0.229,0.532,1.55712648022177e-24
"Klrk1",1.47335467495032e-28,0.582638498510816,0.593,0.216,2.53328602810958e-24
"Naca",1.59697811839486e-28,0.434320428007123,0.986,0.964,2.74584417676812e-24
"Rps14",1.84181695690649e-28,0.351772817509731,0.996,0.988,3.16682007570502e-24
"Capzb",2.79249766782048e-28,-0.453270773038286,0.954,0.967,4.80142049005053e-24
"Tmem176b",1.31274971290929e-27,0.753510755788477,0.912,0.763,2.25714185637623e-23
"Rps3",1.32708083799257e-27,0.392126850809177,0.988,0.973,2.28178279284443e-23
"Kynu",1.48457392984637e-27,0.414565285027399,0.691,0.316,2.55257641497785e-23
"Rps9",1.68645904235738e-27,0.356274340071448,0.993,0.988,2.89969767742927e-23
"Rps3a1",2.4533489337819e-27,0.385400477140132,0.993,0.973,4.21828815674461e-23
"Gbp4",5.34223044672625e-27,-0.495283074199941,0.065,0.328,9.18543103010111e-23
"Emilin2",5.72106081609569e-27,-0.575645456568213,0.189,0.483,9.83679196719493e-23
"Bmyc",6.41792829598448e-27,0.654723954090942,0.914,0.726,1.10349859121157e-22
"Cox7a2l",7.93503434246529e-27,0.431952617993365,0.974,0.954,1.36434980484348e-22
"Atp5g2",1.06260348198903e-26,0.432064699493181,0.961,0.957,1.82704042693194e-22
"Lrp8",2.5410060360152e-26,-0.343871280489166,0.058,0.322,4.36900577832454e-22
"Irgc1",2.78233366750128e-26,-0.25953410095876,0.044,0.289,4.7839445079017e-22
"Csf2rb",3.02201121211108e-26,-0.547925499133331,0.97,0.979,5.1960460781038e-22
"Spp1",3.49157865274126e-26,-1.00770008529814,0.48,0.72,6.00342033552332e-22
"Sdc4",3.68191352032629e-26,-0.608402575434506,0.36,0.626,6.33068210684903e-22
"Eef1a1",4.03236449102044e-26,0.398147130520838,0.993,0.988,6.93324750586055e-22
"Tecpr1",4.76147704755642e-26,-0.739134741899245,0.725,0.845,8.1868836355685e-22
"Bri3",7.4589498107573e-26,-0.502314676230572,0.959,0.967,1.28249183046161e-21
"Tmem176a",7.87029687519986e-26,0.723230117479108,0.912,0.739,1.35321884472186e-21
"Rpl26",1.76341515257735e-25,0.366984976187395,0.995,0.985,3.03201601334149e-21
"mt-Nd4",3.5830558126001e-25,0.286133352129728,0.97,0.991,6.1607061641846e-21
"Rps13",7.44874843483134e-25,0.343941865957669,0.989,0.976,1.2807378058849e-20
"Hspa8",1.46356061329735e-24,0.531226399371954,0.986,0.982,2.51644611850347e-20
"Rps11",3.10993195838435e-24,0.398560261503384,0.993,0.982,5.34721700924606e-20
"Pf4",7.37575019671775e-24,-1.10983786105276,0.072,0.325,1.26818648882365e-19
"Mfge8",3.01349393222619e-23,-1.76389230557297,0.67,0.815,5.18140146706971e-19
"Slc7a7",3.83175911881674e-23,0.374767496043717,0.612,0.261,6.5883266288935e-19
"Rps5",5.11941208169327e-23,0.344590566857697,0.993,0.979,8.80231713326341e-19
"Rps15a",5.30743417614263e-23,0.352457674559644,0.989,0.985,9.12560232245963e-19
"Ciita",6.42316513144527e-23,0.596903941531969,0.751,0.404,1.1043990127007e-18
"Il2ra",7.55818983899277e-23,-0.676003766404785,0.362,0.632,1.29955516091642e-18
"Rpl22",7.61162769688058e-23,0.358681587149569,0.977,0.97,1.30874326620165e-18
"Avpi1",9.66435883992915e-23,-0.710634346329033,0.847,0.881,1.66168985893742e-18
"Rps27a",1.34429104284467e-22,0.317893008521409,0.996,0.988,2.31137401906713e-18
"Rpl29",1.68991457692571e-22,0.351617414436948,0.977,0.96,2.90563912356606e-18
"Rpsa",2.39587209799643e-22,0.364973017619922,1,0.994,4.11946248529506e-18
"S100a6",2.7014236836396e-22,-0.7063537530309,0.965,0.988,4.64482788164993e-18
"mt-Cytb",2.93090862262318e-22,0.334394634366919,0.968,0.985,5.03940428573829e-18
