"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hpgds",1.52717346334239e-164,-1.40896211863235,0.215,0.887,2.62582205287091e-160
"Lmna",2.76403266352341e-136,-1.37567924326741,0.46,0.897,4.75247776166215e-132
"Bhlhe40",3.31582495537992e-127,1.02403153896561,0.938,0.534,5.70122942828023e-123
"Angptl2",1.04275905547964e-117,-0.998336120369211,0.122,0.688,1.79291991999169e-113
"Crip1",4.61159778426541e-102,1.55583386488428,0.955,0.706,7.92918123026595e-98
"Klk1b11",2.29785272122854e-95,1.98652988119009,0.884,0.407,3.95092796888036e-91
"Cdkn1a",1.07865415234486e-94,-1.33630059565404,0.81,0.977,1.85463794954175e-90
"Mrfap1",2.58925399670593e-92,0.978629538917578,0.977,0.918,4.45196332193618e-88
"Sdc4",5.59799679872917e-90,-1.05335041436634,0.162,0.655,9.62519569573493e-86
"Trf",1.97851547720764e-89,0.991825973035431,0.935,0.65,3.40185951151082e-85
"Tmem176b",2.20324955629296e-85,1.60584803838684,0.589,0.09,3.78826728709011e-81
"Scp2",2.23773161703481e-81,-0.681571919432497,0.977,0.987,3.84755574232965e-77
"S100a9",2.723504698952e-81,-0.711881585004525,0.545,0.869,4.68279397937807e-77
"Tmem176a",3.17012035629855e-79,1.45001847826975,0.553,0.077,5.45070494061973e-75
"Psap",2.91827302491011e-77,-1.08284507167365,0.999,1,5.01767863903044e-73
"Klk1b9",9.70270704457902e-76,1.27476262721149,0.85,0.411,1.66828344924492e-71
"Ly6a",9.24430857092785e-75,-1.56741186756071,0.101,0.527,1.58946641568533e-70
"Ifngr1",7.52288644598199e-74,0.783856644302915,0.945,0.75,1.29348509552214e-69
"S100a8",5.06507619058538e-73,-0.908728277517945,0.439,0.814,8.70889200209249e-69
"Rpl10",3.75876817519522e-72,0.561594135090925,0.999,0.997,6.46282600043065e-68
"Tpst2",1.21845945629108e-71,-0.524310248732194,0.252,0.655,2.09501918914688e-67
"Lcp1",1.96716381255018e-71,-0.558331936742936,0.999,0.998,3.38234145929878e-67
"Ndufa4",1.72717034300814e-68,-0.683235433801384,0.902,0.969,2.96969668776819e-64
"Sec61b",3.87512389198193e-68,0.806199416779281,0.997,0.993,6.66288801987374e-64
"Ccl2",2.12057757722273e-67,-1.59639919421357,0.103,0.514,3.64612108627676e-63
"Tpcn1",2.12437272642757e-67,0.425995601032022,0.539,0.092,3.65264646581957e-63
"Cux1",7.98585952494712e-67,-0.620266118856659,0.908,0.974,1.37308868671941e-62
"Plec",4.16018988660863e-66,-0.653395214759269,0.902,0.972,7.15303049103488e-62
"Dmpk",3.07228072941619e-65,-0.522403728742293,0.103,0.484,5.2824794861582e-61
"AA467197",4.4045052741248e-65,1.19589071227963,0.892,0.578,7.57310636833018e-61
"Plaur",1.00346351523748e-64,-0.954400130145179,0.513,0.816,1.72535516809933e-60
"Rbpms",8.78289915290477e-64,0.430420595794226,0.564,0.123,1.51013168035045e-59
"Fth1",2.23328307683494e-63,-0.933775147269634,1,1,3.83990692231e-59
"Soat1",4.40788653612044e-61,-0.627136915382473,0.889,0.979,7.57892011020549e-57
"Ckb",2.71553967165902e-60,0.929545055530654,0.842,0.512,4.66909891145052e-56
"Pld4",1.25322748042898e-58,0.578991728933312,0.79,0.384,2.15479932984958e-54
"Fndc5",2.72661075229277e-58,0.707399273134324,0.706,0.281,4.68813452749218e-54
"Eef1a1",9.46186809584711e-57,0.468644316354066,0.999,0.997,1.62687360039995e-52
"Cldnd1",1.23175054742534e-56,0.938177517561021,0.88,0.658,2.11787189124313e-52
"Asb2",5.23290148868816e-56,0.710067326180983,0.661,0.253,8.99745081965043e-52
"Irgc1",7.70172742822874e-56,-0.353521423602394,0.088,0.438,1.32423501400965e-51
"Rab7b",9.92820385972393e-56,-0.451951988402476,0.052,0.389,1.70705537164093e-51
"Gpnmb",1.49810894619501e-55,-1.33399263936425,0.411,0.773,2.5758485220877e-51
"Chn2",5.53966608773373e-55,0.342372100312067,0.614,0.182,9.52490187124938e-51
"Cstb",1.15416747362644e-54,-0.764724810722689,0.954,0.98,1.98447555415329e-50
"Igf2r",3.11570923920668e-54,-0.482629501976696,0.14,0.501,5.35715046589197e-50
"Csf2rb",4.5399558320829e-54,-0.621516345045413,0.997,0.998,7.80600005768334e-50
"Ccdc12",2.93594466691058e-53,0.517328601536473,0.985,0.946,5.04806326028606e-49
"Ier3",3.28985090660012e-53,-0.753962557138529,0.75,0.952,5.65656964880824e-49
"Rpl3",4.29893437132519e-53,0.426157514806307,0.999,0.998,7.39158775805653e-49
"P2ry14",6.20649038255134e-53,-0.646421843138417,0.808,0.936,1.06714395637588e-48
"Il18r1",1.77830506006807e-52,0.478032012561394,0.493,0.112,3.05761772028104e-48
"Ly86",2.28617389633102e-52,0.862245688698317,0.749,0.409,3.93084739735155e-48
"Rps7",4.81644976731151e-52,0.456557300199951,0.999,0.998,8.2814037299154e-48
"Rpl9",7.91245995761898e-52,0.388008597820469,0.999,1,1.36046836511301e-47
"Malt1",1.33054952808826e-51,-0.829082726179059,0.736,0.901,2.28774685859495e-47
"Emilin2",8.49455418440462e-51,-0.584922153306461,0.817,0.926,1.46055364646653e-46
"AY036118",1.19318566597872e-50,0.633860536472114,0.955,0.754,2.05156343408381e-46
"Calm1",1.21130692959081e-50,-0.483503812988389,0.995,0.998,2.08272113473844e-46
"Cyba",2.32357472634446e-50,-0.619153316752426,0.994,0.998,3.99515438447666e-46
"Rps3",5.45241991521227e-50,0.41580621036185,0.999,0.998,9.37489080221598e-46
"Abr",1.17932970706802e-49,-0.465507320906279,0.785,0.905,2.02773949833276e-45
"Itch",2.34688115765928e-49,0.486575612410056,0.896,0.663,4.03522746247937e-45
"Aprt",5.94729347982517e-49,-0.676337577301111,0.932,0.966,1.02257764092114e-44
"Tbxas1",1.02471475284519e-48,0.500007347246798,0.884,0.547,1.76189454604202e-44
"2010111I01Rik",3.55469008709694e-48,-0.64131155565299,0.515,0.754,6.11193413575448e-44
