"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Lgmn",0.000108069127028611,-0.952563724374115,0,0.574,1,1.80788008866263e-09,-0.898935179572537,0.141,0.534,3.10846902444653e-05,0.000108069127028611,3.61576017405683e-09
"Ikzf1",0.0145599385974546,0.701981895883473,0.643,0.463,1,1.97849383916498e-09,0.533499926527938,0.594,0.33,3.40182230706027e-05,0.0145599385974546,3.95698767441551e-09
"Ddhd1",0.000270644700961994,-0.801720305246543,0.143,0.635,1,2.36224802075215e-09,-0.7887232447894,0.203,0.55,4.06164924688124e-05,0.000270644700961994,4.72449603592407e-09
"Tnfaip8",0.0258398675304735,0.628305298347024,0.786,0.711,1,2.53082423699862e-09,0.620593622266561,0.797,0.557,4.35149919309542e-05,0.0258398675304735,5.06164846759216e-09
"Clec4a2",0.000345460241319732,-0.767860487062296,0.071,0.586,1,2.70980429485233e-09,-0.711241308449464,0.172,0.532,4.65923750456909e-05,0.000345460241319732,5.4196085823616e-09
"Shtn1",0.000145109530649646,-0.662406566378069,0.071,0.636,1,2.98841762423263e-09,-0.61215351876882,0.125,0.509,5.13828526310558e-05,0.000145109530649646,5.9768352395346e-09
"Atp2a3",0.00329772176326416,0.413659895018809,0.571,0.302,1,3.04355014607393e-09,0.602231666019036,0.453,0.19,5.23308012115951e-05,0.00329772176326416,6.08710028288465e-09
"Trem2",0.00015084468194121,-1.0948920941526,0,0.56,1,3.20910198270407e-09,-0.851298433729441,0.109,0.481,5.51772994906137e-05,0.00015084468194121,6.41820395510979e-09
"S100a4",0.00752250011363449,-0.858061915762591,0.429,0.73,1,3.50159863801803e-09,-1.15048668644987,0.344,0.637,6.0206486982082e-05,0.00752250011363449,7.00319726377485e-09
"Skap2",0.000122021855687136,-0.69912213951949,0.286,0.773,1,3.90673275581942e-09,-0.631061210690964,0.297,0.662,6.71723630035592e-05,0.000122021855687136,7.81346549637629e-09
"Ctsa",0.0502046309342869,-0.524800369937884,0.571,0.724,1,4.17250850852497e-09,-0.726233163203707,0.438,0.687,7.17421112955783e-05,0.0502046309342869,8.3450169996401e-09
"Eps8",0.00423523363413904,-0.464167723210194,0.143,0.529,1,4.32170436806397e-09,-0.692674901360208,0.219,0.559,7.43073849044918e-05,0.00423523363413904,8.64340871745078e-09
"Arhgef1",0.139252376100517,0.360299712371822,0.643,0.655,1,4.5056960334286e-09,0.474885504974809,0.781,0.514,7.74709375987714e-05,0.139252376100517,9.01139204655589e-09
"Ptpn18",0.0366178400204217,0.858609441086029,0.786,0.709,1,4.79576107862117e-09,0.538281258780629,0.812,0.545,8.24583159858125e-05,0.0366178400204217,9.59152213424302e-09
"Fgr",0.000279285870938449,-0.606911016096837,0.071,0.592,1,4.89351655696477e-09,-0.56789783344662,0.062,0.45,8.41391236804522e-05,0.000279285870938449,9.78703308998302e-09
"Atp6v0d2",0.00546745438145433,-1.27390122053736,0.143,0.491,1,5.09756581392528e-09,-1.20736011276061,0.219,0.543,8.76475466046313e-05,0.00546745438145433,1.01951316018654e-08
"Herc1",0.00296766766020708,0.475007980725651,0.714,0.52,1,5.17966571724159e-09,0.454961701168206,0.625,0.357,8.9059172342252e-05,0.00296766766020708,1.03593314076542e-08
"Fxyd5",0.062483767591178,0.649658698881433,0.929,0.915,1,5.68475704921169e-09,0.523609509884556,0.984,0.931,9.77437127041459e-05,0.062483767591178,1.13695140661069e-08
"Ubn1",0.329245818287449,0.470774845457249,0.571,0.59,1,6.42932135098819e-09,0.396148746560709,0.688,0.423,0.000110545751308891,0.329245818287449,1.28586426606402e-08
"Tnfrsf1b",0.000261386924894056,-0.852213387586211,0.071,0.594,1,6.50066577203282e-09,-0.822460530625572,0.25,0.591,0.000111772447284332,0.000261386924894056,1.3001331501807e-08
"Zfp36l1",0.00037425095573147,-1.03655711718361,0.214,0.741,1,6.63873832458497e-09,-1.18322578497103,0.375,0.644,0.000114146466752914,0.00037425095573147,1.3277476605097e-08
"Nrp2",0.000455833821331335,-0.688649020314892,0,0.508,1,6.82806688864065e-09,-0.680539334860436,0.047,0.413,0.000117401782083287,0.000455833821331335,1.36561337306588e-08
"Dynlt1f",0.00328457912650628,0.406048968634366,0.571,0.298,1,7.51204591405206e-09,0.305455488358838,0.391,0.15,0.000129162117446211,0.00328457912650628,1.50240917716733e-08
"Ifitm1",0.0033257018822408,0.94551161495253,0.929,0.785,1,8.04937023939121e-09,0.402044728871541,0.984,0.762,0.000138400871896093,0.0033257018822408,1.609874041399e-08
"Csgalnact2",0.0442886364399636,0.490327701483078,0.5,0.362,1,8.89639572510622e-09,0.391434832169342,0.484,0.233,0.000152964628097476,0.0442886364399636,1.77927913710666e-08
"H2afv",0.149522403495395,0.663519469699658,0.643,0.655,1,8.89752798752434e-09,0.671423693781411,0.672,0.42,0.000152984096217494,0.149522403495395,1.77950558958827e-08
"Plin2",0.00150257693880499,-0.796180328058911,0.357,0.725,1,8.92918674742779e-09,-0.767616003485712,0.234,0.584,0.000153528436935273,0.00150257693880499,1.78583734151252e-08
"Btg1",0.00857416230495449,-0.691646079995886,0.643,0.894,1,9.37309941879831e-09,-0.687724499131569,0.703,0.862,0.000161161071406818,0.00857416230495449,1.87461987497416e-08
"Asap1",0.000106826602516526,-0.713222824941202,0.143,0.675,1,1.02511095297394e-08,-0.582533476177662,0.203,0.539,0.000176257577254339,0.000106826602516526,2.05022189543936e-08
