"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Mmp9",1.42734011506727e-26,0.296109960721494,0.538,0.333,2.45416859384666e-22
"Hpgds",2.44939315231485e-26,-0.489445601847681,0.194,0.332,4.21148658609016e-22
"Cish",5.12860992194774e-26,-0.430351385036671,0.552,0.628,8.81813189979695e-22
"Ralgds",1.3091610324664e-25,-0.534455411443556,0.324,0.436,2.25097147922273e-21
"Igf2r",1.68668313490679e-25,-0.494856761555429,0.22,0.357,2.90008298215873e-21
"Sec61b",1.7644054562891e-25,0.257199873553427,0.858,0.66,3.03371874154348e-21
"Prdx1",3.17622011877135e-25,-0.35930676154987,0.966,0.95,5.46119287221546e-21
"Nov",1.58517685032339e-24,-0.567627689878277,0.407,0.53,2.72555307644603e-20
"Ifitm3",1.61517303940518e-24,0.420402877670838,0.66,0.474,2.77712852395326e-20
"Rbms1",1.8747359317681e-24,-0.304369437512065,0.891,0.84,3.22342096108207e-20
"Sdc4",2.74146806993956e-24,-0.425995497782705,0.089,0.224,4.71368019945408e-20
"Anxa5",2.93134556765484e-24,-0.299398670662152,0.909,0.867,5.04015556902574e-20
"Vim",2.91590096724641e-23,-0.301540603002323,0.915,0.888,5.01360012308348e-19
"Lst1",4.15959001591553e-23,-0.342102429312208,0.851,0.825,7.15199907336516e-19
"Chil3",4.23996495426978e-23,0.439305820557851,0.633,0.432,7.29019574237146e-19
"Lmna",5.73078651805876e-22,-0.494731135248709,0.487,0.532,9.85351433915023e-18
"Efhd2",2.33126825641277e-21,-0.292555245182113,0.849,0.787,4.00838264007611e-17
"Ly6a",2.89915908321123e-21,-0.683881962727276,0.094,0.216,4.98481412767339e-17
"Gadd45b",3.29711447227794e-21,-0.465254404205014,0.419,0.52,5.66905862363469e-17
"Csf3r",8.71316377970814e-21,-0.525562092988506,0.363,0.456,1.49814138028302e-16
"Fabp5",1.10816582515466e-20,-0.408730859677097,0.466,0.578,1.90538031977092e-16
"Cux1",2.71915650003823e-20,-0.41798719542224,0.58,0.563,4.67531768616574e-16
"Hgf",2.98288706859904e-20,-0.363650606861487,0.096,0.212,5.12877602574919e-16
"Lilr4b",4.51237833779393e-20,-0.257824978081284,0.872,0.837,7.75858331400289e-16
"Rab15",5.07454880706411e-20,-0.359918239436482,0.057,0.169,8.72517921886604e-16
"Lrp1",7.73623265054453e-20,-0.380482006851282,0.683,0.651,1.33016784193463e-15
"Ccl3",1.26246091822931e-19,-0.361906506315083,0.508,0.61,2.17067530280347e-15
"Adam8",2.11477008163445e-19,-0.444450100478213,0.575,0.598,3.63613567836228e-15
"C3ar1",2.22403599686325e-19,-0.498580497986607,0.47,0.517,3.82400749300668e-15
"Sirpa",2.53994189068337e-19,-0.251197010584701,0.929,0.894,4.36717608684098e-15
"Pgf",4.46886678485338e-19,-0.35999856110942,0.113,0.227,7.6837695498769e-15
"Anxa4",5.85916789840511e-19,-0.312568753678992,0.74,0.714,1.00742532845177e-14
"Ccr2",5.08493742730685e-18,0.268386575320431,0.146,0.061,8.7430414125114e-14
"Ccl7",5.25912711229078e-18,-0.393309920965355,0.033,0.127,9.04254315687276e-14
"C3",5.421527229935e-18,-0.379922584220427,0.768,0.739,9.32177391915024e-14
"Gm26917",1.14664969122869e-17,0.728270334014541,0.422,0.236,1.97154947909861e-13
"Mt1",5.04880522823131e-17,-0.514120681172705,0.928,0.905,8.68091570942092e-13
"Marcks",3.6671822794443e-16,-0.37257311189206,0.668,0.666,6.30535321127653e-12
