"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Elane",0,2.66994071119294,0.557,0.005,0,0,2.61344782368703,0.625,0.022,0,0,0
"Ms4a3",0,1.90399860327938,0.843,0.013,0,0,2.03747139896482,0.838,0.034,0,0,0
"Ctsg",0,1.73971913044751,0.443,0.003,0,0,1.70393084097321,0.496,0.01,0,0,0
"Prss57",7.45945703412839e-287,0.636757103203079,0.614,0.013,1.28257904244804e-282,0,0.542759956101392,0.489,0.007,0,7.45945703412839e-287,0
"Fcnb",1.73676855497685e-219,0.900345220931793,0.771,0.032,2.9861998534272e-215,0,0.769957445650862,0.637,0.029,0,1.73676855497685e-219,0
"1700020L24Rik",7.33742364960614e-206,0.508032849774488,0.629,0.022,1.26159662231328e-201,0,0.493521899214514,0.591,0.015,0,7.33742364960614e-206,0
"Plac8",3.17576301409017e-197,1.95718542579943,0.929,0.057,5.46040692642664e-193,0,1.97245417357602,0.944,0.065,0,3.17576301409017e-197,0
"Ncam1",1.58117369795373e-175,0.328832946267649,0.429,0.011,2.71867005626164e-171,0,0.468052786879948,0.404,0.011,0,1.58117369795373e-175,0
"Myl10",1.10058451465167e-169,1.26583909501925,0.7,0.035,1.89234501449208e-165,0,1.22409982106072,0.753,0.051,0,1.10058451465167e-169,0
"Mogat2",1.28606913385162e-168,0.588201833885465,0.629,0.027,2.21126726874447e-164,0,0.420782656569024,0.402,0.023,0,1.28606913385162e-168,0
"Cldn15",7.65396742884387e-160,0.312325278395629,0.543,0.021,1.31602315971541e-155,0,0.330695246711291,0.448,0.013,0,7.65396742884387e-160,0
"Prtn3",3.38039478507716e-153,2.77357559426857,0.814,0.058,5.81225079346167e-149,0,2.90285893067079,0.775,0.038,0,3.38039478507716e-153,0
"Mpo",1.20375189414252e-147,1.91231487260254,0.229,0.003,2.06973100678866e-143,0,1.55602473523514,0.339,0.008,0,1.20375189414252e-147,0
"Lbp",1.20536462446452e-145,0.428554452298553,0.643,0.034,2.0725039353043e-141,0,0.386698707249279,0.55,0.023,0,1.20536462446452e-145,0
"Lipg",1.43449074585406e-144,1.07575669276397,0.557,0.025,2.46646338842147e-140,0,1.15841987763439,0.668,0.059,0,1.43449074585406e-144,0
"Myb",1.89143163649943e-140,0.319368374628498,0.5,0.021,3.25212755579712e-136,0,0.390863556685325,0.438,0.007,0,1.89143163649943e-140,0
"Klf5",8.43092694453699e-108,0.477669486326265,0.529,0.031,1.44961357884369e-103,0,0.373526552972522,0.479,0.032,0,8.43092694453699e-108,0
"Lockd",5.98405983052336e-96,0.647664821857532,0.9,0.109,1.02889924726019e-91,0,0.596688720848335,0.705,0.053,0,5.98405983052336e-96,0
"Itgb2l",2.02893627615812e-89,0.652086244203834,0.586,0.048,3.48855303322627e-85,0,0.64257819120482,0.523,0.05,0,2.02893627615812e-89,0
"Cdc20",1.04406294466395e-82,0.752197727772722,0.771,0.094,1.79516182705519e-78,0,0.614519628139784,0.617,0.044,0,1.04406294466395e-82,0
"Ccnb1",2.20910087437572e-81,0.676641821619316,0.814,0.104,3.79832804340161e-77,0,0.716869745128992,0.685,0.058,0,2.20910087437572e-81,0
"Trem3",7.4262986718424e-80,0.656333713873743,0.843,0.119,1.27687779363658e-75,0,0.614536938275406,0.785,0.092,0,7.4262986718424e-80,0
"Serpinb1a",5.65041847268521e-79,1.9312692662343,0.929,0.176,9.71532952193495e-75,0,1.6653183301511,0.952,0.146,0,5.65041847268521e-79,0
"Hmmr",5.86209264228507e-78,0.810995588835977,0.786,0.1,1.00792820891449e-73,0,0.779895638472585,0.758,0.057,0,5.86209264228507e-78,0
"G0s2",3.45242620626358e-77,0.997835335311896,0.829,0.119,5.9361016190496e-73,0,1.0548724615445,0.792,0.059,0,3.45242620626358e-77,0
"Ccna2",5.88319760657102e-69,0.735686130137369,0.786,0.114,1.01155699647382e-64,0,0.879042489957534,0.847,0.065,0,5.88319760657102e-69,0
"Cebpe",1.36714252096445e-68,1.41061593162612,0.871,0.158,2.35066485054627e-64,0,1.20722926506475,0.818,0.111,0,1.36714252096445e-68,0
"Kif2c",1.05383541827003e-67,0.451326794080702,0.629,0.072,1.81196461817349e-63,0,0.338297724874748,0.429,0.034,0,1.05383541827003e-67,0
"Birc5",2.94230473247939e-66,1.14117939826122,0.9,0.162,5.05899875702507e-62,0,1.18810904369738,0.896,0.097,0,2.94230473247939e-66,0
"Hist1h3c",9.67661898223423e-66,0.479893976805434,0.571,0.063,1.66379786780535e-61,0,0.512760241976824,0.574,0.027,0,9.67661898223423e-66,0
"Sgo1",1.95355624433556e-65,0.416190917101404,0.643,0.08,3.35894460651057e-61,0,0.426968027979121,0.598,0.04,0,1.95355624433556e-65,0
"Ccnb2",1.19333836439318e-63,0.815809219145439,0.829,0.133,2.05182598373763e-59,0,0.721164318468566,0.809,0.072,0,1.19333836439318e-63,0
"Cenpe",9.99074574589155e-63,0.774943093332873,0.8,0.128,1.71780882354859e-58,0,0.882104561042095,0.804,0.078,0,9.99074574589155e-63,0
"Rasgrp2",1.58794694321678e-62,0.793997411165872,0.843,0.153,2.73031597416692e-58,0,0.719497151436323,0.864,0.119,0,1.58794694321678e-62,0
"Tacc3",2.50922795128252e-62,0.641191596866179,0.871,0.16,4.31436653943516e-58,0,0.666263214880932,0.823,0.097,0,2.50922795128252e-62,0
"Rrm2",2.80082869628621e-62,0.84965731806499,0.743,0.113,4.81574486039451e-58,0,0.925362006704439,0.777,0.07,0,2.80082869628621e-62,0
"Pimreg",7.81370490231323e-62,0.344419490203169,0.643,0.081,1.34348842090374e-57,0,0.348462833777772,0.472,0.042,0,7.81370490231323e-62,0
"Ckap2l",8.7848333085027e-62,0.405158124639895,0.686,0.092,1.51046423906395e-57,0,0.389707334547551,0.521,0.047,0,8.7848333085027e-62,0
"Ncapg",2.51480842216779e-61,0.423048832305884,0.657,0.088,4.3239616010753e-57,0,0.479351676618837,0.591,0.043,0,2.51480842216779e-61,0
"Cdca2",7.1809706669932e-61,0.41283635770536,0.643,0.086,1.23469609648281e-56,0,0.367574601694755,0.518,0.035,0,7.1809706669932e-61,0
"Spc24",8.15525900827635e-61,0.631916496039251,0.771,0.126,1.40221523388304e-56,0,0.642002282170421,0.76,0.059,0,8.15525900827635e-61,0
"Cdkn3",1.3287979538907e-60,0.744914532214089,0.786,0.135,2.28473520191968e-56,0,0.641390321788831,0.726,0.069,0,1.3287979538907e-60,0
"Neil3",1.6470111003065e-60,0.457835327269605,0.657,0.088,2.831870885867e-56,0,0.471220296264861,0.581,0.04,0,1.6470111003065e-60,0
"Kif11",2.18735814786798e-60,0.643148496427921,0.671,0.093,3.7609435994442e-56,0,0.738124868862488,0.719,0.047,0,2.18735814786798e-60,0
"Hmgb3",2.76651182595286e-60,0.505836114324706,0.786,0.133,4.75674043354335e-56,0,0.438355752899867,0.622,0.063,0,2.76651182595286e-60,0
"Kif15",1.38300269385939e-59,0.567135716007747,0.743,0.118,2.37793483182183e-55,0,0.655932319148088,0.751,0.054,0,1.38300269385939e-59,0
"Knl1",4.76777398762569e-59,0.588998337924298,0.7,0.106,8.19771059432361e-55,0,0.595426520227345,0.719,0.046,0,4.76777398762569e-59,0
"Ska1",2.88039795749698e-58,0.416528739121124,0.586,0.073,4.95255624812031e-54,0,0.359083305555865,0.508,0.028,0,2.88039795749698e-58,0
"Cit",5.16678885487918e-58,0.479769772917973,0.714,0.109,8.88377675707926e-54,0,0.524996293874391,0.678,0.056,0,5.16678885487918e-58,0
"Cdca3",8.37651158346145e-58,0.792539294957172,0.857,0.162,1.44025740166036e-53,0,0.909975392655159,0.874,0.091,0,8.37651158346145e-58,0
"Pclaf",8.60388264457631e-58,1.01274275806293,0.9,0.173,1.47935158190845e-53,0,1.28959407190933,0.896,0.095,0,8.60388264457631e-58,0
"Ncapd2",1.51756675380353e-57,0.479217495790014,0.814,0.144,2.60930427648979e-53,0,0.488412910925454,0.668,0.068,0,1.51756675380353e-57,0
"Hist1h2ab",4.66795185422422e-57,0.765855366518195,0.543,0.066,8.02607641815312e-53,0,0.567211323893204,0.557,0.027,0,4.66795185422422e-57,0
"Cenpf",5.80148854487465e-56,0.933654349347322,0.7,0.106,9.97507940405746e-52,0,1.12375166507211,0.705,0.06,0,5.80148854487465e-56,0
