"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"H2-Ab1",0,1.94735017554482,0.995,0.496,0,0,2.90501973544946,0.949,0.248,0,0,0
"Mgl2",0,1.71550410250693,0.904,0.293,0,0,2.1332886770364,0.867,0.122,0,0,0
"H2-Eb1",0,1.65727550001708,0.991,0.411,0,0,2.7242748583119,0.939,0.201,0,0,0
"C1qb",0,1.64571866096937,0.898,0.275,0,1.07877807579382e-290,1.58378164395296,0.731,0.174,1.8548510235199e-286,1.07877807579382e-290,0
"Cd74",0,1.62497118697977,1,0.749,0,0,2.37678302641013,0.998,0.697,0,0,0
"H2-Aa",0,1.61337753052039,0.994,0.457,0,0,2.62321761805818,0.959,0.229,0,0,0
"Asgr2",0,1.57405333566765,0.78,0.128,0,0,1.3766729177848,0.476,0.021,0,0,0
"C1qa",0,1.57135827274692,0.712,0.135,0,8.17968294533588e-283,1.28973619140168,0.524,0.083,1.40641468562105e-278,8.17968294533588e-283,0
"C1qc",0,1.38253529296761,0.842,0.212,0,1.0247589646904e-269,1.10557036977355,0.665,0.145,1.76197056388867e-265,1.0247589646904e-269,0
"Aif1",0,1.33522202216176,0.961,0.255,0,0,1.50108785754767,0.846,0.099,0,0,0
"H2-DMa",0,1.31508803921368,1,0.659,0,0,1.55549157096222,0.993,0.501,0,0,0
"Ciita",0,1.25767554465249,0.966,0.215,0,0,1.3195664422584,0.86,0.052,0,0,0
"Klk1b9",0,1.17790305654028,0.85,0.191,0,0,0.593952834920054,0.411,0.042,0,0,0
"H2-DMb2",0,1.00205161535486,0.939,0.267,0,0,1.23504300581191,0.865,0.1,0,0,0
"Rnase6",0,0.752858634924118,0.912,0.199,0,0,0.659996121562813,0.78,0.053,0,0,0
"Itgb7",0,0.688175327002334,0.882,0.233,0,9.02913137402802e-262,0.500656636748463,0.749,0.18,1.55246884845038e-257,9.02913137402802e-262,0
"Fndc5",0,0.67262154786135,0.706,0.09,0,0,0.280976824677782,0.281,0.007,0,0,0
"Trp53i11",0,0.657822973817354,0.741,0.095,0,0,0.650444428663339,0.612,0.016,0,0,0
"Tnfsf8",0,0.599612528385322,0.81,0.197,0,0,0.523697655557154,0.701,0.112,0,0,0
"Gpr183",0,0.543356167438232,0.818,0.201,0,0,0.503651032684411,0.667,0.078,0,0,0
"Hepacam2",0,0.473293371847931,0.749,0.133,0,0,0.309174526019004,0.424,0.015,0,0,0
"Cd244",0,0.473272818359765,0.819,0.193,0,0,0.437729119650681,0.696,0.077,0,0,0
"Kctd14",0,0.471126738195518,0.549,0.06,0,0,0.568952311767084,0.483,0.012,0,0,0
"Fam43a",0,0.469601607039099,0.813,0.188,0,0,0.295972151088025,0.475,0.059,0,0,0
"Ppfia4",0,0.458726754167069,0.763,0.164,0,0,0.267400863790486,0.44,0.036,0,0,0
"H2-Ob",0,0.419238078973115,0.655,0.081,0,0,0.354937914838909,0.458,0.012,0,0,0
"Hgfac",0,0.390676575216574,0.726,0.127,0,0,0.415715924444717,0.626,0.04,0,0,0
"Kmo",0,0.389920119858419,0.708,0.119,0,0,0.290651983334801,0.45,0.021,0,0,0
"Fgd2",0,0.374932439266731,0.698,0.106,0,0,0.310845159520809,0.557,0.044,0,0,0
