"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Malat1",2.79157811491538e-268,-1.72569967963626,0.484,0.986,4.79983941078551e-264,2.83015892476649e-242,-1.17047238301318,0.581,0.987,4.8661752552435e-238,2.83015892476649e-242,5.58315622983024e-268
"Mtdh",6.89558921879065e-220,-0.846614673671899,0.083,0.866,1.18562761027886e-215,1.25505120870027e-133,-0.50081274873176,0.178,0.77,2.15793504823924e-129,1.25505120870027e-133,1.37911784375816e-219
"Ptprc",1.8744748585903e-214,-0.851633458469926,0.124,0.926,3.22297207186017e-210,2.59382358911724e-190,-0.773356378901703,0.164,0.864,4.45982027912819e-186,2.59382358911724e-190,3.74894971718051e-214
"Cd47",1.35631122315661e-211,-0.976389915207456,0.146,0.928,2.33204151709547e-207,1.04260462652013e-194,-0.90807275798726,0.153,0.833,1.79265439483871e-190,1.04260462652013e-194,2.71262244631318e-211
"Emilin2",5.23276550193583e-185,-0.871721443146049,0.073,0.784,8.99721700402846e-181,3.39905902154256e-211,-1.04736270624459,0.168,0.866,5.84434208164028e-207,5.23276550193583e-185,6.79811804308513e-211
"Tmbim6",3.91137666167123e-205,-0.768539407340727,0.144,0.923,6.72522103207751e-201,5.37295590793093e-167,-0.669808552864362,0.188,0.844,9.23826038809645e-163,5.37295590793093e-167,7.82275332334252e-205
"Atp2b1",3.43299381796721e-203,-0.72552816914489,0.071,0.828,5.90268957061282e-199,2.46115431059443e-134,-0.598528466929465,0.168,0.757,4.23170872163605e-130,2.46115431059443e-134,6.86598763593451e-203
"Reep3",7.89237552860436e-203,-0.606906422013241,0.056,0.805,1.35701504838823e-198,3.04330192679355e-137,-0.527185809928144,0.121,0.701,5.23265333292882e-133,3.04330192679355e-137,1.5784751057209e-202
"Emb",3.74274215347947e-201,-1.03375918480119,0.15,0.889,6.4352708586926e-197,1.35388303629864e-177,-0.861882477470233,0.196,0.851,2.32786649261188e-173,1.35388303629864e-177,7.48548430695882e-201
"Mmp8",2.34650495390428e-101,-1.48163763067599,0.212,0.677,4.03458061774303e-97,6.63907611175591e-200,-1.67102349797956,0.332,0.87,1.14152274665531e-195,2.34650495390428e-101,1.32781522235118e-199
"Neat1",1.00890859539751e-199,-0.944423481340238,0.185,0.948,1.73471743892647e-195,3.27151482793083e-135,-0.466892472882667,0.343,0.933,5.62504259514427e-131,3.27151482793083e-135,2.01781719079498e-199
"Grina",5.18987228944027e-196,-0.950630401805064,0.118,0.868,8.92346641446359e-192,7.63969585249388e-198,-0.965119842704335,0.167,0.854,1.3135693048778e-193,5.18987228944027e-196,1.52793917049874e-197
"Pbxip1",4.77966998234522e-196,-0.693254167165343,0.042,0.766,8.21816456764437e-192,6.9924862051021e-129,-0.693050985272795,0.055,0.564,1.20228807810525e-124,6.9924862051021e-129,9.55933996469033e-196
"Itm2b",2.95505776267806e-195,-1.11379322327679,0.352,0.97,5.08092631714866e-191,1.33451478488132e-185,-0.927092220154227,0.389,0.952,2.29456472112494e-181,1.33451478488132e-185,5.91011552535624e-195
"Tapbp",5.93819335116539e-195,-0.635742669194706,0.083,0.833,1.02101296479938e-190,1.27712775278776e-116,-0.444744019512451,0.167,0.726,2.19589345814328e-112,1.27712775278776e-116,1.18763867023308e-194
"Selplg",6.26759958813547e-195,-0.738369092184103,0.108,0.867,1.07765107318401e-190,1.90255971254035e-158,-0.761255758450828,0.137,0.755,3.27126116974188e-154,1.90255971254035e-158,1.25351991762711e-194
"Rrbp1",1.27275570666888e-194,-0.732543448371624,0.114,0.861,2.18837616204647e-190,1.91456136729089e-108,-0.429520301665426,0.176,0.71,3.29189681491996e-104,1.91456136729089e-108,2.54551141333774e-194
"Slc3a2",2.16663917245514e-192,-0.610995444428,0.062,0.795,3.72531939311937e-188,1.13670827967327e-144,-0.567897381114289,0.086,0.659,1.95445621607022e-140,1.13670827967327e-144,4.33327834491028e-192
"Ogt",5.51991914559023e-192,-0.606621525712691,0.074,0.812,9.49094897892784e-188,1.21408613820144e-125,-0.487105966588756,0.087,0.614,2.08749970602356e-121,1.21408613820144e-125,1.10398382911802e-191
"Tmed10",1.13349968998216e-191,-0.628651786401662,0.121,0.88,1.94893936695533e-187,4.31125308907927e-131,-0.520363156678416,0.193,0.786,7.41276856136289e-127,4.31125308907927e-131,2.26699937996432e-191
"Nfam1",1.44512304839777e-191,-0.69907339539246,0.079,0.815,2.48474456941512e-187,4.0068055748068e-137,-0.563415463851866,0.149,0.734,6.88930150532281e-133,4.0068055748068e-137,2.89024609679553e-191
"Rnf130",7.54011973532232e-191,-0.545435593980719,0.091,0.837,1.29644818729132e-186,5.13250553577282e-138,-0.506690364074013,0.132,0.721,8.82483001820779e-134,5.13250553577282e-138,1.50802394706446e-190
"Cd44",1.54548984225378e-189,-0.797973675230331,0.137,0.885,2.65731523477115e-185,1.05790653529896e-136,-0.623200263679196,0.256,0.865,1.81896449679303e-132,1.05790653529896e-136,3.09097968450748e-189
"App",1.79837592111965e-186,-0.642035827737312,0.106,0.845,3.09212755877313e-182,2.82725052159279e-122,-0.422181974525319,0.144,0.695,4.86117454682665e-118,2.82725052159279e-122,3.59675184223934e-186
"Ttc14",1.79971241484863e-186,-0.490766838053152,0.033,0.734,3.09442552609073e-182,9.43175035220051e-98,-0.346211529061795,0.06,0.497,1.62169515555736e-93,9.43175035220051e-98,3.59942482969733e-186
