"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Lyz2",0,1.28623318276837,1,0.934,0,0,1.00398261162572,1,0.96,0,0,0
"Hebp1",0,0.64496409509958,0.852,0.228,0,0,0.539016213415857,0.713,0.203,0,0,0
"Sash1",1.80784713482641e-306,0.488124182421362,0.743,0.192,3.10841236362053e-302,0,0.469031620911701,0.635,0.176,0,1.80784713482641e-306,0
"Mrc1",8.06552714962718e-297,0.783478328087043,0.754,0.181,1.3867867381069e-292,0,1.23768798906319,0.941,0.272,0,8.06552714962718e-297,0
"Mertk",5.45685725997331e-294,0.482019700847883,0.749,0.197,9.38252037279811e-290,0,0.430507425672132,0.611,0.151,0,5.45685725997331e-294,0
"Ctss",2.74813665733152e-293,0.996960065780049,1,0.82,4.72514616861581e-289,0,0.776829673020526,0.998,0.717,0,2.74813665733152e-293,0
"Selenop",1.72974461406651e-289,0.952968735281768,0.924,0.376,2.97412288942596e-285,0,0.703247215447663,0.774,0.25,0,1.72974461406651e-289,0
"Atp13a2",3.93578925441784e-288,0.673109068444718,0.933,0.405,6.76719604404604e-284,0,0.540141420610337,0.863,0.368,0,3.93578925441784e-288,0
"Pld3",4.86945046322015e-287,0.741250242003073,0.962,0.407,8.37253312646073e-283,0,0.582628469676944,0.933,0.405,0,4.86945046322015e-287,0
"Naaa",7.84961007296248e-284,1.02494550422413,0.993,0.661,1.34966195594517e-279,0,0.897231524658373,0.965,0.556,0,7.84961007296248e-284,0
"Lamp1",2.74297536439482e-263,0.747955778956251,1,0.845,4.71627184154045e-259,0,0.590855825636483,1,0.852,0,2.74297536439482e-263,0
"Pmp22",1.331150512997e-255,0.467295115769458,0.628,0.136,2.28878019204704e-251,0,0.792008028755273,0.816,0.225,0,1.331150512997e-255,0
"Camk1",1.62097228043826e-210,0.548148951979923,0.883,0.417,2.78709973898554e-206,0,0.644586907952153,0.872,0.367,0,1.62097228043826e-210,0
"Ms4a7",6.9834616595835e-198,0.385275717050271,0.488,0.104,1.20073639774879e-193,0,0.696736413886914,0.602,0.129,0,6.9834616595835e-198,0
"Gm1673",1.76861546031752e-191,0.474061384143985,0.51,0.114,3.04095742246994e-187,0,0.403851104227008,0.396,0.081,0,1.76861546031752e-191,0
"Lgals3bp",3.80670356729017e-186,0.473630883869317,0.811,0.37,6.54524611359872e-182,0,0.508542992765651,0.753,0.288,0,3.80670356729017e-186,0
"Msr1",7.57763521556737e-185,0.537137306623902,0.866,0.354,1.30289859896465e-180,0,0.745484672203855,0.969,0.468,0,7.57763521556737e-185,0
"Vat1",5.63923465022065e-170,0.568134216941015,0.927,0.488,9.69610005758938e-166,0,0.623028678504656,0.956,0.445,0,5.63923465022065e-170,0
"Ahnak2",8.42283760806339e-164,0.32572306080449,0.562,0.155,1.44822269833042e-159,0,0.477468861704424,0.697,0.219,0,8.42283760806339e-164,0
"Fabp5",2.40893503025176e-158,0.761699550079929,0.983,0.704,4.14192289101487e-154,0,1.22042507238193,0.992,0.723,0,2.40893503025176e-158,0
"Klf4",1.19994347424126e-144,0.497751669169647,0.755,0.344,2.06318280961042e-140,0,0.482747338817098,0.694,0.245,0,1.19994347424126e-144,0
"Tns1",4.52321626726015e-137,0.326563037710742,0.47,0.134,7.77721804992711e-133,0,0.452015584684893,0.597,0.168,0,4.52321626726015e-137,0
"Zfp703",1.4148545861058e-133,0.442500317760917,0.757,0.37,2.43270097535032e-129,0,0.516141446403684,0.841,0.361,0,1.4148545861058e-133,0
"Ms4a6d",5.11666952225695e-116,0.251467262328864,0.613,0.247,8.7976015765686e-112,0,0.536863279164204,0.775,0.271,0,5.11666952225695e-116,0
"Anpep",9.70643420455165e-111,0.299317829399672,0.605,0.243,1.66892429713061e-106,0,0.464372272353492,0.734,0.236,0,9.70643420455165e-111,0
"Wfdc17",1.3886422519305e-171,0.651112045731001,0.994,0.729,2.38763148796931e-167,1.90281174674393e-307,0.71137049630975,0.997,0.818,3.27169451735151e-303,1.3886422519305e-171,3.80562349348745e-307
"Ahnak",1.54730377690166e-146,0.514320317195692,0.991,0.717,2.66043411400471e-142,2.15176190784207e-307,0.62958478336629,0.992,0.628,3.69973942434366e-303,1.54730377690166e-146,4.30352381568402e-307
"Plxna1",1.85633545986211e-94,0.270025543243923,0.759,0.399,3.19178318968691e-90,3.76719365640368e-305,0.456173980975309,0.822,0.339,6.47731277282049e-301,1.85633545986211e-94,7.53438731280669e-305
"Mmp14",1.82798208412539e-156,0.456506458381158,0.596,0.2,3.14303239544519e-152,4.81631698869523e-303,0.533059098477508,0.573,0.175,8.28117543036258e-299,1.82798208412539e-156,9.63263397739024e-303
"Grn",2.60717512774547e-210,0.626725997315613,0.999,0.778,4.48277691464555e-206,1.6490511119828e-301,0.573773207225422,0.997,0.772,2.83537848194323e-297,2.60717512774547e-210,3.29810222396536e-301
"F7",1.59853799370966e-213,0.691381062225258,0.868,0.347,2.74852622638439e-209,1.0371570066061e-298,0.626830893272882,0.906,0.449,1.78328775715853e-294,1.59853799370966e-213,2.07431401321219e-298
"Slc7a2",1.45111369053456e-275,0.892220844334183,0.829,0.254,2.49504487950512e-271,7.93896096140606e-295,0.589335252889649,0.717,0.272,1.36502494770416e-290,1.45111369053456e-275,1.58779219228116e-294
"Aplp2",4.01153585153878e-167,0.590826202041631,0.983,0.665,6.89743474313579e-163,8.51316681637754e-295,0.580921576595882,0.974,0.547,1.46375390240795e-290,4.01153585153878e-167,1.70263336327538e-294
"Sgk1",8.00544255143195e-285,0.938466313158986,0.9,0.32,1.37645579229321e-280,1.36838454315102e-268,0.509079135950396,0.73,0.278,2.35280038349386e-264,1.36838454315102e-268,1.60108851028636e-284
"Dab2",5.86110749605448e-123,0.412608108835139,0.907,0.507,1.00775882287161e-118,1.0792951856402e-283,0.610016112721266,0.973,0.554,1.85574014218976e-279,5.86110749605448e-123,2.15859037128033e-283
"Ctsd",7.22955382376067e-213,0.987115607494117,1,0.874,1.24304948445741e-208,2.76912141151308e-283,0.618795748014012,0.999,0.927,4.76122735495558e-279,7.22955382376067e-213,5.53824282302609e-283
"Cd200r4",1.01071686851725e-173,0.503661754260464,0.89,0.404,1.73782658372856e-169,1.69512148122047e-280,0.48459327788066,0.834,0.356,2.91459187481048e-276,1.01071686851725e-173,3.39024296244064e-280
"Idh1",1.41461558701563e-230,0.62577036952401,0.962,0.537,2.43229004031467e-226,1.13856285913125e-277,0.409008197617141,0.769,0.329,1.95764497999028e-273,1.41461558701563e-230,2.27712571826238e-277
"Tmem256",1.18264534298929e-72,0.273052146333997,0.965,0.679,2.03344040273578e-68,9.86495222554515e-277,0.505406357839916,0.965,0.54,1.69617988566023e-272,1.18264534298929e-72,1.97299044510892e-276
"Acp2",2.45277425785352e-132,0.282596760593432,0.706,0.319,4.21730005895335e-128,2.66421801429557e-274,0.341281832520754,0.676,0.256,4.58085645377981e-270,2.45277425785352e-132,5.32843602859084e-274
"Fcgr2b",1.30538243279716e-147,0.558163937129535,0.919,0.519,2.24447455495144e-143,9.41029361509414e-273,0.620416281144965,0.934,0.492,1.61800588417929e-268,1.30538243279716e-147,1.88205872301878e-272
"S100a1",1.88876824233337e-128,0.400617338232288,0.956,0.637,3.24754811586799e-124,6.3194154916473e-272,0.565600070326432,0.895,0.451,1.08656029963384e-267,1.88876824233337e-128,1.26388309832939e-271
"Cd93",2.3890586829578e-164,0.528203589205907,0.914,0.428,4.10774749947763e-160,2.10093241550194e-268,0.521234270762172,0.974,0.557,3.61234319521404e-264,2.3890586829578e-164,4.20186483100362e-268
"Gmpr",6.11469814502661e-160,0.351643719726847,0.505,0.141,1.05136119905587e-155,2.71074396325223e-264,0.34587807854269,0.475,0.139,4.66085317041588e-260,6.11469814502661e-160,5.42148792650436e-264
"Syngr1",1.10831674757488e-141,0.355709429589533,0.662,0.24,1.90563981578024e-137,7.52401092767556e-262,0.454598317071067,0.776,0.312,1.29367843890454e-257,1.10831674757488e-141,1.50480218553509e-261
"Mgll",1.71636494689927e-111,0.537861569458443,0.865,0.547,2.95111788969861e-107,3.9602495381133e-253,0.577069599859365,0.858,0.427,6.809253055832e-249,1.71636494689927e-111,7.92049907622584e-253
"Sh3bgrl",1.30171958878049e-125,0.425063154556626,0.982,0.714,2.23817666094918e-121,3.99834657303541e-253,0.48295142572385,0.975,0.591,6.87475709767709e-249,1.30171958878049e-125,7.99669314607024e-253
"Hmgcs1",1.38844358488907e-65,0.326604502605149,0.774,0.492,2.38728989985826e-61,6.79599347580407e-252,0.501963943708748,0.817,0.396,1.16850311822975e-247,1.38844358488907e-65,1.35919869516076e-251
