"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mmp12",5.0467580338122e-20,-1.06518100549889,0.614,0.91,8.67739576333669e-16
"Gpnmb",6.24739567229044e-09,-0.644455464275827,0.357,0.68,0.000107417721189362
"Klhl24",4.12807447664212e-08,0.375941467815865,0.586,0.242,0.000709781125513847
"Adgre5",1.77213543467543e-07,0.396784671061074,0.629,0.288,0.00304700966638093
"Nov",2.28919598802946e-07,-0.660233309494947,0.386,0.649,0.00393604358181786
"Rpl41",7.16671445347107e-07,-0.481040494835499,0.986,1,0.0123224488312982
"H3f3a",7.91940642506524e-07,0.34241645088003,1,1,0.0136166274072572
"Bhlhe40",1.25962451550267e-06,0.372398408826952,0.557,0.271,0.0216579839195528
"Arl11",1.63787956996852e-06,0.356200861173519,0.857,0.53,0.0281617013260387
"Atp5k",5.0775379430542e-06,-0.389459992411535,0.9,0.939,0.087303187392874
"Pim1",6.37584321709723e-06,-0.452762464644825,0.871,0.939,0.10962624827477
"Ifitm1",8.08275132437885e-06,-0.550458571510052,0.829,0.949,0.13897482627137
"Ccl2",1.44142552598197e-05,-0.44700199882604,0.114,0.366,0.24783870493734
"Fth1",1.46727023380565e-05,-0.483269226274746,0.986,1,0.252282444000543
"Rbpms",1.90066051017958e-05,0.259816575808292,0.543,0.308,0.326799568120277
"Tomm7",2.22723561601285e-05,-0.392679445415913,0.871,0.913,0.382950891817249
"Cish",2.37842502658705e-05,-0.475015309351948,0.714,0.804,0.408946399071377
"Trim12a",3.27841540865145e-05,0.270134086833367,0.529,0.262,0.563690745363531
"Gpx4",4.16129374558851e-05,0.287139862241037,0.971,0.983,0.715492846616489
"Prdx5",4.69039738569832e-05,0.286522292253749,1,0.998,0.80646692649697
"Fabp5",7.21135973688219e-05,-0.895824269814326,0.614,0.755,1
"Gm34084",7.78869788245981e-05,0.416698264926781,0.6,0.349,1
"Cd52",9.6312496854408e-05,0.432377194323753,0.957,0.983,1
"Spp1",9.80093519159985e-05,-0.554462046598835,0.786,0.886,1
"Hexb",9.90061218219722e-05,0.326468824649578,0.8,0.518,1
"Ube2m",0.000110094077293837,-0.335262901220597,0.814,0.857,1
"Cycs",0.000110564085710135,-0.451420760241131,0.729,0.838,1
