"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ccl2",7.48332728000085e-62,-1.59153453666109,0.115,0.521,1.28668329252335e-57
"AA467197",1.98338484639247e-52,1.18665526832136,0.654,0.292,3.41023190488721e-48
"Mmp12",5.01708163907027e-47,-1.30766593717937,0.574,0.842,8.62637017021741e-43
"Rpl32",8.9211773379405e-47,0.629622554145989,0.93,0.808,1.53390723148549e-42
"Rps7",8.26587954508766e-45,0.812953777798573,0.833,0.578,1.42123532898237e-40
"Rps14",1.10708097354232e-44,0.677590434194823,0.9,0.731,1.90351502590866e-40
"Tmsb4x",1.13287039607043e-42,0.394173292035242,0.998,0.995,1.9478573590035e-38
"Rps3a1",1.78650786973281e-41,0.568848577441992,0.917,0.807,3.0717216312186e-37
"Rpl23",9.1843129235666e-41,0.520711562841833,0.954,0.858,1.57915076407804e-36
"Rpl17",1.1592627906464e-40,0.668136377813321,0.879,0.704,1.99323644223742e-36
"Rpl30",1.24596348884356e-40,0.60229150322633,0.874,0.706,2.14230962271762e-36
"Rpl19",1.60269029300359e-40,0.530698640300253,0.945,0.817,2.75566568979037e-36
"Rpl9",7.9615247726892e-40,0.631390403892872,0.859,0.676,1.36890456941618e-35
"Eef1a1",1.55650553120242e-39,0.636298145225183,0.9,0.768,2.67625561034945e-35
"Fau",5.21468685441558e-39,0.558892994170263,0.938,0.785,8.96613257748215e-35
"Rpl11",3.46114709101192e-38,0.622748312042675,0.862,0.685,5.9510963082859e-34
"Rpl26",4.07588650215569e-38,0.567562501902204,0.895,0.721,7.00807925180649e-34
"Crip1",1.33337168306982e-37,0.853569102061317,0.622,0.295,2.29259927187025e-33
"Rps23",1.79699442732665e-37,0.579592504126317,0.885,0.696,3.08975221834545e-33
"Rps18",2.32348521532329e-37,0.68284405362827,0.848,0.684,3.99500047922686e-33
"Rps27a",4.99066311269547e-37,0.485677202901258,0.954,0.851,8.5809461559686e-33
"Rpl13",8.50833343209126e-37,0.490908419018629,0.958,0.867,1.46292285031377e-32
"Rpl10",8.99638427201644e-37,0.718840585738736,0.81,0.59,1.54683831173051e-32
"Rpl5",1.58892578616358e-36,0.666389818527005,0.785,0.547,2.73199899672966e-32
"Rps3",5.8818489651855e-36,0.635132643049012,0.833,0.648,1.011325111074e-31
"Rpl14",9.34940990163413e-36,0.604741488627265,0.815,0.582,1.60753753848697e-31
"Rps11",2.99378258946755e-34,0.636384593607623,0.833,0.629,5.14750978433051e-30
"Rps4x",7.67361019260903e-34,0.606156359009383,0.838,0.655,1.3194005365172e-29
"Gpnmb",1.63934190981647e-33,-1.11834949891191,0.351,0.625,2.81868447973844e-29
"Rps10",1.71071107196035e-33,0.490402494271959,0.932,0.8,2.94139661712863e-29
"Rpl3",3.95514517256334e-33,0.683321142921743,0.785,0.584,6.80047660970541e-29
"Rpl10a",5.36523550972407e-33,0.679917627410207,0.756,0.517,9.22498593541957e-29
"Rps16",6.70893071199231e-33,0.527061742574638,0.891,0.749,1.15353354661996e-28
"Ctsb",2.06739800827166e-32,-1.26008850994718,0.296,0.554,3.55468413542229e-28
"Rpl28",3.87949314406636e-32,0.527421662167627,0.874,0.695,6.6704005119077e-28
"Sec61b",1.05800229672824e-31,0.747385357785061,0.686,0.414,1.81912914899454e-27
"Rpsa",1.2225771410208e-31,0.54315669094032,0.933,0.855,2.10209913627116e-27
"Tpt1",1.38352731400019e-31,0.383262661695915,0.985,0.933,2.37883686369193e-27
"Rpl21",3.1163904497457e-31,0.546199136249921,0.832,0.633,5.35832173929275e-27
"Rps15a",3.31907263634195e-31,0.612809746844472,0.825,0.654,5.70681349092636e-27
"Rpl35a",6.36363438956933e-31,0.519025781967914,0.892,0.731,1.09416329694255e-26
"Rps24",1.17291381261344e-30,0.437189834206678,0.936,0.875,2.01670800940754e-26
"Rps13",6.08046825113034e-30,0.480667421704906,0.879,0.731,1.04547571109935e-25
"Rps6",7.7039661363985e-30,0.600414969787492,0.771,0.569,1.32461993749236e-25
"Rps19",2.04703912611246e-29,0.45611309070071,0.942,0.816,3.51967907343776e-25
"Ccl9",5.40648391437289e-29,-0.90684221098873,0.458,0.679,9.29590844237275e-25
"Ccl7",2.00558826581961e-28,-1.15490636502284,0.008,0.187,3.44840846425024e-24
"Rpl15",2.09007123660975e-28,0.582524054606472,0.807,0.607,3.59366848422681e-24
"Rpl18a",4.81158304547813e-28,0.522326773766282,0.829,0.64,8.2730358883951e-24
"Rps20",1.03660023456084e-27,0.435377578585038,0.907,0.772,1.78233044330391e-23
"S100a9",3.08574741041304e-27,-0.915168444656624,0.27,0.55,5.30563409746418e-23
"Rpl18",3.56357540845823e-27,0.522522432772782,0.838,0.653,6.12721155730309e-23
"Rpl27a",5.26692335975463e-27,0.476577461413392,0.892,0.782,9.05594802476212e-23
"Ctsl",1.7792367767461e-26,-1.35299890335759,0.179,0.414,3.05921971393724e-22
"Rpl8",1.13030731904267e-25,0.480497263132223,0.865,0.742,1.94345040436196e-21
"Rplp0",1.19245449297883e-25,0.430299897107557,0.923,0.842,2.0503062552278e-21
"Rpl6",5.19152544120232e-25,0.524720956289455,0.798,0.645,8.92630884360327e-21
"S100a8",1.29195999517837e-24,-0.85312409257209,0.302,0.563,2.22139601570969e-20
"Rps5",1.29978750878859e-24,0.55171619531677,0.801,0.666,2.2348546426111e-20
"Rps8",2.519142820562e-24,0.398383094483275,0.914,0.849,4.33141416567431e-20
"Rack1",3.8841252933352e-24,0.538000766822141,0.785,0.617,6.67836502936055e-20
"Rpl24",9.86204551010421e-24,0.451104957626813,0.83,0.691,1.69568010500732e-19
"Pf4",5.70547611915476e-23,-1.28538897191553,0.088,0.289,9.80999563927469e-19
"Il1rn",5.91740630697449e-23,-0.713720331700732,0.308,0.527,1.01743884042119e-18
"Rpl34",6.23851694846676e-23,0.431903295006932,0.825,0.663,1.07265060411937e-18
"Eef1b2",7.38723096241359e-23,0.550465322147084,0.678,0.448,1.27016049167739e-18
"Rpl37",9.37156033103902e-23,0.495331275051403,0.827,0.705,1.61134608331885e-18
"mt-Co1",1.99602056142367e-22,-0.606239498627525,0.766,0.893,3.43195775331186e-18
"mt-Co3",2.03176012744889e-22,-0.591405088378393,0.698,0.877,3.49340836313562e-18
"Rps9",2.56159248880408e-22,0.46719851232739,0.862,0.732,4.40440212524973e-18
"Rpl7",2.60232267293389e-22,0.503962106974789,0.771,0.602,4.47443360384254e-18
"Ccl6",4.56220417685167e-22,-0.518968407103412,0.86,0.933,7.84425386167875e-18
"Lpl",8.16826265749209e-22,-1.15410355615665,0.36,0.56,1.40445108132919e-17
"Rpl7a",9.4704641219178e-22,0.525989798373198,0.695,0.499,1.62835160112255e-17
"Cox7a2l",1.06240037574894e-21,0.609591118902615,0.531,0.294,1.82669120606272e-17
"S100a6",2.34427362939324e-21,-0.487204497842943,0.833,0.915,4.03074407837874e-17
"Naca",5.02290166738056e-21,0.547096427728007,0.656,0.458,8.63637712689414e-17
"mt-Co2",5.03772090612613e-21,-0.538283928703603,0.693,0.862,8.66185732599327e-17
"F13a1",9.58896780430045e-21,-0.977309213512182,0.009,0.145,1.64872712427142e-16
"Rps25",1.61863514395793e-20,0.427279182961874,0.792,0.633,2.78308126652126e-16
"Spp1",4.1789947378173e-20,-0.89758671862646,0.466,0.649,7.18536355220307e-16
"Rpl12",2.85655531400017e-19,0.38102789220105,0.851,0.731,4.9115612068919e-15
"AY036118",6.94707358639424e-19,0.524806728874384,0.669,0.47,1.19447983244463e-14
